term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 3337.2035047779455 0.8647023100497607 
eeeeeee 	 2585.477436555743 1.0077084435651138 
zzzzzzz 	 5170.954873111486 0.673536267813241 
tttttttnn 	 10341.909746222973 0.40495632722288555 
eeee 	 5170.954873111486 0.673536267813241 
hazai 	 5288.27143318375 0.673536267813241 
sajto 	 11086.469801566705 0.40495632722288555 
sajtokivonatok 	 15238.424716816739 0.40495632722288555 
napi 	 3788.374344210837 0.8647023100497607 
hetilapokbol 	 11365.12303263251 0.40495632722288555 
szent 	 3651.138381602859 0.8647023100497607 
hirek 	 5543.234900783353 0.673536267813241 
sorok 	 11365.12303263251 0.40495632722288555 
kozt 	 5990.4295456207565 0.673536267813241 
olvaso 	 11365.12303263251 0.40495632722288555 
szabad 	 10229.068276036993 0.40495632722288555 
velemenyeivel 	 14042.772128564251 0.40495632722288555 
tarkitva 	 14042.772128564251 0.40495632722288555 
magyar 	 385.06194285899375 1.7368763192494183 
nsz 	 2429.8135466122126 1.1187178735619445 
nepszabadsag 	 10824.217692964492 0.40495632722288555 
hirlap 	 2738.3537862021444 1.0077084435651138 
nszv 	 2429.8135466122126 1.1187178735619445 
nepszava 	 11511.267272954581 0.40495632722288555 
esti 	 12149.067733061063 0.40495632722288555 
hvg 	 13100.96749808951 0.40495632722288555 
heti 	 12695.506282626588 0.40495632722288555 
vilaggazdasag 	 6161.937225792619 0.673536267813241 
gazdasag 	 5611.809542122213 0.673536267813241 
copyright 	 3476.1461987215303 0.40495632722288555 
egyszer 	 5682.561516316255 0.673536267813241 
mar 	 1634.0451341081864 1.207388714724415 
megjelent 	 2805.9047710611067 1.0077084435651138 
hetilap 	 12695.506282626588 0.40495632722288555 
anyagot 	 12893.627788404794 0.40495632722288555 
szabadon 	 12323.874451585238 0.40495632722288555 
utankozolhetonek 	 13318.42525979267 0.40495632722288555 
tart 	 11365.12303263251 0.40495632722288555 
kulfold 	 11818.768501171924 0.40495632722288555 
fejreallitott 	 26670.40400302281 0.40495632722288555 
demokracia 	 5755.633636477291 0.673536267813241 
borisz 	 17402.33305175578 0.40495632722288555 
jelcin 	 14312.976068000102 0.40495632722288555 
orosz 	 5682.561516316255 0.673536267813241 
elnok 	 5611.809542122213 0.673536267813241 
csutortokon 	 5327.661590720158 0.8647023100497607 
nemzetbiztonsagi 	 17997.482468683276 0.40495632722288555 
tanacs 	 14908.125484927601 0.40495632722288555 
ulesen 	 4049.689244353688 0.8647023100497607 
felmentette 	 26670.40400302281 0.40495632722288555 
tisztsegebol 	 23581.04701926713 0.40495632722288555 
elnoki 	 7156.488034000051 0.673536267813241 
biztonsagi 	 4101.945560887087 1.0077084435651138 
szolgalat 	 5800.7776839185935 0.8647023100497607 
nagyhatalmu 	 26670.40400302281 0.40495632722288555 
vezetojet 	 21773.889032429044 0.40495632722288555 
alekszandr 	 21773.889032429044 0.40495632722288555 
korzsakovot 	 26670.40400302281 0.40495632722288555 
foderalis 	 26670.40400302281 0.40495632722288555 
fonoket 	 26670.40400302281 0.40495632722288555 
mihail 	 23581.04701926713 0.40495632722288555 
barszukovot 	 26670.40400302281 0.40495632722288555 
szinten 	 5682.561516316255 0.673536267813241 
kemenyvonalas 	 26670.40400302281 0.40495632722288555 
politikus 	 6446.813894202397 0.673536267813241 
hireben 	 26670.40400302281 0.40495632722288555 
allo 	 6252.9090405810075 0.673536267813241 
oleg 	 4098.338007102291 1.1187178735619445 
szoszkovec 	 26670.40400302281 0.40495632722288555 
elso 	 1149.1010829136637 1.3911641103078038 
miniszterelnok 	 971.8638740644245 1.5057591356876194 
helyettest 	 23581.04701926713 0.40495632722288555 
levaltas 	 26670.40400302281 0.40495632722288555 
elozmenyekent 	 23581.04701926713 0.40495632722288555 
korzsakov 	 26670.40400302281 0.40495632722288555 
emberei 	 19497.139227304022 0.40495632722288555 
orizetbe 	 23581.04701926713 0.40495632722288555 
vettek 	 5079.47490560558 0.8647023100497607 
kihallgattak 	 26670.40400302281 0.40495632722288555 
stab 	 23581.04701926713 0.40495632722288555 
ket 	 1264.8766627152136 1.3401677223350161 
munkatarsat 	 26670.40400302281 0.40495632722288555 
normalis 	 5625.791353945093 0.8647023100497607 
demokraciaban 	 16407.782243548347 0.40495632722288555 
amirol 	 17402.33305175578 0.40495632722288555 
oroszorszag 	 15238.424716816739 0.40495632722288555 
meg 	 435.28741366668856 1.707573940528614 
csak 	 1251.4513142917294 1.3401677223350161 
hirbol 	 26670.40400302281 0.40495632722288555 
alig 	 6894.008539039801 0.673536267813241 
hallott 	 23581.04701926713 0.40495632722288555 
eloszor 	 4049.689244353688 0.8647023100497607 
kovetkezik 	 7021.3860642821255 0.673536267813241 
valasztas 	 15595.175064917692 0.40495632722288555 
utana 	 14908.125484927601 0.40495632722288555 
politikai 	 1264.8766627152136 1.3401677223350161 
felallas 	 23581.04701926713 0.40495632722288555 
naluk 	 19497.139227304022 0.40495632722288555 
forditva 	 19497.139227304022 0.40495632722288555 
egeszseges 	 19497.139227304022 0.40495632722288555 
viszonyok 	 19497.139227304022 0.40495632722288555 
kozott 	 1264.8766627152136 1.3401677223350161 
egy 	 770.1238857179875 1.5349371614311158 
merlegnyelv 	 13335.202001511405 0.673536267813241 
szavazati 	 21773.889032429044 0.40495632722288555 
eredmenyt 	 17997.482468683276 0.40495632722288555 
elero 	 23581.04701926713 0.40495632722288555 
figura 	 21773.889032429044 0.40495632722288555 
lebegy 	 19497.139227304022 0.40495632722288555 
soha 	 12323.874451585238 0.40495632722288555 
nem 	 217.64370683334428 1.8422547659671527 
paktal 	 26670.40400302281 0.40495632722288555 
fordulo 	 21773.889032429044 0.40495632722288555 
masnapjan 	 26670.40400302281 0.40495632722288555 
inkompetencia 	 21773.889032429044 0.40495632722288555 
volna 	 2068.3819492445946 1.1187178735619445 
lett 	 2706.054423241123 1.0077084435651138 
ebben 	 5288.27143318375 0.673536267813241 
esetben 	 11511.267272954581 0.40495632722288555 
elore 	 6659.212629896335 0.673536267813241 
konspiralt 	 26670.40400302281 0.40495632722288555 
csel 	 26670.40400302281 0.40495632722288555 
hiszen 	 2091.536497824461 1.1187178735619445 
ugy 	 1001.1610514333836 1.434843315640137 
mukodik 	 14908.125484927601 0.40495632722288555 
hogy 	 143.02300734762622 1.8934577257523129 
mindket 	 14042.772128564251 0.40495632722288555 
felet 	 17997.482468683276 0.40495632722288555 
versenyeztetve 	 26670.40400302281 0.40495632722288555 
kivarva 	 26670.40400302281 0.40495632722288555 
szerzi 	 20491.690035511456 0.40495632722288555 
maganak 	 16877.37406183528 0.40495632722288555 
legnagyobb 	 3695.4899338555683 0.8647023100497607 
hatalmat 	 7156.488034000051 0.673536267813241 
aki 	 1981.34701747532 1.1187178735619445 
autonom 	 21773.889032429044 0.40495632722288555 
ero 	 5198.391688305897 0.8647023100497607 
patyomkin 	 13335.202001511405 0.673536267813241 
eppen 	 2164.8435385928983 1.1187178735619445 
mint 	 1001.1610514333836 1.434843315640137 
csupan 	 5543.234900783353 0.673536267813241 
satnya 	 26670.40400302281 0.40495632722288555 
kulissza 	 26670.40400302281 0.40495632722288555 
azonban 	 1477.4156780318533 1.2798473923385632 
ami 	 3337.2035047779455 0.8647023100497607 
mogott 	 6446.813894202397 0.673536267813241 
massziv 	 23581.04701926713 0.40495632722288555 
hatalomatmentes 	 26670.40400302281 0.40495632722288555 
folyik 	 14600.624256710256 0.40495632722288555 
demokratikus 	 6252.9090405810075 0.673536267813241 
valasztasok 	 6550.483749044755 0.673536267813241 
nalunk 	 13318.42525979267 0.40495632722288555 
ilyen 	 2614.4206222805765 1.0077084435651138 
ures 	 15982.984772160471 0.40495632722288555 
kirakatrendezesek 	 26670.40400302281 0.40495632722288555 
voltak 	 5755.633636477291 0.673536267813241 
azt 	 825.5612572813833 1.5057591356876194 
hoznak 	 17997.482468683276 0.40495632722288555 
amit 	 5005.805257166918 0.673536267813241 
akarnak 	 13547.039472877983 0.40495632722288555 
elszamolasi 	 13335.202001511405 0.673536267813241 
zsonglorkodessel 	 26670.40400302281 0.40495632722288555 
elszamoltatas 	 23581.04701926713 0.40495632722288555 
elszamolas 	 23581.04701926713 0.40495632722288555 
nincs 	 2002.3221028667672 1.1187178735619445 
hazankba 	 23581.04701926713 0.40495632722288555 
erkezo 	 17997.482468683276 0.40495632722288555 
mukodotoke 	 18684.532048673365 0.40495632722288555 
statisztikai 	 18684.532048673365 0.40495632722288555 
rendszer 	 5755.633636477291 0.673536267813241 
miatt 	 2585.477436555743 1.0077084435651138 
rontja 	 21773.889032429044 0.40495632722288555 
nemzeti 	 3525.5142887891666 0.8647023100497607 
bank 	 1794.9625888642004 1.1187178735619445 
teljesitmenyet 	 20491.690035511456 0.40495632722288555 
igy 	 2502.902628583459 1.0077084435651138 
noveli 	 17402.33305175578 0.40495632722288555 
allamhaztartasi 	 16877.37406183528 0.40495632722288555 
deficitet 	 21773.889032429044 0.40495632722288555 
mas 	 3485.894163040769 0.8647023100497607 
kerdes 	 10698.660094323925 0.40495632722288555 
jovore 	 3809.6061792041846 1.0077084435651138 
valoszinuleg 	 6659.212629896335 0.673536267813241 
nyereseges 	 26670.40400302281 0.40495632722288555 
lehet 	 2502.902628583459 1.0077084435651138 
jegybank 	 21773.889032429044 0.40495632722288555 
kamatozo 	 26670.40400302281 0.40495632722288555 
adossag 	 15595.175064917692 0.40495632722288555 
atalakitasaval 	 26670.40400302281 0.40495632722288555 
tobb 	 1251.4513142917294 1.3401677223350161 
miliardot 	 26670.40400302281 0.40495632722288555 
kap 	 13318.42525979267 0.40495632722288555 
pluszban 	 23581.04701926713 0.40495632722288555 
kamatkent 	 26670.40400302281 0.40495632722288555 
koltsegvetestol 	 26670.40400302281 0.40495632722288555 
hatassal 	 21773.889032429044 0.40495632722288555 
allamhaztartas 	 17997.482468683276 0.40495632722288555 
egyenlegere 	 26670.40400302281 0.40495632722288555 
mondotta 	 14908.125484927601 0.40495632722288555 
nak 	 11818.768501171924 0.40495632722288555 
tetenyi 	 23581.04701926713 0.40495632722288555 
tamas 	 4107.958150528412 0.8647023100497607 
helyettes 	 14600.624256710256 0.40495632722288555 
allamtitkara 	 13788.017078079602 0.40495632722288555 
liberalbolsevik 	 15238.424716816739 0.40495632722288555 
ujsagiras 	 17997.482468683276 0.40495632722288555 
tovabbi 	 3837.0890909848604 0.8647023100497607 
talanyai 	 26670.40400302281 0.40495632722288555 
orszag 	 2068.3819492445946 1.1187178735619445 
kozul 	 11086.469801566705 0.40495632722288555 
utolso 	 12149.067733061063 0.40495632722288555 
harmadik 	 13318.42525979267 0.40495632722288555 
helyezesunk 	 26670.40400302281 0.40495632722288555 
kozmetikazasara 	 26670.40400302281 0.40495632722288555 
oecd 	 7797.587532458846 0.673536267813241 
szerint 	 556.2005841296576 1.6409280884746482 
magyarorszagon 	 3485.894163040769 0.8647023100497607 
iden 	 6074.533866530532 0.673536267813241 
ketto 	 18684.532048673365 0.40495632722288555 
pedig 	 2002.3221028667672 1.1187178735619445 
harom 	 5543.234900783353 0.673536267813241 
szazalekos 	 2302.253454590916 1.1187178735619445 
gazdasagi 	 5228.841244561153 0.673536267813241 
novekedes 	 14042.772128564251 0.40495632722288555 
varhato 	 13547.039472877983 0.40495632722288555 
evente 	 15595.175064917692 0.40495632722288555 
ketszer 	 17997.482468683276 0.40495632722288555 
keszitett 	 14042.772128564251 0.40495632722288555 
prognozisok 	 26670.40400302281 0.40495632722288555 
soraban 	 26670.40400302281 0.40495632722288555 
szerepelt 	 19497.139227304022 0.40495632722288555 
tagok 	 17997.482468683276 0.40495632722288555 
magyarorszag 	 2091.536497824461 1.1187178735619445 
adatok 	 15238.424716816739 0.40495632722288555 
alapjan 	 3695.4899338555683 0.8647023100497607 
milliard 	 5611.809542122213 0.673536267813241 
dollaros 	 7991.4923860802355 0.673536267813241 
gdp 	 6773.5197364389915 0.673536267813241 
helyet 	 14042.772128564251 0.40495632722288555 
kapta 	 16877.37406183528 0.40495632722288555 
osszehasonlitasban 	 23581.04701926713 0.40495632722288555 
szerepel 	 7300.312128355128 0.673536267813241 
mert 	 1251.4513142917294 1.3401677223350161 
masik 	 11086.469801566705 0.40495632722288555 
tagot 	 26670.40400302281 0.40495632722288555 
csehorszagot 	 21773.889032429044 0.40495632722288555 
figyelembe 	 13788.017078079602 0.40495632722288555 
jelentes 	 16877.37406183528 0.40495632722288555 
fore 	 18684.532048673365 0.40495632722288555 
juto 	 20491.690035511456 0.40495632722288555 
brutto 	 7454.0627424638005 0.673536267813241 
termek 	 16877.37406183528 0.40495632722288555 
eleg 	 12505.818081162015 0.40495632722288555 
alacsony 	 14908.125484927601 0.40495632722288555 
korulbelul 	 9342.266024336683 0.673536267813241 
dollar 	 5349.330047161962 0.673536267813241 
vasarlo 	 26670.40400302281 0.40495632722288555 
eltereset 	 26670.40400302281 0.40495632722288555 
szamitasba 	 21773.889032429044 0.40495632722288555 
veve 	 15982.984772160471 0.40495632722288555 
ertek 	 16877.37406183528 0.40495632722288555 
prognozis 	 23581.04701926713 0.40495632722288555 
vartnal 	 19497.139227304022 0.40495632722288555 
lassaban 	 26670.40400302281 0.40495632722288555 
novekszik 	 17997.482468683276 0.40495632722288555 
fejlett 	 18684.532048673365 0.40495632722288555 
orszagok 	 13100.96749808951 0.40495632722288555 
gazdasaga 	 23581.04701926713 0.40495632722288555 
unkbol 	 26670.40400302281 0.40495632722288555 
skalat 	 26670.40400302281 0.40495632722288555 
individualisan 	 26670.40400302281 0.40495632722288555 
atirjuk 	 26670.40400302281 0.40495632722288555 
egesz 	 3566.2200314413085 0.8647023100497607 
orszagos 	 5909.384250585962 0.673536267813241 
besorolasnak 	 26670.40400302281 0.40495632722288555 
semmi 	 11365.12303263251 0.40495632722288555 
ertelme 	 14908.125484927601 0.40495632722288555 
kit 	 14312.976068000102 0.40495632722288555 
neznek 	 10245.845017755728 0.673536267813241 
ezek 	 3566.2200314413085 0.8647023100497607 
hulyenek 	 21773.889032429044 0.40495632722288555 
negyedev 	 26670.40400302281 0.40495632722288555 
alatt 	 2557.267069009248 1.0077084435651138 
majdnem 	 14908.125484927601 0.40495632722288555 
zuhant 	 19497.139227304022 0.40495632722288555 
realber 	 20491.690035511456 0.40495632722288555 
tehat 	 10824.217692964492 0.40495632722288555 
berek 	 16877.37406183528 0.40495632722288555 
elvesztik 	 23581.04701926713 0.40495632722288555 
egyharmadukat 	 26670.40400302281 0.40495632722288555 
johet 	 16407.782243548347 0.40495632722288555 
sikerpropaganda 	 23581.04701926713 0.40495632722288555 
hazankban 	 7300.312128355128 0.673536267813241 
munkavallalok 	 17997.482468683276 0.40495632722288555 
letukert 	 26670.40400302281 0.40495632722288555 
kuzdenek 	 21773.889032429044 0.40495632722288555 
