term 	 tf-idf weight 	 BM25 ranking 
rites 	 1237.9830382156244 1.5998760641830831 
certainty 	 1301.1326632375458 1.5998760641830831 
equivalence 	 1497.2933153360104 1.5998760641830831 
examples 	 229.09682201099025 1.8460988424297673 
observer 	 691.2733448706999 1.7777012715532379 
dynamic 	 990.2253855444709 1.5998760641830831 
separation 	 507.42480261626804 1.7777012715532379 
theorem 	 846.7269837172375 1.7777012715532379 
combined 	 1104.9720111390814 1.5998760641830831 
words 	 760.7321343552497 1.5998760641830831 
software 	 794.0647334460064 1.5998760641830831 
scaling 	 1382.5466897413999 1.5998760641830831 
optimizing 	 1693.453967434475 1.5998760641830831 
functions 	 703.942327539461 1.5998760641830831 
discontinuous 	 1497.2933153360104 1.5998760641830831 
derivatives 	 1693.453967434475 1.5998760641830831 
lyapunov 	 1693.453967434475 1.5998760641830831 
equations 	 1693.453967434475 1.5998760641830831 
crystal 	 1301.1326632375458 1.5998760641830831 
ball 	 1186.3860376429352 1.5998760641830831 
discrete 	 1497.2933153360104 1.5998760641830831 
instructor 	 1301.1326632375458 1.5998760641830831 
david 	 712.6507069421523 1.5998760641830831 
sonnabend 	 748.6466576680052 1.7777012715532379 
years' 	 1301.1326632375458 1.5998760641830831 
experience 	 507.7816754409965 1.5998760641830831 
space 	 592.0688230691676 1.5998760641830831 
instrument 	 891.6545910665657 1.5998760641830831 
navigation 	 1186.3860376429352 1.5998760641830831 
including 	 248.4713983206106 1.5998760641830831 
jpl 	 794.0647334460064 1.5998760641830831 
currently 	 597.9040813475418 1.5998760641830831 
president 	 479.2539455894802 1.5998760641830831 
analytical 	 1014.8496052325361 1.5998760641830831 
evolved 	 1071.6394120483249 1.5998760641830831 
various 	 345.7587438867099 1.5998760641830831 
studies 	 303.17263477117217 1.5998760641830831 
book 	 456.9002251863078 1.5998760641830831 
describing 	 1014.8496052325361 1.5998760641830831 
published 	 671.5641981561594 1.5998760641830831 
presently 	 1104.9720111390814 1.5998760641830831 
engaged 	 1142.7613952518213 1.5998760641830831 
extending 	 1237.9830382156244 1.5998760641830831 
holds 	 908.8113590406168 1.5998760641830831 
physics 	 946.6007431533567 1.5998760641830831 
ucla 	 1382.5466897413999 1.5998760641830831 
stanford 	 1104.9720111390814 1.5998760641830831 
university 	 679.3181078513958 1.5998760641830831 
registered 	 831.8541175587461 1.5998760641830831 
professional 	 569.8613558992245 1.5998760641830831 
engineer 	 1186.3860376429352 1.5998760641830831 
colorado 	 1071.6394120483249 1.5998760641830831 
imagemap 	 946.6007431533567 1.5998760641830831 
navbar 	 1301.1326632375458 1.5998760641830831 
ismap 	 1301.1326632375458 1.5998760641830831 
launchspace 	 1301.1326632375458 1.5998760641830831 
map 	 750.4400910548922 1.5998760641830831 
