term 	 tf-idf weight 	 BM25 ranking 
 http 	 19.524768211239444 1.9243236991495973 
www 	 19.351278712742694 1.9243236991495973 
cpj 	 70.22073142317305 1.9643460490761082 
org 	 97.26234333513511 1.934782066991139 
pictures 	 857.4297981054582 1.6181791657136064 
newsalert 	 1167.991064323575 1.6181791657136064 
gif 	 92.27029023136973 1.6181791657136064 
news 	 81.21486728107458 1.9243236991495973 
index 	 23.221534455291234 1.9098705056524905 
html 	 34.972487715693696 1.8541655058268998 
alert 	 478.7364745531575 1.7889431027050382 
website 	 405.77288975302014 1.7889431027050382 
immediate 	 784.8234960713258 1.6181791657136064 
release 	 672.3595008959528 1.6181791657136064 
dec 	 297.69422664540195 1.8541655058268998 
contact 	 431.06841033478514 1.6181791657136064 
suzanne 	 1597.7109869434798 1.6181791657136064 
bilello 	 1597.7109869434798 1.6181791657136064 
mailto 	 193.95972261206217 1.6181791657136064 
americas 	 1227.570392524469 1.6181791657136064 
hails 	 1412.6406897339746 1.6181791657136064 
historic 	 934.2409114500838 1.6181791657136064 
verdict 	 521.2500476574818 1.7889431027050382 
argentine 	 282.5281379467949 1.9098705056524905 
libel 	 306.89259813111727 1.8885932611950376 
judge's 	 1412.6406897339746 1.6181791657136064 
ruling 	 772.4026518968095 1.6181791657136064 
menem 	 159.77109869434798 1.9538964299624708 
supports 	 893.0826799362059 1.6181791657136064 
journalist's 	 1412.6406897339746 1.6181791657136064 
fulfill 	 1119.311208659589 1.6181791657136064 
duty' 	 1597.7109869434798 1.6181791657136064 
york 	 441.40518508702945 1.6181791657136064 
committee 	 279.29748367397127 1.7889431027050382 
protect 	 299.8765994309103 1.7889431027050382 
journalists 	 121.29986854862403 1.9243236991495973 
hailed 	 1119.311208659589 1.6181791657136064 
court 	 491.4940149969406 1.6181791657136064 
decision 	 158.35268585536397 1.8541655058268998 
argentina 	 583.9955321617875 1.7889431027050382 
suit 	 478.7364745531575 1.7889431027050382 
brought 	 698.6430003370913 1.6181791657136064 
president 	 90.43166323137189 1.9098705056524905 
carlos 	 1119.311208659589 1.6181791657136064 
newspaper 	 760.5340312903968 1.6181791657136064 
pagina 	 319.54219738869597 1.9098705056524905 
victory 	 420.6215120402351 1.7889431027050382 
press 	 62.06710431676555 1.934782066991139 
freedom 	 102.71454062551717 1.9098705056524905 
judge 	 363.8996056458721 1.7889431027050382 
maria 	 874.6615832491897 1.6181791657136064 
laura 	 811.5457795060403 1.6181791657136064 
garrigos 	 1597.7109869434798 1.6181791657136064 
rebori 	 1597.7109869434798 1.6181791657136064 
columnist 	 1304.3815058690946 1.6181791657136064 
horacio 	 1227.570392524469 1.6181791657136064 
verbitsky 	 798.8554934717399 1.7889431027050382 
doing 	 664.1434680319296 1.6181791657136064 
job 	 332.0717340159648 1.7889431027050382 
journalist 	 437.33079162459484 1.7889431027050382 
wrote 	 893.0826799362059 1.6181791657136064 
tortured 	 1227.570392524469 1.6181791657136064 
claimed 	 811.5457795060403 1.6181791657136064 
arrest 	 797.8504699045643 1.6181791657136064 
military 	 241.57479294067235 1.7889431027050382 
dictatorship 	 505.52601239735463 1.7889431027050382 
acquitted 	 1597.7109869434798 1.6181791657136064 
ernesto 	 1412.6406897339746 1.6181791657136064 
tiffenberg 	 1597.7109869434798 1.6181791657136064 
fernando 	 1597.7109869434798 1.6181791657136064 
sokolowicz 	 1597.7109869434798 1.6181791657136064 
editors 	 1011.0520247947093 1.6181791657136064 
sued 	 521.2500476574818 1.7889431027050382 
pay 	 581.3321021748045 1.6181791657136064 
costs 	 569.7215772868942 1.6181791657136064 
trial 	 672.3595008959528 1.6181791657136064 
expression 	 727.7992112917442 1.6181791657136064 
meant 	 982.9207671140697 1.6181791657136064 
inform 	 982.9207671140697 1.6181791657136064 
society 	 202.65675963135297 1.7889431027050382 
informed 	 893.0826799362059 1.6181791657136064 
fulfilled 	 1167.991064323575 1.6181791657136064 
duty 	 717.722543720324 1.6181791657136064 
imposed 	 825.9817275852039 1.6181791657136064 
telling 	 912.8695085012495 1.6181791657136064 
truth 	 857.4297981054582 1.6181791657136064 
television 	 672.3595008959528 1.6181791657136064 
interview 	 738.2711417036703 1.6181791657136064 
major 	 357.6586168727334 1.6181791657136064 
privotal 	 1597.7109869434798 1.6181791657136064 
moment 	 934.2409114500838 1.6181791657136064 
country's 	 772.4026518968095 1.6181791657136064 
evolution 	 612.7801726950588 1.6181791657136064 
democratic 	 558.5949673479425 1.6181791657136064 
william 	 626.4754822965349 1.6181791657136064 
orme 	 1227.570392524469 1.6181791657136064 
cpj's 	 1227.570392524469 1.6181791657136064 
executive 	 640.9114303756985 1.6181791657136064 
director 	 633.595904267472 1.6181791657136064 
commend 	 1304.3815058690946 1.6181791657136064 
colleagues 	 912.8695085012495 1.6181791657136064 
principled 	 1412.6406897339746 1.6181791657136064 
pursuit 	 1078.1529771457112 1.6181791657136064 
particularly 	 475.0580575660919 1.6181791657136064 
held 	 504.52098883017896 1.6181791657136064 
esteem 	 1078.1529771457112 1.6181791657136064 
majority 	 664.1434680319296 1.6181791657136064 
people 	 156.42888202952216 1.7889431027050382 
legal 	 227.92056658309656 1.7889431027050382 
assault 	 874.6615832491897 1.6181791657136064 
government 	 157.51868399985017 1.7889431027050382 
october 	 575.4637340808914 1.6181791657136064 
publishing 	 874.6615832491897 1.6181791657136064 
article 	 581.3321021748045 1.6181791657136064 
questioned 	 1412.6406897339746 1.6181791657136064 
veracity 	 1597.7109869434798 1.6181791657136064 
president's 	 874.6615832491897 1.6181791657136064 
claims 	 664.1434680319296 1.6181791657136064 
torture 	 1167.991064323575 1.6181791657136064 
fourth 	 760.5340312903968 1.6181791657136064 
initiated 	 893.0826799362059 1.6181791657136064 
paper 	 306.4237177874352 1.6181791657136064 
target 	 1011.0520247947093 1.6181791657136064 
lawsuits 	 1078.1529771457112 1.6181791657136064 
criticized 	 934.2409114500838 1.6181791657136064 
continued 	 612.7801726950588 1.6181791657136064 
harassment 	 957.472949106315 1.6181791657136064 
letter 	 738.2711417036703 1.6181791657136064 
broad 	 689.5912860396843 1.6181791657136064 
range 	 606.1872451334297 1.6181791657136064 
writers 	 772.4026518968095 1.6181791657136064 
officials 	 626.4754822965349 1.6181791657136064 
rallied 	 1597.7109869434798 1.6181791657136064 
support 	 370.81398695754433 1.6181791657136064 
including 	 234.42354541202485 1.6181791657136064 
association 	 518.216298431655 1.6181791657136064 
defense 	 276.6004222470824 1.7889431027050382 
independent 	 252.26049441508948 1.7889431027050382 
journalism 	 934.2409114500838 1.6181791657136064 
formed 	 760.5340312903968 1.6181791657136064 
ago 	 784.8234960713258 1.6181791657136064 
act 	 487.2892036864475 1.6181791657136064 
behalf 	 857.4297981054582 1.6181791657136064 
threatened 	 825.9817275852039 1.6181791657136064 
harassed 	 1227.570392524469 1.6181791657136064 
scores 	 1304.3815058690946 1.6181791657136064 
thousands 	 841.2430240804701 1.6181791657136064 
murdered 	 957.472949106315 1.6181791657136064 
disappeared 	 1304.3815058690946 1.6181791657136064 
nonpartisan 	 1304.3815058690946 1.6181791657136064 
nonprofit 	 626.4754822965349 1.6181791657136064 
organization 	 390.3934368713861 1.6181791657136064 
devoted 	 1119.311208659589 1.6181791657136064 
professional 	 537.6430460250633 1.6181791657136064 
rights 	 245.9981131252797 1.6181791657136064 
world 	 296.0333016487724 1.6181791657136064 
information 	 221.78213121257284 1.6181791657136064 
freely 	 912.8695085012495 1.6181791657136064 
copied 	 1042.5000953149636 1.6181791657136064 
distributed 	 841.2430240804701 1.6181791657136064 
provided 	 612.7801726950588 1.6181791657136064 
properly 	 857.4297981054582 1.6181791657136064 
attributed 	 912.8695085012495 1.6181791657136064 
alerts 	 1227.570392524469 1.6181791657136064 
