term 	 tf-idf weight 	 BM25 ranking 
brock 	 862.398623320741 1.7481773199647428 
texas_ 	 796.3078106991102 1.7481773199647428 
bentsen 	 862.398623320741 1.7481773199647428 
tower 	 713.0432340252537 1.7481773199647428 
utah_ 	 796.3078106991102 1.7481773199647428 
moss 	 796.3078106991102 1.7481773199647428 
bennett 	 683.3248202678391 1.7481773199647428 
vermont_ 	 796.3078106991102 1.7481773199647428 
aiken 	 862.398623320741 1.7481773199647428 
stafford 	 862.398623320741 1.7481773199647428 
virginia_ 	 398.1539053495551 1.8656292600171724 
byrd 	 374.70781644473493 1.8656292600171724 
washington_ 	 796.3078106991102 1.7481773199647428 
jackson 	 545.2152690247249 1.7481773199647428 
magnuson 	 862.398623320741 1.7481773199647428 
west 	 290.0167167912846 1.7481773199647428 
randolph 	 513.5678386708488 1.7481773199647428 
wisconsin_ 	 796.3078106991102 1.7481773199647428 
nelson 	 617.2340076462083 1.7481773199647428 
proxmire 	 862.398623320741 1.7481773199647428 
wyoming_ 	 796.3078106991102 1.7481773199647428 
mcgee 	 862.398623320741 1.7481773199647428 
hansen 	 713.0432340252537 1.7481773199647428 
