term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 1447.6020423238472 1.0230062350935416 
logo_asm 	 4342.806126971542 0.5174554686276136 
gif 	 186.7292640013113 1.3536276878527662 
subject 	 2866.15446298182 0.5174554686276136 
index 	 704.9083773787844 0.8221880785199407 
anthropology 	 4311.78196677718 0.5174554686276136 
ant 	 4342.806126971542 0.5174554686276136 
idx 	 228.56874352481796 1.7379320258786917 
html 	 42.46472103905579 1.825646672095196 
architecture 	 4160.964076088858 0.5174554686276136 
arc 	 2051.2740406245875 0.8221880785199407 
art 	 458.70491329505904 1.4726094333971056 
black 	 936.6320714134528 1.1653200362906024 
studies 	 1157.6980941438637 1.0230062350935416 
blk 	 4342.806126971542 0.5174554686276136 
stu 	 4342.806126971542 0.5174554686276136 
business 	 1473.1039564999023 0.8221880785199407 
bus 	 4131.624509333284 0.5174554686276136 
ecology 	 4311.78196677718 0.5174554686276136 
eco 	 4311.78196677718 0.5174554686276136 
economics 	 4102.548081249175 0.5174554686276136 
ecn 	 4311.78196677718 0.5174554686276136 
education 	 1173.7082635156721 1.0230062350935416 
edu 	 3545.4095482929456 0.5174554686276136 
film 	 1338.9504872780717 1.0230062350935416 
flm 	 4342.806126971542 0.5174554686276136 
gen 	 775.7746383776955 1.2714450032038727 
healthcare 	 4281.05187887655 0.5174554686276136 
med 	 2125.3051703311858 0.8221880785199407 
history 	 892.4693972407143 1.1653200362906024 
law 	 1355.8721640793285 0.8221880785199407 
linguistics 	 4281.05187887655 0.5174554686276136 
lin 	 4250.6103406623715 0.5174554686276136 
literature 	 203.68650568612316 1.7493935263132376 
lit 	 4311.78196677718 0.5174554686276136 
mass 	 3669.6393063604723 0.5174554686276136 
media 	 2807.3854821327513 0.5174554686276136 
mda 	 4342.806126971542 0.5174554686276136 
medicine 	 1994.3910112105186 0.8221880785199407 
music 	 4160.964076088858 0.5174554686276136 
mus 	 4311.78196677718 0.5174554686276136 
philosophy 	 2080.482038044429 0.8221880785199407 
phi 	 4342.806126971542 0.5174554686276136 
political 	 767.5302712407214 1.1653200362906024 
science 	 393.93439425477175 1.5170584509536702 
psi 	 4311.78196677718 0.5174554686276136 
psychology 	 1427.01729295885 1.0230062350935416 
psy 	 4281.05187887655 0.5174554686276136 
religion 	 4131.624509333284 0.5174554686276136 
rel 	 4311.78196677718 0.5174554686276136 
sci 	 4190.571587800988 0.5174554686276136 
shakespeare 	 2171.403063485771 0.8221880785199407 
sha 	 2140.525939438275 0.8221880785199407 
sociology 	 4311.78196677718 0.5174554686276136 
soc 	 4311.78196677718 0.5174554686276136 
sports 	 4102.548081249175 0.5174554686276136 
recreation 	 4190.571587800988 0.5174554686276136 
spt 	 4220.451983651152 0.5174554686276136 
urban 	 2065.812254666642 0.8221880785199407 
urb 	 4342.806126971542 0.5174554686276136 
women's 	 4131.624509333284 0.5174554686276136 
wom 	 4342.806126971542 0.5174554686276136 
home 	 482.6279094379253 1.0230062350935416 
page 	 795.7081113389066 0.8221880785199407 
topic 	 4281.05187887655 0.5174554686276136 
search 	 983.3404673675466 1.1653200362906024 
custom 	 2110.225991825576 0.8221880785199407 
american 	 138.25121923729762 1.8014855186073875 
specific 	 1748.5102951452413 0.8221880785199407 
paper 	 744.1390959302358 1.2714450032038727 
click 	 1994.3910112105186 0.8221880785199407 
catalog 	 4250.6103406623715 0.5174554686276136 
button 	 3878.873191888478 0.5174554686276136 
title 	 1873.2641428269055 0.8221880785199407 
description 	 1980.4767626867729 0.8221880785199407 
written 	 3569.8775889628573 0.5174554686276136 
pgs 	 22.45719774363115 1.9705943508712906 
pages 	 3772.5685862963414 0.5174554686276136 
footnotes 	 4311.78196677718 0.5174554686276136 
sources 	 3772.5685862963414 0.5174554686276136 
price 	 3720.6954796511795 0.5174554686276136 
eugene 	 13091.280718750546 0.5174554686276136 
neill 	 7452.777551618593 0.8221880785199407 
freudian 	 2531.6743887723687 1.2714450032038727 
influence 	 797.1876086599896 1.4191490187477267 
contends 	 9378.761788200212 0.5174554686276136 
playwright's 	 17152.73826261253 0.5174554686276136 
views 	 961.3846583203933 1.3536276878527662 
interwoven 	 19399.921421987874 0.5174554686276136 
psychological 	 1488.1148463500979 1.2714450032038727 
theories 	 6652.942720695607 0.5174554686276136 
freud 	 6545.640359375273 0.8221880785199407 
red 	 2066.7337262617566 1.1653200362906024 
badge 	 5717.579420870844 1.0230062350935416 
courage 	 3726.3887758092965 1.1653200362906024 
boat 	 3164.5929859654607 1.1653200362906024 
comparative 	 2066.7337262617566 1.1653200362906024 
review 	 198.8240928248815 1.769550839766112 
