term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 1199.7861467378707 1.1163633306259988 
logo_asm 	 3599.3584402136125 0.59266383415492 
gif 	 154.76296495111762 1.432905232396955 
subject 	 1187.7478473214298 0.9143705039540525 
index 	 584.2346730465126 0.9143705039540525 
anthropology 	 3573.645325333215 0.59266383415492 
ant 	 3599.3584402136125 0.59266383415492 
idx 	 189.43991790597963 1.7778115203649532 
html 	 35.19515898579362 1.8533050772231077 
architecture 	 3448.6460433222583 0.59266383415492 
arc 	 1700.115159518281 0.9143705039540525 
art 	 760.3578667636173 1.2549818256992191 
black 	 1552.5788870375986 0.9143705039540525 
studies 	 959.5110360779029 1.1163633306259988 
blk 	 3599.3584402136125 0.59266383415492 
stu 	 3599.3584402136125 0.59266383415492 
business 	 2441.844744673188 0.59266383415492 
bus 	 3424.3291352802385 0.59266383415492 
ecology 	 3573.645325333215 0.59266383415492 
eco 	 3573.645325333215 0.59266383415492 
economics 	 1700.115159518281 0.9143705039540525 
ecn 	 3573.645325333215 0.59266383415492 
education 	 729.5853109345954 1.2549818256992191 
edu 	 2938.468678674628 0.59266383415492 
film 	 3329.2041572944277 0.59266383415492 
flm 	 3599.3584402136125 0.59266383415492 
gen 	 642.9692946702245 1.3560067964848808 
healthcare 	 3548.1759403273563 0.59266383415492 
med 	 1761.4728540036695 0.9143705039540525 
history 	 591.7496040433805 1.3560067964848808 
law 	 1123.7595635043663 0.9143705039540525 
linguistics 	 3548.1759403273563 0.59266383415492 
lin 	 3522.945708007339 0.59266383415492 
literature 	 844.0864293316055 1.2549818256992191 
lit 	 3573.645325333215 0.59266383415492 
mass 	 3041.431467054469 0.59266383415492 
media 	 2326.7874122426597 0.59266383415492 
mda 	 3599.3584402136125 0.59266383415492 
medicine 	 3305.9399427036788 0.59266383415492 
music 	 1724.3230216611291 0.9143705039540525 
mus 	 3573.645325333215 0.59266383415492 
philosophy 	 492.6637204746083 1.4933979587063433 
phi 	 3599.3584402136125 0.59266383415492 
political 	 508.9090287042118 1.3560067964848808 
science 	 1469.234339337314 0.9143705039540525 
psi 	 3573.645325333215 0.59266383415492 
psychology 	 3548.1759403273563 0.59266383415492 
psy 	 3548.1759403273563 0.59266383415492 
religion 	 684.8658270560477 1.3560067964848808 
rel 	 3573.645325333215 0.59266383415492 
sci 	 3473.1850266567717 0.59266383415492 
shakespeare 	 3599.3584402136125 0.59266383415492 
sha 	 1774.0879701636782 0.9143705039540525 
sociology 	 3573.645325333215 0.59266383415492 
soc 	 3573.645325333215 0.59266383415492 
sports 	 3400.230319036562 0.59266383415492 
recreation 	 3473.1850266567717 0.59266383415492 
spt 	 3497.9501789237024 0.59266383415492 
urban 	 1712.1645676401192 0.9143705039540525 
urb 	 3599.3584402136125 0.59266383415492 
women's 	 1712.1645676401192 0.9143705039540525 
wom 	 3599.3584402136125 0.59266383415492 
home 	 600.0098053638364 0.9143705039540525 
page 	 659.4903439752135 0.9143705039540525 
topic 	 3548.1759403273563 0.59266383415492 
search 	 1086.6690667557464 1.1163633306259988 
custom 	 1748.9750894618512 0.9143705039540525 
poetry 	 269.0096759926349 1.8852148597150793 
specific 	 2898.3634565424204 0.59266383415492 
paper 	 770.9368255569648 1.2549818256992191 
click 	 1652.9699713518394 0.9143705039540525 
catalog 	 3522.945708007339 0.59266383415492 
button 	 3214.8464733511228 0.59266383415492 
title 	 1552.5788870375986 0.9143705039540525 
description 	 1094.2918078016364 1.1163633306259988 
written 	 739.6870050542257 1.2549818256992191 
pgs 	 19.74389682504539 1.97410116363391 
pages 	 3126.7402194257465 0.59266383415492 
footnotes 	 3573.645325333215 0.59266383415492 
sources 	 3126.7402194257465 0.59266383415492 
price 	 3083.747302227859 0.59266383415492 
life 	 166.46020786472138 1.787741911799015 
edgar 	 10491.377363712762 0.59266383415492 
allen 	 9891.79064133148 0.59266383415492 
poe 	 2470.772767575467 1.3560067964848808 
biographical 	 1497.9482902550467 1.432905232396955 
sketch 	 2246.9224353825703 1.2549818256992191 
analysis 	 75.13499869781089 1.8975907243456118 
fiction 	 9891.79064133148 0.59266383415492 
invariably 	 13126.86556655527 0.59266383415492 
horror 	 11754.277115496054 0.59266383415492 
melancholy 	 6563.432783277635 0.9143705039540525 
gloom 	 14216.350312041908 0.59266383415492 
depression 	 2934.101965281614 1.1163633306259988 
writings 	 1579.6409992087285 1.3560067964848808 
walt 	 2938.5692788740134 1.2549818256992191 
whitman 	 2058.977306312889 1.432905232396955 
examines 	 156.4938452266788 1.812836865315458 
style 	 825.4382570703569 1.5422289805622864 
contributions 	 6449.921398574913 0.59266383415492 
literary 	 940.6658367474919 1.5824740220231324 
world 	 248.26513156374887 1.6696123375319145 
eliot's 	 1679.1824450708648 1.4933979587063433 
found 	 2516.4593565863966 0.9143705039540525 
quarters 	 11754.277115496054 0.59266383415492 
comparison 	 182.18167370381448 1.8199332070644303 
poetic 	 1544.232979734667 1.5422289805622864 
vision 	 2175.2055149948087 1.1163633306259988 
earlier 	 3262.8082724922133 0.9143705039540525 
discusses 	 190.80631551755 1.7778115203649532 
concept 	 2705.331207245965 0.9143705039540525 
quartets 	 16078.836786206482 0.59266383415492 
application 	 4625.015956596466 0.59266383415492 
depiction 	 3918.0923718320178 1.1163633306259988 
child's 	 4493.8448707651405 0.9143705039540525 
william 	 630.4642775021682 1.6162146011208054 
faulkner's 	 13126.86556655527 0.59266383415492 
barn 	 14216.350312041908 0.59266383415492 
burning 	 11754.277115496054 0.59266383415492 
dylan 	 13126.86556655527 0.59266383415492 
thomas 	 7773.205714032686 0.59266383415492 
peaches 	 13126.86556655527 0.59266383415492 
techniques 	 5360.436653088275 0.59266383415492 
wasteland 	 6563.432783277635 0.9143705039540525 
joseph 	 8465.992530727428 0.59266383415492 
conrad's 	 7108.175156020954 0.9143705039540525 
heart 	 7773.205714032686 0.59266383415492 
darkness 	 5425.088107847427 0.9143705039540525 
death 	 442.02347199971854 1.6449097069388872 
fertility 	 11264.379092390696 0.59266383415492 
themes 	 753.9406144061551 1.6162146011208054 
derivation 	 13126.86556655527 0.59266383415492 
poem 	 317.92052617311396 1.8657457787199547 
book 	 542.2663008284493 1.5422289805622864 
christabel 	 16078.836786206482 0.59266383415492 
ancient 	 1757.7282227582064 1.2549818256992191 
mariner 	 16078.836786206482 0.59266383415492 
coleridge 	 7108.175156020954 0.9143705039540525 
focuses 	 1786.8122176960917 1.1163633306259988 
coleridge's 	 8039.418393103241 0.9143705039540525 
supernatural 	 12353.863837877336 0.59266383415492 
comparing 	 9186.81786270733 0.59266383415492 
eccentricities 	 14216.350312041908 0.59266383415492 
franklin's 	 6563.432783277635 0.9143705039540525 
tale 	 655.7110852320476 1.7415350492869335 
chaucer 	 1640.8581958194088 1.5422289805622864 
canterbury 	 1009.7588897350207 1.6911015330122263 
tales 	 772.1164898673335 1.7415350492869335 
summary 	 2757.0106555381085 0.9143705039540525 
review 	 517.9028564047785 1.4933979587063433 
