term 	 tf-idf weight 	 BM25 ranking 
 graphics 	 119.75619367991754 1.932704887670106 
x15 	 962.4088264277589 1.7034386914884945 
gif 	 13.61591548732572 1.932704887670106 
albright 	 1042.2854527250674 1.7034386914884945 
college 	 165.36182481461015 1.8903021883036597 
air 	 159.47729306065403 1.8903021883036597 
conditioning 	 384.5927317922244 1.83984543381637 
feasibility 	 176.6125196385244 1.9165828057696297 
study 	 59.752644068910136 1.9165828057696297 
mohn 	 392.9451490984589 1.8903021883036597 
hall 	 144.76613176596553 1.9165828057696297 
energy 	 46.706263306499444 1.9620462482641918 
audit 	 362.6130919877748 1.83984543381637 
diamond 	 825.8588318574497 1.7034386914884945 
index 	 42.83372928550911 1.83984543381637 
html 	 25.803670711579247 1.8903021883036597 
main 	 353.4734631161707 1.7034386914884945 
menu 	 689.3088372871405 1.7034386914884945 
entech 	 215.4440446364647 1.9165828057696297 
conducted 	 272.35845489817046 1.83984543381637 
alternative 	 437.8790245037447 1.7034386914884945 
cooling 	 430.8880892729294 1.83984543381637 
systems 	 77.67793889607967 1.9165828057696297 
merner 	 1178.8354472953765 1.7034386914884945 
pfeiffer 	 1178.8354472953765 1.7034386914884945 
science 	 215.436669035691 1.7034386914884945 
evaluated 	 412.92941592872484 1.83984543381637 
consisted 	 1042.2854527250674 1.7034386914884945 
direct 	 437.8790245037447 1.7034386914884945 
expansion 	 467.48461850446427 1.7034386914884945 
units 	 299.3904841997939 1.83984543381637 
source 	 242.07121197299637 1.83984543381637 
heat 	 336.77021193772686 1.83984543381637 
pumps 	 481.20441321387943 1.83984543381637 
water 	 152.37126766927872 1.8903021883036597 
chilled 	 1178.8354472953765 1.7034386914884945 
thermal 	 861.7761785458588 1.7034386914884945 
storage 	 795.4911479314799 1.7034386914884945 
ice 	 658.9411533611706 1.7034386914884945 
construction 	 157.6274054731743 1.8903021883036597 
costs 	 140.11878991949834 1.8903021883036597 
comfort 	 725.2261839755496 1.7034386914884945 
consumption 	 658.9411533611706 1.7034386914884945 
operating 	 515.4781687880412 1.7034386914884945 
maintenance 	 502.3399680118027 1.7034386914884945 
expected 	 496.0854744438304 1.7034386914884945 
useful 	 598.7809683995878 1.7034386914884945 
life 	 244.08381800781623 1.7034386914884945 
completed 	 289.53226353193105 1.83984543381637 
november 	 472.8822164195228 1.7034386914884945 
dormitory 	 1042.2854527250674 1.7034386914884945 
evaluation 	 416.20884814652203 1.7034386914884945 
covered 	 536.9904293051446 1.7034386914884945 
inculding 	 1178.8354472953765 1.7034386914884945 
outside 	 467.48461850446427 1.7034386914884945 
lighting 	 256.39515452814965 1.8903021883036597 
identified 	 620.6924185163019 1.7034386914884945 
conservation 	 344.65441864357024 1.83984543381637 
opportunities 	 496.0854744438304 1.7034386914884945 
ecos 	 392.9451490984589 1.8903021883036597 
efficient 	 632.6354690141396 1.7034386914884945 
fluorescent 	 589.4177236476883 1.83984543381637 
incandescent 	 1178.8354472953765 1.7034386914884945 
power 	 283.80637518818577 1.7034386914884945 
