term 	 tf-idf weight 	 BM25 ranking 
 graphics 	 119.75619367991754 1.932704887670106 
factor 	 579.0645270638621 1.7034386914884945 
correction 	 769.1854635844488 1.7034386914884945 
replace 	 658.9411533611706 1.7034386914884945 
electric 	 609.4322109898321 1.7034386914884945 
rooftop 	 589.4177236476883 1.83984543381637 
gas 	 609.4322109898321 1.7034386914884945 
hvac 	 1178.8354472953765 1.7034386914884945 
unit 	 515.4781687880412 1.7034386914884945 
estimated 	 264.77779234626183 1.83984543381637 
cost 	 400.4404347348354 1.7034386914884945 
approximately 	 544.7169097963409 1.7034386914884945 
annual 	 579.0645270638621 1.7034386914884945 
savings 	 569.9000839837884 1.7034386914884945 
reduction 	 588.6761894052403 1.7034386914884945 
current 	 277.6173845302101 1.7034386914884945 
expenditures 	 588.6761894052403 1.7034386914884945 
resulting 	 484.14242394599273 1.7034386914884945 
simple 	 515.4781687880412 1.7034386914884945 
payback 	 1178.8354472953765 1.7034386914884945 
period 	 378.9281742177319 1.7034386914884945 
submitted 	 673.5404238754537 1.7034386914884945 
measure 	 552.7588427168313 1.7034386914884945 
ecm 	 1042.2854527250674 1.7034386914884945 
grant 	 336.77021193772686 1.83984543381637 
application 	 339.08751151823736 1.7034386914884945 
pennsylvania 	 588.6761894052403 1.7034386914884945 
office 	 323.10577919020074 1.7034386914884945 
cycle 	 569.9000839837884 1.7034386914884945 
xvi 	 1042.2854527250674 1.7034386914884945 
funding 	 569.9000839837884 1.7034386914884945 
accepted 	 632.6354690141396 1.7034386914884945 
pay 	 428.9229368106235 1.7034386914884945 
engineering 	 552.7588427168313 1.7034386914884945 
involv 	 1178.8354472953765 1.7034386914884945 
maximum 	 552.7588427168313 1.7034386914884945 
amount 	 467.48461850446427 1.7034386914884945 
contact 	 159.02711017968664 1.83984543381637 
howard 	 745.9822055601413 1.7034386914884945 
holden 	 1042.2854527250674 1.7034386914884945 
director 	 467.48461850446427 1.7034386914884945 
physical 	 372.2495685376227 1.7034386914884945 
plant 	 579.0645270638621 1.7034386914884945 
bill 	 442.514532493553 1.7034386914884945 
leitzke 	 1178.8354472953765 1.7034386914884945 
utilities 	 769.1854635844488 1.7034386914884945 
foreman 	 1178.8354472953765 1.7034386914884945 
return 	 299.0515479204235 1.7034386914884945 
list 	 452.126194834931 1.7034386914884945 
pleased 	 825.8588318574497 1.7034386914884945 
talk 	 609.4322109898321 1.7034386914884945 
projects 	 529.5555846925237 1.7034386914884945 
please 	 350.5110012753562 1.7034386914884945 
marketing 	 462.2309738292785 1.7034386914884945 
matt 	 861.7761785458588 1.7034386914884945 
lloyd 	 795.4911479314799 1.7034386914884945 
email 	 658.9411533611706 1.7034386914884945 
mlloyd 	 430.8880892729294 1.83984543381637 
entecheng 	 430.8880892729294 1.83984543381637 
novell 	 481.20441321387943 1.83984543381637 
net 	 228.55690150391808 1.83984543381637 
mailto 	 143.10885900590355 1.7034386914884945 
updated 	 211.04243480537426 1.7034386914884945 
june 	 412.14684856758305 1.7034386914884945 
