term 	 tf-idf weight 	 BM25 ranking 
hybrid 	 1534.3288390369012 1.5919980154511306 
minimum 	 769.0022134484761 1.5919980154511306 
distance 	 1039.9518922877578 1.5919980154511306 
decision 	 515.9806617759051 1.5919980154511306 
tree 	 1014.7185929607652 1.5919980154511306 
classifier 	 867.6707606996426 1.7728272773014728 
achieved 	 1039.9518922877578 1.5919980154511306 
percent 	 267.2891773958357 1.8425917064300459 
accuracy 	 519.9759461438789 1.7728272773014728 
training 	 625.0355164174476 1.5919980154511306 
estimate 	 1098.1463939717817 1.5919980154511306 
mass 	 164.1263724312981 1.7728272773014728 
friction 	 578.4471737997618 1.8425917064300459 
unknown 	 1098.1463939717817 1.5919980154511306 
home 	 129.51458396390962 1.5919980154511306 
pendulum 	 578.4471737997618 1.8425917064300459 
trajectories 	 1416.7439576855334 1.5919980154511306 
camera 	 1215.7312753231492 1.5919980154511306 
dynamics 	 758.8257307032078 1.5919980154511306 
simple 	 758.8257307032078 1.5919980154511306 
permit 	 1171.0275781732444 1.5919980154511306 
advance 	 881.4542174410175 1.5919980154511306 
calculation 	 1416.7439576855334 1.5919980154511306 
instantaneous 	 1416.7439576855334 1.5919980154511306 
eliminating 	 1067.591844431012 1.5919980154511306 
acquired 	 852.4300144594926 1.5919980154511306 
sequence 	 634.3022633966981 1.7728272773014728 
images 	 552.8556626666266 1.5919980154511306 
figure 	 271.2353035327937 1.8425917064300459 
contact 	 468.201644183849 1.5919980154511306 
sliding 	 867.6707606996426 1.7728272773014728 
image 	 524.7692131295505 1.5919980154511306 
employed 	 813.705910598381 1.5919980154511306 
basic 	 600.8548498251229 1.5919980154511306 
blob 	 1735.3415213992853 1.5919980154511306 
finding 	 852.4300144594926 1.5919980154511306 
techniques 	 578.5361478956456 1.5919980154511306 
determine 	 672.9086440216878 1.5919980154511306 
position 	 420.887668384841 1.5919980154511306 
positions 	 739.4852320985927 1.5919980154511306 
derived 	 991.5062077354395 1.5919980154511306 
velocity 	 1534.3288390369012 1.5919980154511306 
acceleration 	 634.3022633966981 1.7728272773014728 
expected 	 730.2781095873645 1.5919980154511306 
estimated 	 779.5488302580297 1.5919980154511306 
accelerations 	 1735.3415213992853 1.5919980154511306 
computed 	 511.44294634563374 1.8425917064300459 
