term 	 tf-idf weight 	 BM25 ranking 
days 	 496.4927883981354 1.6560711487949864 
federal 	 418.12226040461275 1.6560711487949864 
prove 	 769.8332287024704 1.6560711487949864 
convicted 	 822.2719632613098 1.6560711487949864 
defendant 	 917.5562636667283 1.6560711487949864 
created 	 436.34844547589324 1.6560711487949864 
situation 	 456.10797802037047 1.6560711487949864 
legally 	 842.7196368538728 1.6560711487949864 
despite 	 606.9436412708832 1.6560711487949864 
please 	 418.12226040461275 1.6560711487949864 
protest 	 726.987662855891 1.6560711487949864 
continued 	 539.3383542447147 1.6560711487949864 
barbarism 	 1406.2250259614898 1.6560711487949864 
write 	 477.6827520948544 1.6560711487949864 
governor 	 803.4619269580286 1.6560711487949864 
george 	 640.5723395264415 1.6560711487949864 
allen 	 865.117529107889 1.6560711487949864 
assembly 	 842.7196368538728 1.6560711487949864 
building 	 464.501727431859 1.6560711487949864 
richmond 	 1148.051138124484 1.6560711487949864 
nonoose 	 1406.2250259614898 1.6560711487949864 
home 	 104.95147321213366 1.6560711487949864 
index 	 102.19214601111311 1.6560711487949864 
html 	 92.34308554143841 1.6560711487949864 
webmaster 	 421.3598184269364 1.811858775604862 
iol 	 574.025569062242 1.811858775604862 
mailto 	 170.7136135349611 1.6560711487949864 
june 	 491.6472559054925 1.6560711487949864 
ireland 	 769.8332287024704 1.6560711487949864 
line_ 	 1406.2250259614898 1.6560711487949864 
