term 	 tf-idf weight 	 BM25 ranking 
 newtau 	 190.52763568874414 1.9333653244045248 
gif 	 6.738841421392171 1.9661182371329504 
battle 	 38.21237995852898 1.9772838810627853 
creek 	 52.49433971121441 1.9772838810627853 
philip 	 85.30271818093526 1.9661182371329504 
neri 	 116.68675747340022 1.9661182371329504 
fraternity 	 190.52763568874414 1.9333653244045248 
janice 	 233.37351494680044 1.9333653244045248 
gray 	 157.4830191336432 1.9333653244045248 
sfo 	 179.3080348631247 1.9333653244045248 
minister 	 88.54420434533243 1.9333653244045248 
jgray 	 116.68675747340022 1.9661182371329504 
mail 	 34.40635722246613 1.9661182371329504 
iserv 	 116.68675747340022 1.9661182371329504 
net 	 45.24730537387211 1.9661182371329504 
mailto 	 28.331195437716946 1.9333653244045248 
academy 	 152.27529482128682 1.9333653244045248 
street 	 83.21775848010815 1.9333653244045248 
meet 	 80.80461773510272 1.9333653244045248 
sunday 	 179.3080348631247 1.9333653244045248 
parish 	 179.3080348631247 1.9333653244045248 
prayer 	 179.3080348631247 1.9333653244045248 
capital 	 91.50765471747138 1.9333653244045248 
ave 	 170.60543636187052 1.9333653244045248 
index 	 16.959547635886857 1.9333653244045248 
bluhome 	 190.52763568874414 1.9333653244045248 
newfrat 	 190.52763568874414 1.9333653244045248 
htm 	 25.586344364006766 1.9333653244045248 
