term 	 tf-idf weight 	 BM25 ranking 
 shared 	 116.27767787481321 1.9225255128460808 
vision 	 184.57270465903105 1.8741265159511225 
line 	 371.00785951145247 1.6645977922948945 
october 	 245.70361679858286 1.8169500574331428 
shaman 	 278.4634675450876 1.9040857544308787 
column 	 890.2248004936769 1.6645977922948945 
soul 	 127.10540014073341 1.9350183926463873 
retrieval 	 174.7103929435574 1.9350183926463873 
rick 	 997.3856279617046 1.6645977922948945 
gossett 	 603.1499574145059 1.8169500574331428 
dealing 	 459.1109157067957 1.6645977922948945 
traumatic 	 524.1311788306722 1.8169500574331428 
incidents 	 779.529018495449 1.6645977922948945 
situations 	 319.8705993386739 1.8169500574331428 
lost 	 149.14850568994083 1.9040857544308787 
disconnected 	 682.1687359983398 1.8169500574331428 
causing 	 746.9020261453755 1.6645977922948945 
stuck 	 556.9269350901752 1.8169500574331428 
emotionally 	 920.669958012068 1.6645977922948945 
element 	 718.3648295518622 1.6645977922948945 
involves 	 705.3327111963539 1.6645977922948945 
usually 	 574.1496861583418 1.6645977922948945 
issues 	 316.6501461659929 1.6645977922948945 
circle 	 890.2248004936769 1.6645977922948945 
abuse 	 581.388389374066 1.6645977922948945 
molestation 	 1206.2999148290119 1.6645977922948945 
childhood 	 705.3327111963539 1.6645977922948945 
trauma 	 955.8163130126828 1.6645977922948945 
people 	 133.57971948588408 1.8169500574331428 
don 	 231.001794915577 1.8741265159511225 
feel 	 732.1872433260093 1.6645977922948945 
piece 	 389.7645092477245 1.8169500574331428 
missing 	 863.3702683640214 1.6645977922948945 
relates 	 681.3105136263695 1.6645977922948945 
person 	 73.09274426534931 1.9350183926463873 
example 	 402.28971521652704 1.6645977922948945 
spouse 	 817.6173497986509 1.6645977922948945 
parent 	 681.3105136263695 1.6645977922948945 
doesn 	 1206.2999148290119 1.6645977922948945 
fully 	 588.8644689777079 1.6645977922948945 
attachment 	 1206.2999148290119 1.6645977922948945 
partner 	 670.186356195739 1.6645977922948945 
child 	 496.4184243290465 1.6645977922948945 
clues 	 1206.2999148290119 1.6645977922948945 
loss 	 270.5240939568981 1.8169500574331428 
occurred 	 596.5940227597633 1.6645977922948945 
stressful 	 1113.8538701803504 1.6645977922948945 
times 	 371.00785951145247 1.6645977922948945 
lives 	 553.7181139770931 1.6645977922948945 
decides 	 797.7787558450154 1.6645977922948945 
leave 	 705.3327111963539 1.6645977922948945 
goes 	 604.5948436767329 1.6645977922948945 
fear 	 588.8644689777079 1.6645977922948945 
self 	 412.57717446047417 1.6645977922948945 
preservation 	 863.3702683640214 1.6645977922948945 
confusion 	 817.6173497986509 1.6645977922948945 
stolen 	 997.3856279617046 1.6645977922948945 
unable 	 670.186356195739 1.6645977922948945 
home 	 50.91262955822654 1.8169500574331428 
life 	 141.2464733649292 1.8169500574331428 
limited 	 481.7036415096803 1.6645977922948945 
resources 	 142.3527436550548 1.8741265159511225 
hole 	 1113.8538701803504 1.6645977922948945 
begins 	 366.0936216630046 1.8169500574331428 
aware 	 705.3327111963539 1.6645977922948945 
preparing 	 779.529018495449 1.6645977922948945 
welcome 	 659.5797926309834 1.6645977922948945 
wayward 	 1364.3374719966796 1.6645977922948945 
process 	 356.8418134190551 1.6645977922948945 
individual 	 191.50531537306438 1.8169500574331428 
requires 	 581.388389374066 1.6645977922948945 
protect 	 512.1487990280715 1.6645977922948945 
care 	 225.33275288183802 1.8169500574331428 
journey 	 817.6173497986509 1.6645977922948945 
retrieve 	 556.9269350901752 1.8169500574331428 
agreements 	 621.4914613277815 1.6645977922948945 
assurances 	 997.3856279617046 1.6645977922948945 
carry 	 659.5797926309834 1.6645977922948945 
preparation 	 817.6173497986509 1.6645977922948945 
time 	 217.39762591920413 1.6645977922948945 
takes 	 567.1337479823219 1.6645977922948945 
