term 	 tf-idf weight 	 BM25 ranking 
unique 	 9380.093700181298 0.46162058904073683 
mode 	 4204.512841497419 0.9474837570748075 
precisely 	 5779.235892896096 0.9474837570748075 
kind 	 9615.857966357908 0.46162058904073683 
inquiry 	 12109.99164290518 0.46162058904073683 
failed 	 9867.351139592402 0.46162058904073683 
undertaking 	 18422.556773903954 0.46162058904073683 
days 	 7967.124702337739 0.46162058904073683 
evidentiary 	 22565.423714471395 0.46162058904073683 
considering 	 11268.517310899295 0.46162058904073683 
massive 	 12613.538524492255 0.46162058904073683 
amounts 	 12109.99164290518 0.46162058904073683 
documentary 	 16496.233346682402 0.46162058904073683 
evidence 	 503.62020299585004 1.6721945496588184 
including 	 662.1806664784613 1.2001110268999797 
extensive 	 1303.3803723616763 1.4118607475612985 
stipulated 	 4605.639193475989 1.0910237895669315 
judge 	 934.4674245083988 1.5349662823553567 
preliminarily 	 7521.807904823799 0.9474837570748075 
enjoined 	 5641.355928617849 1.0910237895669315 
enforcement 	 10580.982720229293 0.46162058904073683 
provisions 	 864.9994030646557 1.6154564673599434 
effectively 	 1123.0333096468146 1.5349662823553567 
ban 	 961.6288103341934 1.4595506950434798 
indecent 	 902.6169485788558 1.7647539012323932 
patently 	 940.2259881029748 1.7561470938845098 
offensive 	 658.6957815005167 1.7561470938845098 
adults 	 660.0764552241891 1.6875609854592821 
appendix 	 12892.99968748394 0.46162058904073683 
app 	 559.2808928609124 1.8058657931091808 
unanimously 	 2889.617946448048 1.2858204966192934 
held 	 1781.4125925829633 1.0910237895669315 
succeed 	 15808.6987560124 0.46162058904073683 
claim 	 3052.7353915316053 0.9474837570748075 
violates 	 5075.798847461269 0.9474837570748075 
amendment 	 705.3988480152863 1.6364324512172066 
judgment 	 3952.1746890031 1.0910237895669315 
correct 	 1737.840496482235 1.2858204966192934 
appreciate 	 15808.6987560124 0.46162058904073683 
raises 	 18422.556773903954 0.46162058904073683 
constitutional 	 2466.8377848981004 1.0910237895669315 
questions 	 3044.1179314091287 0.7501084303501454 
application 	 1081.8096496914325 1.2858204966192934 
traditional 	 7967.124702337739 0.46162058904073683 
principles 	 2085.4085957786824 1.2001110268999797 
increasingly 	 10741.475026202572 0.46162058904073683 
