term 	 tf-idf weight 	 BM25 ranking 
act 	 1429.016653507447 1.1820582280046468 
look 	 418.09841760947364 1.625151262465022 
closely 	 1150.7805195203148 1.4859039568812324 
guilty 	 2565.0188003150397 1.1820582280046468 
beauty 	 592.999052744762 1.7568628248483282 
sharing 	 2565.0188003150397 1.1820582280046468 
mind 	 379.9282412659043 1.7050429102592266 
growing 	 1638.1268143574496 1.1820582280046468 
matter 	 1971.7508958858841 1.1820582280046468 
concept 	 788.3417697333795 1.4859039568812324 
oneness 	 4685.42210777807 1.1820582280046468 
explains 	 2339.763737585295 1.1820582280046468 
telepathy 	 4685.42210777807 1.1820582280046468 
collective 	 2339.763737585295 1.1820582280046468 
forms 	 1416.8768754497862 1.1820582280046468 
masses 	 2677.0667608856866 1.1820582280046468 
create 	 1670.7565356390942 1.1820582280046468 
focus 	 626.5089263223119 1.625151262465022 
wise 	 2964.9952637238102 1.1820582280046468 
object 	 3425.2322223421697 1.1820582280046468 
pay 	 1704.8053782879097 1.1820582280046468 
close 	 918.596072356155 1.4859039568812324 
don 	 1189.9631935453735 1.4859039568812324 
grows 	 3599.9536230211957 1.1820582280046468 
awareness 	 1309.5201093446613 1.4859039568812324 
experience 	 468.30748159045964 1.625151262465022 
focusing 	 795.7991380644063 1.4859039568812324 
third 	 795.7991380644063 1.4859039568812324 
master 	 2677.0667608856866 1.1820582280046468 
india 	 2422.261021345373 1.1820582280046468 
diffused 	 2342.711053889035 1.4859039568812324 
past 	 673.8718820273601 1.4859039568812324 
god 	 594.9815967726868 1.7050429102592266 
leads 	 2882.4979799637326 1.1820582280046468 
fourth 	 2230.330136705546 1.1820582280046468 
live 	 1996.6101266662006 1.1820582280046468 
appreciate 	 1641.2372216862516 1.4859039568812324 
grace 	 3425.2322223421697 1.1820582280046468 
approach 	 397.89956903220315 1.7050429102592266 
judgement 	 1094.1581477908344 1.625151262465022 
reveals 	 2565.0188003150397 1.1820582280046468 
holy 	 2964.9952637238102 1.1820582280046468 
instant 	 4142.687865399633 1.1820582280046468 
waiting 	 2964.9952637238102 1.1820582280046468 
born 	 2565.0188003150397 1.1820582280046468 
miracle 	 1580.88723053388 1.4859039568812324 
propelled 	 3599.9536230211957 1.1820582280046468 
forth 	 2739.740200994066 1.1820582280046468 
previous 	 1777.6951795485973 1.1820582280046468 
trace 	 3161.77446106776 1.1820582280046468 
current 	 1103.4234116099212 1.1820582280046468 
situations 	 2197.005958615629 1.1820582280046468 
relationships 	 2022.2845579366024 1.1820582280046468 
designed 	 1479.5503155581653 1.1820582280046468 
thinking 	 2565.0188003150397 1.1820582280046468 
decisions 	 962.1409085018079 1.4859039568812324 
future 	 1188.616050871531 1.1820582280046468 
