term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 150.0290827331316 1.8198722285464275 
logo_asm 	 450.08724819939476 1.5420976207558246 
gif 	 19.352570235792903 1.9056891117417734 
subject 	 297.0474705619653 1.5420976207558246 
index 	 73.05651289305106 1.7414512934025421 
anthropology 	 446.8719126579681 1.5420976207558246 
ant 	 450.08724819939476 1.5420976207558246 
idx 	 23.688802536810254 1.969224671296778 
html 	 4.401032161974936 1.9803983632386433 
architecture 	 431.2411874046441 1.5420976207558246 
arc 	 212.5934847778721 1.7414512934025421 
art 	 190.1602108169523 1.7414512934025421 
black 	 388.2891745773228 1.5420976207558246 
studies 	 119.9835162345275 1.8198722285464275 
blk 	 450.08724819939476 1.5420976207558246 
stu 	 450.08724819939476 1.5420976207558246 
business 	 305.3441883923302 1.5420976207558246 
bus 	 428.20044266995166 1.5420976207558246 
ecology 	 446.8719126579681 1.5420976207558246 
eco 	 446.8719126579681 1.5420976207558246 
economics 	 425.1869695557442 1.5420976207558246 
ecn 	 446.8719126579681 1.5420976207558246 
education 	 364.92841752738974 1.5420976207558246 
edu 	 367.4452832283867 1.5420976207558246 
film 	 416.30539518084396 1.5420976207558246 
flm 	 450.08724819939476 1.5420976207558246 
gen 	 80.4010729472257 1.8878843071481821 
healthcare 	 443.68705468924145 1.5420976207558246 
med 	 220.26605096584777 1.7414512934025421 
history 	 369.98114432187543 1.5420976207558246 
law 	 140.5222230507879 1.7414512934025421 
linguistics 	 443.68705468924145 1.5420976207558246 
lin 	 440.53210193169554 1.5420976207558246 
literature 	 422.2002832235496 1.5420976207558246 
lit 	 446.8719126579681 1.5420976207558246 
mass 	 380.3204216339046 1.5420976207558246 
media 	 290.9566693388663 1.5420976207558246 
mda 	 450.08724819939476 1.5420976207558246 
medicine 	 413.39628609915746 1.5420976207558246 
music 	 71.87353123410736 1.9056891117417734 
mus 	 446.8719126579681 1.5420976207558246 
philosophy 	 431.2411874046441 1.5420976207558246 
phi 	 450.08724819939476 1.5420976207558246 
political 	 318.18651589991657 1.5420976207558246 
science 	 183.72264161419335 1.7414512934025421 
psi 	 446.8719126579681 1.5420976207558246 
psychology 	 443.68705468924145 1.5420976207558246 
psy 	 443.68705468924145 1.5420976207558246 
religion 	 428.20044266995166 1.5420976207558246 
rel 	 446.8719126579681 1.5420976207558246 
sci 	 434.3097018819037 1.5420976207558246 
shakespeare 	 450.08724819939476 1.5420976207558246 
sha 	 221.84352734462072 1.7414512934025421 
sociology 	 446.8719126579681 1.5420976207558246 
soc 	 446.8719126579681 1.5420976207558246 
sports 	 425.1869695557442 1.5420976207558246 
recreation 	 434.3097018819037 1.5420976207558246 
spt 	 437.4064979971582 1.5420976207558246 
urban 	 428.20044266995166 1.5420976207558246 
urb 	 450.08724819939476 1.5420976207558246 
women's 	 428.20044266995166 1.5420976207558246 
wom 	 450.08724819939476 1.5420976207558246 
home 	 150.0582765926677 1.5420976207558246 
page 	 82.46697267423585 1.7414512934025421 
topic 	 443.68705468924145 1.5420976207558246 
search 	 203.82627824521632 1.7414512934025421 
custom 	 218.7032489985791 1.7414512934025421 
opera 	 172.12996837866336 1.9186138385516542 
specific 	 362.43026475558366 1.5420976207558246 
paper 	 96.40296739379984 1.8617922905727156 
click 	 206.69814304957873 1.7414512934025421 
catalog 	 440.53210193169554 1.5420976207558246 
button 	 402.00536473612846 1.5420976207558246 
title 	 194.1445872886614 1.7414512934025421 
description 	 410.5121482188499 1.5420976207558246 
written 	 369.98114432187543 1.5420976207558246 
pgs 	 40.624719332542554 1.9474309161795984 
pages 	 390.98798426760357 1.5420976207558246 
footnotes 	 446.8719126579681 1.5420976207558246 
sources 	 195.49399213380178 1.7414512934025421 
price 	 385.61186957519936 1.5420976207558246 
traviata 	 888.8525688213772 1.7414512934025421 
reviews 	 716.9529961363163 1.5420976207558246 
drama 	 587.836977991064 1.7414512934025421 
conducted 	 929.0603131551806 1.5420976207558246 
judith 	 1641.4688613184112 1.5420976207558246 
somogi 	 2010.6025903108962 1.5420976207558246 
comparison 	 546.7484245431931 1.5420976207558246 
operas 	 1777.7051376427544 1.5420976207558246 
compares 	 731.5639937480686 1.5420976207558246 
gounod's 	 2010.6025903108962 1.5420976207558246 
faust 	 1641.4688613184112 1.5420976207558246 
boito's 	 2010.6025903108962 1.5420976207558246 
mefistofele 	 2010.6025903108962 1.5420976207558246 
porgy 	 2010.6025903108962 1.5420976207558246 
bess 	 2010.6025903108962 1.5420976207558246 
houston 	 1469.8314517330384 1.5420976207558246 
grand 	 1123.879327560169 1.5420976207558246 
company 	 623.8854369357452 1.5420976207558246 
looks 	 194.36939632743713 1.8198722285464275 
operatic 	 1777.7051376427544 1.5420976207558246 
version 	 762.8423758982486 1.5420976207558246 
musically 	 1777.7051376427544 1.5420976207558246 
dramatically 	 1408.5714086502694 1.5420976207558246 
considered 	 696.1628604870389 1.5420976207558246 
time 	 320.37544872303766 1.5420976207558246 
american 	 372.53628971530907 1.5420976207558246 
greats 	 2010.6025903108962 1.5420976207558246 
dramatic 	 550.3488613702767 1.7414512934025421 
styles 	 1004.036546396755 1.5420976207558246 
evidenced 	 1311.9102323064712 1.5420976207558246 
arias 	 2010.6025903108962 1.5420976207558246 
verdi 	 2010.6025903108962 1.5420976207558246 
donizetti 	 2010.6025903108962 1.5420976207558246 
evolution 	 385.5695468643067 1.7414512934025421 
theatrical 	 1544.8076849746128 1.5420976207558246 
style 	 412.8727270199329 1.7414512934025421 
western 	 592.8480013717241 1.5420976207558246 
integration 	 929.0603131551806 1.5420976207558246 
various 	 205.25607410942496 1.7414512934025421 
composers 	 1544.8076849746128 1.5420976207558246 
twentieth 	 1058.6429067080073 1.5420976207558246 
century 	 670.3039506652998 1.5420976207558246 
italy 	 867.8002700724116 1.5420976207558246 
historical 	 559.9265841626957 1.5420976207558246 
examination 	 513.9418987697175 1.5420976207558246 
roots 	 856.7828896038868 1.5420976207558246 
italian 	 1004.036546396755 1.5420976207558246 
particularly 	 597.8258701955314 1.5420976207558246 
discussion 	 498.66654107992696 1.5420976207558246 
musical 	 1236.9339990648966 1.5420976207558246 
pieces 	 1311.9102323064712 1.5420976207558246 
rhythm 	 1356.7767802283108 1.5420976207558246 
symmetry 	 1777.7051376427544 1.5420976207558246 
meter 	 1408.5714086502694 1.5420976207558246 
opera's 	 1777.7051376427544 1.5420976207558246 
carmen 	 1641.4688613184112 1.5420976207558246 
rhapsodies 	 1777.7051376427544 1.5420976207558246 
liszt 	 1641.4688613184112 1.5420976207558246 
rachmaninoff 	 1777.7051376427544 1.5420976207558246 
stravinsky 	 1641.4688613184112 1.5420976207558246 
beethoven 	 1777.7051376427544 1.5420976207558246 
faure 	 1777.7051376427544 1.5420976207558246 
roussel 	 1777.7051376427544 1.5420976207558246 
review 	 453.33365026573836 1.5420976207558246 
madame 	 704.2857043251347 1.7414512934025421 
butterfly 	 820.7344306592056 1.7414512934025421 
personal 	 240.24997736655712 1.7414512934025421 
observation 	 771.1390937286134 1.5420976207558246 
performance 	 754.7455985676843 1.5420976207558246 
puccini's 	 2010.6025903108962 1.5420976207558246 
wagner 	 386.2019212436532 1.8617922905727156 
parsifal 	 888.8525688213772 1.7414512934025421 
observes 	 260.9240729497713 1.7414512934025421 
surprise 	 1311.9102323064712 1.5420976207558246 
wagner's 	 820.7344306592056 1.7414512934025421 
final 	 797.3341716624366 1.5420976207558246 
preached 	 1777.7051376427544 1.5420976207558246 
value 	 634.9028174042701 1.5420976207558246 
christian 	 412.8727270199329 1.7414512934025421 
love 	 867.8002700724116 1.5420976207558246 
faith 	 987.6430512358259 1.5420976207558246 
opposed 	 903.2014033334414 1.5420976207558246 
