term 	 tf-idf weight 	 BM25 ranking 
 srl 	 753.0686116566523 1.686932031543372 
oetztal 	 418.87553964810337 1.883484969183682 
austria 	 204.98597379788612 1.911322189662233 
digital 	 687.9360767128459 1.686932031543372 
elevation 	 965.504803109133 1.686932031543372 
model 	 439.3443563410784 1.686932031543372 
geometrically 	 1256.6266189443102 1.686932031543372 
coded 	 1025.918038324007 1.686932031543372 
directly 	 504.0876418685269 1.686932031543372 
band 	 324.8242748930577 1.8301742664208671 
seasonal 	 795.209457703704 1.686932031543372 
change 	 336.40102566279484 1.686932031543372 
image 	 95.00132306655655 1.911322189662233 
supersite 	 1256.6266189443102 1.686932031543372 
centered 	 717.9872538773873 1.686932031543372 
degrees 	 294.61765728562074 1.8301742664208671 
north 	 370.53000085732754 1.686932031543372 
latitude 	 734.7962224888299 1.686932031543372 
east 	 207.54332502274553 1.8301742664208671 
longitude 	 795.209457703704 1.686932031543372 
located 	 556.8636718075172 1.686932031543372 
central 	 367.4642529788855 1.686932031543372 
alps 	 1256.6266189443102 1.686932031543372 
border 	 337.19149363697795 1.8301742664208671 
switzerland 	 795.209457703704 1.686932031543372 
italy 	 542.3751687952573 1.686932031543372 
kilometers 	 244.93207416294334 1.883484969183682 
miles 	 212.7648111064525 1.883484969183682 
southwest 	 965.504803109133 1.686932031543372 
innsbruck 	 1256.6266189443102 1.686932031543372 
acquired 	 617.2769070223911 1.686932031543372 
spaceborne 	 734.7962224888299 1.686932031543372 
imaging 	 319.14721665967875 1.8301742664208671 
radar 	 86.78681481986624 1.9483454048662012 
synthetic 	 717.9872538773873 1.686932031543372 
aperture 	 734.7962224888299 1.686932031543372 
aboard 	 734.7962224888299 1.686932031543372 
space 	 439.3443563410784 1.686932031543372 
shuttle 	 687.9360767128459 1.686932031543372 
endeavour 	 773.0837494155604 1.686932031543372 
april 	 109.8360890852696 1.911322189662233 
october 	 90.52238513632 1.9284230227686392 
produced 	 556.8636718075172 1.686932031543372 
combining 	 880.3571304064184 1.686932031543372 
data 	 70.55458987428688 1.9284230227686392 
sets 	 351.21228986255284 1.8301742664208671 
obtained 	 324.8242748930577 1.8301742664208671 
green 	 564.5008770834008 1.686932031543372 
appears 	 702.4245797251057 1.686932031543372 
red 	 535.4893060024292 1.686932031543372 
blue 	 156.88071037449296 1.911322189662233 
enhancement 	 880.3571304064184 1.686932031543372 
based 	 258.3726788119734 1.686932031543372 
ratio 	 847.9854876426942 1.686932031543372 
decrease 	 753.0686116566523 1.686932031543372 
backscatter 	 321.834934369711 1.883484969183682 
appear 	 598.1728335991885 1.686932031543372 
light 	 211.43265854918224 1.8301742664208671 
cyan 	 1256.6266189443102 1.686932031543372 
gepatschferner 	 628.3133094721551 1.8301742664208671 
glacier 	 170.98633972066781 1.9399946018893388 
seen 	 99.20356521941721 1.911322189662233 
left 	 228.6137480462714 1.8301742664208671 
center 	 163.07754559360706 1.8301742664208671 
glaciers 	 512.9590191620035 1.8301742664208671 
view 	 344.4274803550363 1.686932031543372 
hue 	 1111.0657110267216 1.686932031543372 
visible 	 734.7962224888299 1.686932031543372 
dark 	 753.0686116566523 1.686932031543372 
lake 	 598.1728335991885 1.686932031543372 
reschensee 	 1256.6266189443102 1.686932031543372 
upper 	 598.1728335991885 1.686932031543372 
side 	 461.9467958214751 1.686932031543372 
significant 	 448.0956225851977 1.686932031543372 
rise 	 481.96193358038335 1.686932031543372 
water 	 487.2786732570842 1.686932031543372 
level 	 155.83329408747719 1.8301742664208671 
magenta 	 1256.6266189443102 1.686932031543372 
represents 	 617.2769070223911 1.686932031543372 
increase 	 439.3443563410784 1.686932031543372 
yellow 	 303.75385186953184 1.8301742664208671 
indicates 	 753.0686116566523 1.686932031543372 
signal 	 734.7962224888299 1.686932031543372 
response 	 457.2274960925428 1.686932031543372 
passes 	 880.3571304064184 1.686932031543372 
mountain 	 880.3571304064184 1.686932031543372 
slopes 	 628.3133094721551 1.8301742664208671 
facing 	 607.5077037390637 1.686932031543372 
low 	 415.08665004549107 1.686932031543372 
signals 	 795.209457703704 1.686932031543372 
refer 	 734.7962224888299 1.686932031543372 
smooth 	 773.0837494155604 1.686932031543372 
surface 	 674.3829872739559 1.686932031543372 
lakes 	 918.644657333149 1.686932031543372 
grazing 	 1256.6266189443102 1.686932031543372 
shadow 	 880.3571304064184 1.686932031543372 
southeast 	 753.0686116566523 1.686932031543372 
approximately 	 580.6626957219878 1.686932031543372 
summit 	 717.9872538773873 1.686932031543372 
main 	 376.79912311876063 1.686932031543372 
peaks 	 1111.0657110267216 1.686932031543372 
reaches 	 918.644657333149 1.686932031543372 
elevations 	 1025.918038324007 1.686932031543372 
meters 	 753.0686116566523 1.686932031543372 
feet 	 343.96803835642294 1.8301742664208671 
sea 	 504.0876418685269 1.686932031543372 
test 	 255.00176301576656 1.8301742664208671 
site's 	 1256.6266189443102 1.686932031543372 
core 	 324.8242748930577 1.8301742664208671 
region 	 481.96193358038335 1.686932031543372 
venter 	 628.3133094721551 1.8301742664208671 
valley 	 351.21228986255284 1.8301742664208671 
intensively 	 1111.0657110267216 1.686932031543372 
studied 	 753.0686116566523 1.686932031543372 
research 	 120.5037092422498 1.8301742664208671 
world 	 232.83518107206817 1.686932031543372 
includes 	 287.45131040764545 1.686932031543372 
studies 	 224.96909293973906 1.686932031543372 
dynamics 	 549.4944946471505 1.686932031543372 
climate 	 498.33385728902283 1.686932031543372 
regions 	 549.4944946471505 1.686932031543372 
snowpack 	 1111.0657110267216 1.686932031543372 
conditions 	 396.81426087766886 1.686932031543372 
hydrology 	 965.504803109133 1.686932031543372 
percent 	 580.6626957219878 1.686932031543372 
site 	 418.9399691658124 1.686932031543372 
covered 	 572.4263459597988 1.686932031543372 
corner 	 440.1785652032092 1.8301742664208671 
reflectors 	 555.5328555133608 1.8301742664208671 
set 	 311.66658817495437 1.686932031543372 
calibration 	 880.3571304064184 1.686932031543372 
vernagtferner 	 1256.6266189443102 1.686932031543372 
gif 	 36.28606919211169 1.8301742664208671 
icons 	 638.2944333193575 1.686932031543372 
index 	 91.32064111631384 1.686932031543372 
html 	 82.51935303703007 1.686932031543372 
home 	 93.78642287041731 1.686932031543372 
page 	 103.0837158427948 1.686932031543372 
updated 	 224.96909293973906 1.686932031543372 
bruce 	 589.2353145712415 1.686932031543372 
chapman 	 674.3829872739559 1.686932031543372 
jpl 	 589.2353145712415 1.686932031543372 
nasa 	 542.3751687952573 1.686932031543372 
gov 	 487.2786732570842 1.686932031543372 
