term 	 tf-idf weight 	 BM25 ranking 
 srl 	 892.9242109643162 1.63927726275035 
star 	 106.41596798539847 1.9464602120999497 
city 	 51.86819920257114 1.9464602120999497 
russia 	 165.58103543220201 1.8633251828670148 
radar 	 80.03672922276553 1.9522670991227986 
image 	 56.32221296088709 1.9464602120999497 
cosmonaut 	 1490.0001338911104 1.63927726275035 
training 	 178.8894753884419 1.8633251828670148 
center 	 193.36337548956266 1.8017613327009676 
east 	 70.31059582403216 1.9390447802241 
moscow 	 651.5434722244785 1.63927726275035 
american 	 276.07600041402367 1.63927726275035 
astronauts 	 1216.4456740127512 1.63927726275035 
future 	 377.98901234611907 1.63927726275035 
duration 	 942.8912141343918 1.63927726275035 
flights 	 544.6250468475097 1.8017613327009676 
aboard 	 871.2583780938984 1.63927726275035 
russian 	 127.74388783568833 1.895712197610157 
mir 	 1490.0001338911104 1.63927726275035 
space 	 173.6456265538548 1.8633251828670148 
station 	 344.2500267494642 1.8017613327009676 
joint 	 627.0318940939785 1.63927726275035 
giving 	 577.7732840048285 1.63927726275035 
nasa 	 321.55099292861684 1.8017613327009676 
agency 	 526.0710821750456 1.63927726275035 
experience 	 446.7761031265305 1.63927726275035 
construction 	 597.703918215539 1.63927726275035 
international 	 335.9526158219311 1.63927726275035 
alpha 	 1144.8128379722577 1.63927726275035 
late 	 577.7732840048285 1.63927726275035 
acquired 	 731.9140468979781 1.63927726275035 
spaceborne 	 871.2583780938984 1.63927726275035 
imaging 	 378.4174140393334 1.8017613327009676 
band 	 154.05951323499306 1.9156905129758897 
synthetic 	 851.3277438831877 1.63927726275035 
aperture 	 871.2583780938984 1.63927726275035 
sir 	 232.88824337815734 1.8633251828670148 
sar 	 407.84781690833006 1.8017613327009676 
orbit 	 916.656445735593 1.63927726275035 
october 	 536.6684261653257 1.63927726275035 
centered 	 851.3277438831877 1.63927726275035 
degrees 	 349.332365067236 1.8017613327009676 
north 	 146.44757176741993 1.8633251828670148 
latitude 	 871.2583780938984 1.63927726275035 
longitude 	 942.8912141343918 1.63927726275035 
shown 	 334.66837712801623 1.8017613327009676 
approximately 	 688.5000534989284 1.63927726275035 
kilometers 	 435.6291890469492 1.8017613327009676 
miles 	 378.4174140393334 1.8017613327009676 
top 	 116.29299404298784 1.8017613327009676 
illumination 	 1144.8128379722577 1.63927726275035 
produced 	 660.2812108574847 1.63927726275035 
channels 	 799.6255420534048 1.63927726275035 
data 	 209.1439628416361 1.8017613327009676 
red 	 317.46865998715447 1.8017613327009676 
indicates 	 297.6414036547721 1.8633251828670148 
wavelength 	 572.4064189861289 1.8017613327009676 
horizontally 	 314.2970713781306 1.8633251828670148 
transmitted 	 290.4194593646328 1.8633251828670148 
received 	 167.1324824722107 1.8633251828670148 
green 	 223.1122514186775 1.8633251828670148 
vertically 	 471.4456070671959 1.8017613327009676 
blue 	 148.81255955523332 1.9156905129758897 
dark 	 297.6414036547721 1.8633251828670148 
pink 	 608.2228370063756 1.8017613327009676 
agricultural 	 731.9140468979781 1.63927726275035 
light 	 250.69872370831607 1.8017613327009676 
urban 	 317.3271137643392 1.63927726275035 
communities 	 688.5000534989284 1.63927726275035 
black 	 143.87500665141872 1.8017613327009676 
represent 	 709.2620741247521 1.63927726275035 
lakes 	 1089.2500936950194 1.63927726275035 
rivers 	 1089.2500936950194 1.63927726275035 
cleared 	 1144.8128379722577 1.63927726275035 
forest 	 407.84781690833006 1.8017613327009676 
forested 	 1317.406485931684 1.63927726275035 
prominent 	 744.0627977761667 1.63927726275035 
runways 	 745.0000669455552 1.8017613327009676 
shchelkovo 	 745.0000669455552 1.8017613327009676 
airfield 	 745.0000669455552 1.8017613327009676 
textured 	 1490.0001338911104 1.63927726275035 
pale 	 1144.8128379722577 1.63927726275035 
southeast 	 297.6414036547721 1.8633251828670148 
thin 	 1005.4685067763374 1.63927726275035 
railroad 	 851.3277438831877 1.63927726275035 
line 	 202.58981802270102 1.8017613327009676 
running 	 815.6956338166601 1.63927726275035 
compound 	 1216.4456740127512 1.63927726275035 
lies 	 1216.4456740127512 1.63927726275035 
bend 	 1317.406485931684 1.63927726275035 
rail 	 1144.8128379722577 1.63927726275035 
contains 	 720.3305630048898 1.63927726275035 
living 	 547.7369150454634 1.63927726275035 
quarters 	 1089.2500936950194 1.63927726275035 
facilities 	 643.1019858572337 1.63927726275035 
cosmonauts 	 1490.0001338911104 1.63927726275035 
families 	 744.0627977761667 1.63927726275035 
moscow's 	 1144.8128379722577 1.63927726275035 
inner 	 815.6956338166601 1.63927726275035 
loop 	 1317.406485931684 1.63927726275035 
road 	 660.2812108574847 1.63927726275035 
visible 	 871.2583780938984 1.63927726275035 
lower 	 279.6601994692759 1.8017613327009676 
left 	 180.71372464610027 1.8633251828670148 
edge 	 271.89854460555335 1.8633251828670148 
kremlin 	 916.656445735593 1.63927726275035 
banks 	 799.6255420534048 1.63927726275035 
meandering 	 1490.0001338911104 1.63927726275035 
moskva 	 1317.406485931684 1.63927726275035 
river 	 261.51000374037085 1.8633251828670148 
klyazma 	 1490.0001338911104 1.63927726275035 
snakes 	 1317.406485931684 1.63927726275035 
reservoir 	 1216.4456740127512 1.63927726275035 
upper 	 354.63103706237604 1.8017613327009676 
bright 	 1005.4685067763374 1.63927726275035 
passing 	 832.874858816911 1.63927726275035 
flowing 	 1317.406485931684 1.63927726275035 
vorya 	 1490.0001338911104 1.63927726275035 
runs 	 942.8912141343918 1.63927726275035 
south 	 443.0316716627599 1.63927726275035 
quadrant 	 1490.0001338911104 1.63927726275035 
images 	 474.6933103585863 1.63927726275035 
compared 	 526.0710821750456 1.63927726275035 
satellite 	 871.2583780938984 1.63927726275035 
almaz 	 1490.0001338911104 1.63927726275035 
evaluate 	 851.3277438831877 1.63927726275035 
usefulness 	 1043.8520260533246 1.63927726275035 
permanent 	 651.5434722244785 1.63927726275035 
orbital 	 1043.8520260533246 1.63927726275035 
platform 	 892.9242109643162 1.63927726275035 
monitoring 	 892.9242109643162 1.63927726275035 
earth 	 688.5000534989284 1.63927726275035 
environment 	 454.4382461345521 1.63927726275035 
ecology 	 331.1640067018871 1.63927726275035 
april 	 520.9368796615644 1.63927726275035 
gif 	 43.02491061350386 1.8017613327009676 
icons 	 756.8348280786668 1.63927726275035 
yellow 	 720.3305630048898 1.63927726275035 
index 	 108.2801887522007 1.63927726275035 
html 	 97.84437574390708 1.63927726275035 
home 	 111.20390140349481 1.63927726275035 
page 	 122.22783449931384 1.63927726275035 
updated 	 266.7490673428335 1.63927726275035 
bruce 	 698.664730134472 1.63927726275035 
chapman 	 799.6255420534048 1.63927726275035 
jpl 	 698.664730134472 1.63927726275035 
gov 	 577.7732840048285 1.63927726275035 
