term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 2454.046328676176 1.0175632324502166 
eeeeeee 	 2535.0092882541167 1.0175632324502166 
zzzzzzz 	 5070.018576508233 0.6823703647445268 
tttttttnn 	 10140.037153016467 0.4113601816749995 
eeee 	 5070.018576508233 0.6823703647445268 
olimpiai 	 5687.54733648738 0.8743909322710196 
hirado 	 20091.6951885091 0.4113601816749995 
sportsline 	 23120.74836755606 0.4113601816749995 
usa 	 4709.319321972838 0.6823703647445268 
newswiresportsticker 	 26149.801546603023 0.4113601816749995 
olympic 	 20091.6951885091 0.4113601816749995 
medal 	 23120.74836755606 0.4113601816749995 
standings 	 23120.74836755606 0.4113601816749995 
country 	 2370.3279913231686 0.8743909322710196 
gold 	 14617.121016184343 0.4113601816749995 
silver 	 16547.930143643745 0.4113601816749995 
bronze 	 19116.557869266006 0.4113601816749995 
total 	 10029.39833212512 0.4113601816749995 
united 	 6025.207833835063 0.4113601816749995 
germany 	 9921.491615105198 0.4113601816749995 
russia 	 4358.970631558572 0.6823703647445268 
france 	 11434.718769562132 0.4113601816749995 
australia 	 17646.174195231302 0.4113601816749995 
china 	 10612.930517894285 0.4113601816749995 
italy 	 11286.568988739402 0.4113601816749995 
cuba 	 4980.324284832036 0.8743909322710196 
canada 	 11434.718769562132 0.4113601816749995 
poland 	 2611.6903022344163 1.1284237284729617 
romania 	 1158.806783713738 1.4428016488978175 
hungary 	 2317.613567427476 1.1284237284729617 
positionnetherlands 	 26149.801546603023 0.4113601816749995 
japan 	 5571.638731501466 0.6823703647445268 
korea 	 7835.4996022370715 0.6823703647445268 
ukraine 	 2806.7177660830357 1.1284237284729617 
belarus 	 7835.4996022370715 0.6823703647445268 
britain 	 13282.603207645678 0.4113601816749995 
brazil 	 9159.90633303821 0.6823703647445268 
bulgaria 	 17646.174195231302 0.4113601816749995 
greece 	 13518.876964596782 0.4113601816749995 
zealand 	 18319.81266607642 0.4113601816749995 
belgium 	 17062.64200946214 0.4113601816749995 
kazakhstan 	 19116.557869266006 0.4113601816749995 
turkey 	 15670.999204474143 0.4113601816749995 
ireland 	 14315.622167786363 0.4113601816749995 
czech 	 1811.677250499084 1.2168016847731626 
republic 	 1727.5511054274248 1.1284237284729617 
spain 	 14033.588830415178 0.4113601816749995 
north 	 7710.552874983435 0.4113601816749995 
switzerland 	 16547.930143643745 0.4113601816749995 
south 	 7775.2947998645 0.4113601816749995 
africa 	 11911.919675449146 0.4113601816749995 
finland 	 21348.865845123382 0.4113601816749995 
slovak 	 1580.2432531783977 1.3488542298071022 
yugoslavia 	 13518.876964596782 0.4113601816749995 
denmark 	 19116.557869266006 0.4113601816749995 
austria 	 17062.64200946214 0.4113601816749995 
sweden 	 17062.64200946214 0.4113601816749995 
norway 	 18319.81266607642 0.4113601816749995 
ecuador 	 26149.801546603023 0.4113601816749995 
costa 	 21348.865845123382 0.4113601816749995 
rica 	 23120.74836755606 0.4113601816749995 
syria 	 21348.865845123382 0.4113601816749995 
ethiopia 	 18319.81266607642 0.4113601816749995 
