term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 1335.5267454011803 1.0632172006262433 
logo_asm 	 4006.580236203541 0.5489604724752957 
gif 	 172.27243325969218 1.388366715111001 
subject 	 881.417643304403 1.0632172006262433 
index 	 650.3334228068921 0.8614656498650214 
anthropology 	 3977.958008214234 0.5489604724752957 
ant 	 4006.580236203541 0.5489604724752957 
idx 	 210.8726440107127 1.7557437432870397 
html 	 39.17704522758047 1.8380523020251798 
architecture 	 3838.8166414502693 0.5489604724752957 
arc 	 1892.4616457458794 0.8614656498650214 
art 	 677.1061792303624 1.3083440388842307 
black 	 1152.1556757547346 1.0632172006262433 
studies 	 1068.067550766285 1.0632172006262433 
blk 	 4006.580236203541 0.5489604724752957 
stu 	 4006.580236203541 0.5489604724752957 
business 	 2718.1085341710104 0.5489604724752957 
bus 	 3811.748583410195 0.5489604724752957 
ecology 	 3977.958008214234 0.5489604724752957 
eco 	 3977.958008214234 0.5489604724752957 
economics 	 1892.4616457458794 0.8614656498650214 
ecn 	 3977.958008214234 0.5489604724752957 
education 	 3248.5145738822102 0.5489604724752957 
edu 	 3270.919173024121 0.5489604724752957 
film 	 1235.2871398669686 1.0632172006262433 
flm 	 4006.580236203541 0.5489604724752957 
gen 	 715.7131225748574 1.3083440388842307 
healthcare 	 3949.6070850461942 0.5489604724752957 
med 	 1960.7611858299126 0.8614656498650214 
history 	 658.6985730159104 1.3083440388842307 
law 	 1250.8987176931744 0.8614656498650214 
linguistics 	 3949.6070850461942 0.5489604724752957 
lin 	 3921.5223716598252 0.5489604724752957 
literature 	 751.6672899533553 1.3083440388842307 
lit 	 3977.958008214234 0.5489604724752957 
mass 	 3385.5308961518112 0.5489604724752957 
media 	 2590.033922596872 0.5489604724752957 
mda 	 4006.580236203541 0.5489604724752957 
medicine 	 3679.96515393625 0.5489604724752957 
music 	 3838.8166414502693 0.5489604724752957 
mus 	 3977.958008214234 0.5489604724752957 
philosophy 	 3838.8166414502693 0.5489604724752957 
phi 	 4006.580236203541 0.5489604724752957 
political 	 566.4856363432443 1.3083440388842307 
science 	 1635.4595865120605 0.8614656498650214 
psi 	 3977.958008214234 0.5489604724752957 
psychology 	 3949.6070850461942 0.5489604724752957 
psy 	 3949.6070850461942 0.5489604724752957 
religion 	 3811.748583410195 0.5489604724752957 
rel 	 3977.958008214234 0.5489604724752957 
sci 	 3866.131899788018 0.5489604724752957 
shakespeare 	 1335.5267454011803 1.0632172006262433 
sha 	 1974.8035425230971 0.8614656498650214 
sociology 	 3977.958008214234 0.5489604724752957 
soc 	 3977.958008214234 0.5489604724752957 
sports 	 3784.923291491759 0.5489604724752957 
recreation 	 3866.131899788018 0.5489604724752957 
spt 	 3893.698915206846 0.5489604724752957 
urban 	 3811.748583410195 0.5489604724752957 
urb 	 4006.580236203541 0.5489604724752957 
women's 	 1905.8742917050974 0.8614656498650214 
wom 	 4006.580236203541 0.5489604724752957 
home 	 1335.7866228829437 0.5489604724752957 
page 	 489.40221283460204 1.0632172006262433 
topic 	 3949.6070850461942 0.5489604724752957 
search 	 725.7671407517167 1.3083440388842307 
custom 	 1946.849457603423 0.8614656498650214 
theater 	 688.1825876493873 1.7164389660932093 
drama 	 581.4220903344154 1.7439114851922675 
