term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 316.57922517199495 1.6544569205168542 
logo_asm 	 949.7376755159848 1.2295830179977365 
gif 	 40.83622707493205 1.8108922409000376 
subject 	 626.8055256798614 1.2295830179977365 
index 	 154.1579394082536 1.522900029069447 
anthropology 	 942.9529347455339 1.2295830179977365 
ant 	 949.7376755159848 1.2295830179977365 
idx 	 49.98619344820973 1.9361510690391108 
html 	 9.286701794167353 1.9590833887117323 
architecture 	 909.9702436603949 1.2295830179977365 
arc 	 448.597561629498 1.522900029069447 
art 	 200.63034147205235 1.729143622019512 
black 	 819.3363832598865 1.2295830179977365 
studies 	 253.17950300678572 1.6544569205168542 
blk 	 949.7376755159848 1.2295830179977365 
stu 	 949.7376755159848 1.2295830179977365 
business 	 644.3125880064348 1.2295830179977365 
bus 	 903.5539102767731 1.2295830179977365 
ecology 	 942.9529347455339 1.2295830179977365 
eco 	 942.9529347455339 1.2295830179977365 
economics 	 897.195123258996 1.2295830179977365 
ecn 	 942.9529347455339 1.2295830179977365 
education 	 770.0424048420218 1.2295830179977365 
edu 	 775.3532910979945 1.2295830179977365 
film 	 878.4539439976737 1.2295830179977365 
flm 	 949.7376755159848 1.2295830179977365 
gen 	 169.65583547494947 1.7772824507452258 
healthcare 	 936.2325052817624 1.2295830179977365 
med 	 464.78758968686327 1.522900029069447 
history 	 195.1760649733703 1.729143622019512 
law 	 296.51861947323994 1.522900029069447 
linguistics 	 936.2325052817624 1.2295830179977365 
lin 	 929.5751793737265 1.2295830179977365 
literature 	 890.8928595401686 1.2295830179977365 
lit 	 942.9529347455339 1.2295830179977365 
mass 	 802.5213658882094 1.2295830179977365 
media 	 613.9532100037386 1.2295830179977365 
mda 	 949.7376755159848 1.2295830179977365 
medicine 	 872.3153775128055 1.2295830179977365 
music 	 101.10780485115498 1.8698253202708355 
mus 	 942.9529347455339 1.2295830179977365 
philosophy 	 909.9702436603949 1.2295830179977365 
phi 	 949.7376755159848 1.2295830179977365 
political 	 671.411427895955 1.2295830179977365 
science 	 387.67664554899727 1.522900029069447 
psi 	 942.9529347455339 1.2295830179977365 
psychology 	 936.2325052817624 1.2295830179977365 
psy 	 936.2325052817624 1.2295830179977365 
religion 	 903.5539102767731 1.2295830179977365 
rel 	 942.9529347455339 1.2295830179977365 
sci 	 916.4451745067552 1.2295830179977365 
shakespeare 	 949.7376755159848 1.2295830179977365 
sha 	 468.1162526408812 1.522900029069447 
sociology 	 942.9529347455339 1.2295830179977365 
