term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 123.68469022939718 1.8491156024831596 
logo_asm 	 371.05407068819153 1.6066909990897695 
gif 	 15.954351057484029 1.9216004853585062 
subject 	 244.8873492430488 1.6066909990897695 
index 	 60.228137117187934 1.7819003618499667 
anthropology 	 368.40333275671776 1.6066909990897695 
ant 	 371.05407068819153 1.6066909990897695 
idx 	 19.529161615167975 1.9745599333930108 
html 	 3.6282318716281474 1.9838124589263353 
architecture 	 355.5172884258524 1.6066909990897695 
arc 	 175.2630812008053 1.7819003618499667 
art 	 156.76898332230888 1.7819003618499667 
black 	 320.10744451761434 1.6066909990897695 
studies 	 98.91498213382177 1.8491156024831596 
blk 	 371.05407068819153 1.6066909990897695 
stu 	 371.05407068819153 1.6066909990897695 
business 	 251.7272029305817 1.6066909990897695 
bus 	 353.01048398683514 1.6066909990897695 
ecology 	 368.40333275671776 1.6066909990897695 
eco 	 368.40333275671776 1.6066909990897695 
economics 	 350.5261624016106 1.6066909990897695 
ecn 	 368.40333275671776 1.6066909990897695 
education 	 300.84872516394927 1.6066909990897695 
edu 	 302.92364123292595 1.6066909990897695 
film 	 343.2041501937315 1.6066909990897695 
flm 	 371.05407068819153 1.6066909990897695 
gen 	 66.28302739994498 1.9066524229039366 
healthcare 	 182.8888603406546 1.7819003618499667 
med 	 181.58838130220187 1.7819003618499667 
history 	 305.01421719392704 1.6066909990897695 
law 	 115.84718983651264 1.7819003618499667 
linguistics 	 365.7777206813092 1.6066909990897695 
lin 	 363.17676260440373 1.6066909990897695 
literature 	 348.0639239670334 1.6066909990897695 
lit 	 368.40333275671776 1.6066909990897695 
mass 	 313.53796664461777 1.6066909990897695 
media 	 239.86606371091057 1.6066909990897695 
mda 	 371.05407068819153 1.6066909990897695 
medicine 	 170.40293340694438 1.7819003618499667 
music 	 355.5172884258524 1.6066909990897695 
mus 	 368.40333275671776 1.6066909990897695 
philosophy 	 355.5172884258524 1.6066909990897695 
phi 	 371.05407068819153 1.6066909990897695 
political 	 262.31447888177644 1.6066909990897695 
science 	 100.97454707764197 1.8491156024831596 
psi 	 368.40333275671776 1.6066909990897695 
psychology 	 365.7777206813092 1.6066909990897695 
psy 	 365.7777206813092 1.6066909990897695 
religion 	 353.01048398683514 1.6066909990897695 
rel 	 368.40333275671776 1.6066909990897695 
sci 	 358.04698637287896 1.6066909990897695 
shakespeare 	 371.05407068819153 1.6066909990897695 
sha 	 182.8888603406546 1.7819003618499667 
sociology 	 368.40333275671776 1.6066909990897695 
soc 	 368.40333275671776 1.6066909990897695 
sports 	 350.5261624016106 1.6066909990897695 
recreation 	 358.04698637287896 1.6066909990897695 
spt 	 360.5999998369429 1.6066909990897695 
urban 	 353.01048398683514 1.6066909990897695 
urb 	 371.05407068819153 1.6066909990897695 
women's 	 353.01048398683514 1.6066909990897695 
wom 	 371.05407068819153 1.6066909990897695 
home 	 61.85437889310856 1.7819003618499667 
page 	 67.98616497250991 1.7819003618499667 
topic 	 365.7777206813092 1.6066909990897695 
search 	 168.0353543866813 1.7819003618499667 
custom 	 180.29999991847146 1.7819003618499667 
dentistry 	 236.79290710719312 1.932421981460582 
specific 	 149.39461806145337 1.7819003618499667 
paper 	 79.47506538119808 1.884661351552188 
click 	 170.40293340694438 1.7819003618499667 
catalog 	 363.17676260440373 1.6066909990897695 
button 	 331.41513699972495 1.6066909990897695 
title 	 160.05372225880717 1.7819003618499667 
description 	 338.42816981137327 1.6066909990897695 
written 	 305.01421719392704 1.6066909990897695 
pgs 	 52.629047536673966 1.932421981460582 
pages 	 322.3323560777565 1.6066909990897695 
footnotes 	 368.40333275671776 1.6066909990897695 
sources 	 322.3323560777565 1.6066909990897695 
price 	 317.9002615247923 1.6066909990897695 
hankey 	 1657.5503497503519 1.6066909990897695 
mann 	 1048.919141828219 1.6066909990897695 
theory 	 537.6251485601814 1.6066909990897695 
occlusion 	 1657.5503497503519 1.6066909990897695 
related 	 440.2879339060862 1.6066909990897695 
america 	 271.2639657083577 1.7819003618499667 
past 	 476.7880238099074 1.6066909990897695 
reviews 	 591.0594640766656 1.6066909990897695 
folklore 	 1353.2347457892854 1.6066909990897695 
remedies 	 1019.7342789910011 1.6066909990897695 
compounds 	 1657.5503497503519 1.6066909990897695 
compared 	 585.227669728866 1.6066909990897695 
currently 	 585.227669728866 1.6066909990897695 
popular 	 628.8908872732585 1.6066909990897695 
cosmetic 	 1273.5468117201422 1.6066909990897695 
techniques 	 552.6017688520477 1.6066909990897695 
future 	 420.493800883032 1.6066909990897695 
trends 	 680.7484844316751 1.6066909990897695 
methods 	 461.60614230079375 1.6066909990897695 
materials 	 657.3260879479016 1.6066909990897695 
china 	 672.7189367177841 1.6066909990897695 
sweden 	 1081.5450427050373 1.6066909990897695 
soviet 	 635.7307409607914 1.6066909990897695 
union 	 518.8382893743445 1.6066909990897695 
mexico 	 789.0184519379773 1.6066909990897695 
comparison 	 450.7420047573348 1.6066909990897695 
preventative 	 1118.53323846203 1.6066909990897695 
discusses 	 186.86521000537132 1.7819003618499667 
dental 	 559.266619231015 1.7819003618499667 
practices 	 597.0166829228724 1.6066909990897695 
role 	 363.17676260440373 1.6066909990897695 
ada 	 1465.548580735247 1.6066909990897695 
publicity 	 1211.736048006106 1.6066909990897695 
