term 	 tf-idf weight 	 BM25 ranking 
prize 	 1699.5571316516687 1.4204639176615979 
intensive 	 1311.1489272852739 1.5314017381373934 
care 	 684.3988218011966 1.5314017381373934 
ann 	 5098.671394955006 0.8992918449565849 
stanford 	 5407.725213525186 0.8992918449565849 
pablo 	 7327.742903676235 0.8992918449565849 
neruda 	 7327.742903676235 0.8992918449565849 
bread 	 6766.173728946427 0.8992918449565849 
loaf 	 8287.75174875176 0.8992918449565849 
scholarship 	 3029.340120015265 1.2407055143771513 
national 	 789.2763170033048 1.2407055143771513 
endowment 	 3663.8714518381175 1.2407055143771513 
arts 	 841.9407525212478 1.6066909990897695 
fellowship 	 6766.173728946427 0.8992918449565849 
council 	 3213.7188688621986 0.8992918449565849 
fellowships 	 4143.87587437588 1.2407055143771513 
numerous 	 3445.0887761206836 0.8992918449565849 
grants 	 2549.335697477503 1.2407055143771513 
spoon 	 2442.580967892078 1.4204639176615979 
river 	 1454.5837557446332 1.4204639176615979 
review 	 622.8840333512378 1.4204639176615979 
edits 	 8287.75174875176 0.8992918449565849 
shares 	 4735.29688866753 0.8992918449565849 
passion 	 5407.725213525186 0.8992918449565849 
written 	 762.5355429848177 1.2407055143771513 
word 	 3945.0922596898863 0.8992918449565849 
students 	 382.78764179118707 1.7605681794677237 
elementary 	 1454.5837557446332 1.4204639176615979 
college 	 3487.7075233741375 0.8992918449565849 
graduate 	 5244.5957091410955 0.8992918449565849 
public 	 248.99103010242231 1.6611359767042346 
ages 	 4209.703762606239 0.8992918449565849 
workshops 	 5806.1648838709025 0.8992918449565849 
lectures 	 7327.742903676235 0.8992918449565849 
readings 	 2903.0824419354512 1.2407055143771513 
ignited 	 8287.75174875176 0.8992918449565849 
enjoyment 	 3029.340120015265 1.2407055143771513 
united 	 1909.5910411582524 0.8992918449565849 
bittersweet 	 8287.75174875176 0.8992918449565849 
irony 	 5592.66619231015 0.8992918449565849 
physical 	 2617.0845300741494 0.8992918449565849 
mental 	 3723.017689335763 0.8992918449565849 
fitness 	 6058.68024003053 0.8992918449565849 
conditioning 	 5407.725213525186 0.8992918449565849 
barely 	 7327.742903676235 0.8992918449565849 
teens 	 7327.742903676235 0.8992918449565849 
capacities 	 6766.173728946427 0.8992918449565849 
test 	 3363.594683588921 0.8992918449565849 
strong 	 3363.594683588921 0.8992918449565849 
intense 	 1655.5555986420054 1.4204639176615979 
deeply 	 3029.340120015265 1.2407055143771513 
religious 	 3286.630439739508 0.8992918449565849 
woman 	 3829.6087313093008 0.8992918449565849 
committed 	 4363.751267233899 0.8992918449565849 
suicide 	 5244.5957091410955 0.8992918449565849 
days 	 1463.069174322165 1.2407055143771513 
lucia's 	 4143.87587437588 1.2407055143771513 
birthday 	 6367.73405860071 0.8992918449565849 
exactly 	 4537.102220225198 0.8992918449565849 
getsi's 	 1381.2919581252931 1.6611359767042346 
daughter 	 2483.333397963008 1.2407055143771513 
manon 	 828.7751748751759 1.7819003618499667 
contracted 	 7327.742903676235 0.8992918449565849 
deadly 	 5806.1648838709025 0.8992918449565849 
paralyzing 	 8287.75174875176 0.8992918449565849 
guillain 	 8287.75174875176 0.8992918449565849 
barr 	 8287.75174875176 0.8992918449565849 
syndrome 	 5244.5957091410955 0.8992918449565849 
