term 	 tf-idf weight 	 BM25 ranking 
contributes 	 6058.68024003053 0.8992918449565849 
whittled 	 8287.75174875176 0.8992918449565849 
brought 	 3624.0470242204924 0.8992918449565849 
enriched 	 8287.75174875176 0.8992918449565849 
galloped 	 8287.75174875176 0.8992918449565849 
secret 	 3829.6087313093008 0.8992918449565849 
imagination 	 5592.66619231015 0.8992918449565849 
imagine 	 2122.57801953357 1.4204639176615979 
television 	 3487.7075233741375 0.8992918449565849 
movies 	 5806.1648838709025 0.8992918449565849 
steal 	 6766.173728946427 0.8992918449565849 
killer 	 7327.742903676235 0.8992918449565849 
passes 	 5806.1648838709025 0.8992918449565849 
front 	 3363.594683588921 0.8992918449565849 
metaphorically 	 8287.75174875176 0.8992918449565849 
image 	 2506.2253799463015 0.8992918449565849 
based 	 1704.0293340694438 0.8992918449565849 
kids 	 1864.2220641033834 1.4204639176615979 
seen 	 2617.0845300741494 0.8992918449565849 
pregnancy 	 4846.156038795379 0.8992918449565849 
drugs 	 2181.8756336169495 1.2407055143771513 
guns 	 6367.73405860071 0.8992918449565849 
death 	 626.5563449865754 1.5314017381373934 
hard 	 3775.2880435920065 0.8992918449565849 
stick 	 6766.173728946427 0.8992918449565849 
laid 	 5592.66619231015 0.8992918449565849 
talking 	 5592.66619231015 0.8992918449565849 
smart 	 6058.68024003053 0.8992918449565849 
skills 	 3829.6087313093008 0.8992918449565849 
wrote 	 4632.657347234625 0.8992918449565849 
spoke 	 5806.1648838709025 0.8992918449565849 
unjaded 	 8287.75174875176 0.8992918449565849 
idealism 	 6058.68024003053 0.8992918449565849 
pouring 	 6367.73405860071 0.8992918449565849 
descended 	 7327.742903676235 0.8992918449565849 
braxton 	 8287.75174875176 0.8992918449565849 
bragg 	 8287.75174875176 0.8992918449565849 
brilliant 	 3663.8714518381175 1.2407055143771513 
civil 	 2364.5691739145223 0.8992918449565849 
war 	 2289.6860724551902 0.8992918449565849 
blamed 	 5244.5957091410955 0.8992918449565849 
south's 	 8287.75174875176 0.8992918449565849 
defeat 	 4966.666795926016 0.8992918449565849 
failure 	 3046.649105774967 0.8992918449565849 
advantage 	 3577.093375149673 0.8992918449565849 
victory 	 4363.751267233899 0.8992918449565849 
army 	 3945.0922596898863 0.8992918449565849 
battle 	 4071.0881725048175 0.8992918449565849 
chickamauga 	 8287.75174875176 0.8992918449565849 
fanatically 	 8287.75174875176 0.8992918449565849 
obsessive 	 4143.87587437588 1.2407055143771513 
moody 	 7327.742903676235 0.8992918449565849 
characteristics 	 3324.5780189900465 0.8992918449565849 
side 	 1523.3245528874836 1.2407055143771513 
family 	 1182.2845869572611 1.2407055143771513 
lot 	 4632.657347234625 0.8992918449565849 
channeled 	 8287.75174875176 0.8992918449565849 
redistributing 	 8287.75174875176 0.8992918449565849 
aspects 	 2617.0845300741494 0.8992918449565849 
personality 	 4071.0881725048175 0.8992918449565849 
helps 	 4966.666795926016 0.8992918449565849 
rechannel 	 8287.75174875176 0.8992918449565849 
paying 	 4735.29688866753 0.8992918449565849 
attention 	 2955.2973203833276 0.8992918449565849 
honesty 	 7327.742903676235 0.8992918449565849 
illusion 	 5592.66619231015 0.8992918449565849 
lying 	 5806.1648838709025 0.8992918449565849 
truthfulness 	 3663.8714518381175 1.2407055143771513 
easy 	 1914.8043656546504 1.2407055143771513 
difficult 	 1148.3629253735612 1.4204639176615979 
act 	 2527.6986782986132 0.8992918449565849 
knows 	 2549.335697477503 1.2407055143771513 
truthful 	 3663.8714518381175 1.2407055143771513 
quotation 	 7327.742903676235 0.8992918449565849 
taped 	 6058.68024003053 0.8992918449565849 
stevenson 	 6766.173728946427 0.8992918449565849 
hall 	 4071.0881725048175 0.8992918449565849 
office 	 2271.5812394844065 0.8992918449565849 
door 	 5592.66619231015 0.8992918449565849 
artistic 	 5407.725213525186 0.8992918449565849 
growth 	 2549.510152699486 0.8992918449565849 
sense 	 3324.5780189900465 0.8992918449565849 
believe 	 3577.093375149673 0.8992918449565849 
willa 	 6766.173728946427 0.8992918449565849 
cather 	 8287.75174875176 0.8992918449565849 
hungry 	 8287.75174875176 0.8992918449565849 
natural 	 3111.079327429294 0.8992918449565849 
health 	 2218.644859728433 0.8992918449565849 
tai 	 6766.173728946427 0.8992918449565849 
chi 	 6367.73405860071 0.8992918449565849 
meditation 	 5407.725213525186 0.8992918449565849 
yoga 	 6766.173728946427 0.8992918449565849 
nourishment 	 3383.0868644732136 1.2407055143771513 
available 	 2167.6575069534706 0.8992918449565849 
literature 	 870.1598099175836 1.2407055143771513 
newspaper 	 3945.0922596898863 0.8992918449565849 
invisible 	 6367.73405860071 0.8992918449565849 
forward 	 4071.0881725048175 0.8992918449565849 
example 	 2443.733577082851 0.8992918449565849 
comes 	 4006.6579508504915 0.8992918449565849 
relationship 	 2040.2113322259213 0.8992918449565849 
love 	 894.2733437874183 1.5314017381373934 
insanity 	 6367.73405860071 0.8992918449565849 
genius 	 2483.333397963008 1.2407055143771513 
magnificent 	 7327.742903676235 0.8992918449565849 
novel 	 1034.6656374698703 1.5314017381373934 
profound 	 4966.666795926016 0.8992918449565849 
influence 	 2383.940119049537 0.8992918449565849 
especiallythe 	 8287.75174875176 0.8992918449565849 
madness 	 6058.68024003053 0.8992918449565849 
motifs 	 6367.73405860071 0.8992918449565849 
saved 	 6058.68024003053 0.8992918449565849 
learned 	 4846.156038795379 0.8992918449565849 
stepfather 	 7327.742903676235 0.8992918449565849 
car 	 3577.093375149673 0.8992918449565849 
normal 	 4006.6579508504915 0.8992918449565849 
stable 	 5407.725213525186 0.8992918449565849 
decatur 	 8287.75174875176 0.8992918449565849 
stabled 	 8287.75174875176 0.8992918449565849 
driveway 	 8287.75174875176 0.8992918449565849 
climax 	 6367.73405860071 0.8992918449565849 
sobbing 	 4143.87587437588 1.2407055143771513 
boy 	 1241.666698981504 1.5314017381373934 
caring 	 5806.1648838709025 0.8992918449565849 
badly 	 6367.73405860071 0.8992918449565849 
injured 	 5098.671394955006 0.8992918449565849 
barbed 	 8287.75174875176 0.8992918449565849 
wire 	 5806.1648838709025 0.8992918449565849 
die 	 2142.2934320327854 1.2407055143771513 
fever 	 4143.87587437588 1.2407055143771513 
powerful 	 4138.662549879481 0.8992918449565849 
description 	 846.0704245284333 1.2407055143771513 
force 	 3046.649105774967 0.8992918449565849 
feels 	 5407.725213525186 0.8992918449565849 
process 	 2167.6575069534706 0.8992918449565849 
exact 	 5244.5957091410955 0.8992918449565849 
went 	 4363.751267233899 0.8992918449565849 
story 	 3178.6537048039568 0.8992918449565849 
transference 	 7327.742903676235 0.8992918449565849 
goes 	 3672.648502159101 0.8992918449565849 
sick 	 5407.725213525186 0.8992918449565849 
pneumonia 	 7327.742903676235 0.8992918449565849 
delirious 	 8287.75174875176 0.8992918449565849 
hears 	 6766.173728946427 0.8992918449565849 
father 	 2142.2934320327854 1.2407055143771513 
cougar 	 8287.75174875176 0.8992918449565849 
wakes 	 7327.742903676235 0.8992918449565849 
alive 	 5098.671394955006 0.8992918449565849 
fine 	 4209.703762606239 0.8992918449565849 
anima 	 8287.75174875176 0.8992918449565849 
female 	 3672.648502159101 0.8992918449565849 
creativity 	 5592.66619231015 0.8992918449565849 
complex 	 3144.4544363662926 0.8992918449565849 
amazing 	 7327.742903676235 0.8992918449565849 
clambered 	 8287.75174875176 0.8992918449565849 
floor 	 4447.716368449662 0.8992918449565849 
minutes 	 4537.102220225198 0.8992918449565849 
finish 	 6058.68024003053 0.8992918449565849 
bit 	 6367.73405860071 0.8992918449565849 
embarrassed 	 8287.75174875176 0.8992918449565849 
incredible 	 5806.1648838709025 0.8992918449565849 
jeez 	 8287.75174875176 0.8992918449565849 
happen 	 4447.716368449662 0.8992918449565849 
share 	 3403.7424221583756 0.8992918449565849 
emotional 	 3487.7075233741375 0.8992918449565849 
safely 	 8287.75174875176 0.8992918449565849 
terror 	 4735.29688866753 0.8992918449565849 
helplessness 	 8287.75174875176 0.8992918449565849 
loneliness 	 6766.173728946427 0.8992918449565849 
alien 	 6367.73405860071 0.8992918449565849 
altered 	 5806.1648838709025 0.8992918449565849 
strange 	 5407.725213525186 0.8992918449565849 
mirrors 	 7327.742903676235 0.8992918449565849 
shrunken 	 8287.75174875176 0.8992918449565849 
measures 	 3487.7075233741375 0.8992918449565849 
shots 	 6058.68024003053 0.8992918449565849 
decode 	 8287.75174875176 0.8992918449565849 
politics 	 2926.13834864433 0.8992918449565849 
powerlessness 	 8287.75174875176 0.8992918449565849 
administer 	 6766.173728946427 0.8992918449565849 
sustaining 	 6367.73405860071 0.8992918449565849 
feed 	 5592.66619231015 0.8992918449565849 
drips 	 8287.75174875176 0.8992918449565849 
respiration 	 7327.742903676235 0.8992918449565849 
flattened 	 7327.742903676235 0.8992918449565849 
lungs 	 6766.173728946427 0.8992918449565849 
pressed 	 6367.73405860071 0.8992918449565849 
rarest 	 8287.75174875176 0.8992918449565849 
wines 	 7327.742903676235 0.8992918449565849 
precious 	 6766.173728946427 0.8992918449565849 
bloods 	 8287.75174875176 0.8992918449565849 
saints 	 6766.173728946427 0.8992918449565849 
fermented 	 8287.75174875176 0.8992918449565849 
chambers 	 6766.173728946427 0.8992918449565849 
heart 	 2003.3289754252457 1.2407055143771513 
murdered 	 4966.666795926016 0.8992918449565849 
blue 	 591.2375071256401 1.7023403993281825 
autumn 	 5592.66619231015 0.8992918449565849 
horses_ 	 8287.75174875176 0.8992918449565849 
watching 	 6766.173728946427 0.8992918449565849 
mymother 	 8287.75174875176 0.8992918449565849 
watches 	 8287.75174875176 0.8992918449565849 
plump 	 8287.75174875176 0.8992918449565849 
plums 	 8287.75174875176 0.8992918449565849 
beach 	 4632.657347234625 0.8992918449565849 
balls 	 4143.87587437588 1.2407055143771513 
balloons 	 7327.742903676235 0.8992918449565849 
float 	 7327.742903676235 0.8992918449565849 
red 	 3531.679470539831 0.8992918449565849 
hills 	 6766.173728946427 0.8992918449565849 
tennis 	 7327.742903676235 0.8992918449565849 
net 	 3213.7188688621986 0.8992918449565849 
peaceful 	 5592.66619231015 0.8992918449565849 
swatting 	 8287.75174875176 0.8992918449565849 
flies 	 6367.73405860071 0.8992918449565849 
nuzzles 	 8287.75174875176 0.8992918449565849 
muzzle 	 8287.75174875176 0.8992918449565849 
sun 	 4363.751267233899 0.8992918449565849 
sunbeam 	 2762.5839162505863 1.4204639176615979 
dips 	 7327.742903676235 0.8992918449565849 
sky 	 6367.73405860071 0.8992918449565849 
ride 	 6367.73405860071 0.8992918449565849 
biggest 	 4537.102220225198 0.8992918449565849 
hand 	 1681.7973417944604 1.2407055143771513 
land 	 3144.4544363662926 0.8992918449565849 
soft 	 5806.1648838709025 0.8992918449565849 
pillowy 	 8287.75174875176 0.8992918449565849 
canter 	 8287.75174875176 0.8992918449565849 
round 	 4209.703762606239 0.8992918449565849 
hill 	 5244.5957091410955 0.8992918449565849 
golden 	 4846.156038795379 0.8992918449565849 
clouds 	 5592.66619231015 0.8992918449565849 
return 	 2102.4690044151603 0.8992918449565849 
isu 	 2903.0824419354512 1.2407055143771513 
scholar 	 5806.1648838709025 0.8992918449565849 
main 	 2485.0799310451594 0.8992918449565849 
uro 	 7327.742903676235 0.8992918449565849 
schl 	 7327.742903676235 0.8992918449565849 
sch 	 7327.742903676235 0.8992918449565849 
htm 	 908.643254978189 0.8992918449565849 
