term 	 tf-idf weight 	 BM25 ranking 
mikhailov 	 878.1496066373543 1.7111665971504049 
zabaikalsky 	 1142.9318296112535 1.7111665971504049 
rabochiy_ 	 1142.9318296112535 1.7111665971504049 
missing 	 723.2619353400355 1.7111665971504049 
maxim 	 933.0968824756444 1.7111665971504049 
shabalin 	 1010.5407181243039 1.7111665971504049 
nevskoye 	 336.84690604143464 1.8934652694699114 
vremya_ 	 336.84690604143464 1.8934652694699114 
seen 	 90.22800455670803 1.9190205617736937 
titov 	 1010.5407181243039 1.7111665971504049 
sergei 	 601.788080896516 1.7111665971504049 
ivanov 	 933.0968824756444 1.7111665971504049 
andrew 	 638.871879654739 1.7111665971504049 
shumack 	 1010.5407181243039 1.7111665971504049 
july 	 443.1915552004909 1.7111665971504049 
committee 	 399.5941526721237 1.7111665971504049 
protect 	 429.03693251913006 1.7111665971504049 
front 	 463.8603498667754 1.7111665971504049 
page 	 93.75709393320861 1.7111665971504049 
index 	 83.0582973962664 1.7111665971504049 
html 	 75.05331633367973 1.7111665971504049 
website 	 580.5439845904633 1.7111665971504049 
http 	 83.80293771565694 1.7111665971504049 
www 	 83.0582973962664 1.7111665971504049 
org 	 487.0402735545904 1.7111665971504049 
