term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 2376.999382155725 1.0335021442817123 
eeeeeee 	 3069.2755478609915 0.9221010574358035 
zzzzzzz 	 6138.551095721983 0.5991756549794981 
tttttttnn 	 12277.102191443966 0.3523708337696494 
eeee 	 6138.551095721983 0.5991756549794981 
hazai 	 12555.640185315333 0.3523708337696494 
sajtosajtokivonatok 	 16670.475057714484 0.3523708337696494 
napi 	 3372.9451405462537 0.9221010574358035 
hetilapokbol 	 13491.780562185015 0.3523708337696494 
szent 	 4334.344441790606 0.7816735431673818 
hirek 	 13160.985353396776 0.3523708337696494 
sorok 	 13491.780562185015 0.3523708337696494 
kozt 	 14222.734003087018 0.3523708337696494 
olvaso 	 13491.780562185015 0.3523708337696494 
szabad 	 6071.572834699544 0.5991756549794981 
velemenyeivel 	 16670.475057714484 0.3523708337696494 
tarkitva 	 16670.475057714484 0.3523708337696494 
magyar 	 540.2271323081193 1.6494326782122914 
nsz 	 1442.2418078444264 1.3627841288721818 
nepszabadsag 	 6424.830133887718 0.5991756549794981 
hirlap 	 6501.516662685907 0.5991756549794981 
nszv 	 3605.6045196110663 0.9221010574358035 
nepszava 	 13665.27151474146 0.3523708337696494 
esti 	 14422.418078444265 0.3523708337696494 
hvg 	 15552.438643121293 0.3523708337696494 
heti 	 15071.106964634793 0.3523708337696494 
vilaggazdasag 	 7314.967435869137 0.5991756549794981 
gazdasag 	 6661.899099701285 0.5991756549794981 
copyright 	 4126.607479792599 0.3523708337696494 
egyszer 	 6745.890281092507 0.5991756549794981 
mar 	 727.4287192534003 1.5477002181368265 
megjelent 	 2664.7596398805144 1.0335021442817123 
hetilap 	 15071.106964634793 0.3523708337696494 
anyagot 	 15306.301240397075 0.3523708337696494 
szabadon 	 14629.934871738275 0.3523708337696494 
utankozolhetonek 	 15810.58740174176 0.3523708337696494 
tart 	 6745.890281092507 0.5991756549794981 
kulfold 	 14030.31279777892 0.3523708337696494 
pufajkas 	 15071.106964634793 0.3523708337696494 
legujabb 	 8040.990111173144 0.5991756549794981 
hazudozasai 	 12924.124620886478 0.5991756549794981 
magyarorszagra 	 16991.23993174524 0.3523708337696494 
hatalmas 	 16670.475057714484 0.3523708337696494 
feladatot 	 10682.598131232131 0.5991756549794981 
piaci 	 20035.49162242999 0.3523708337696494 
atalakulas 	 6886.227221362638 0.7816735431673818 
gazdasagszerkezet 	 31661.006861115926 0.3523708337696494 
megteremtese 	 25848.249241772955 0.3523708337696494 
folyamat 	 18089.859810786933 0.3523708337696494 
politikai 	 1716.0710080262047 1.1990573363479353 
rendszervaltasnal 	 27993.565128773254 0.3523708337696494 
joval 	 18513.365777087616 0.3523708337696494 
hosszabb 	 18973.742972739747 0.3523708337696494 
idot 	 20035.49162242999 0.3523708337696494 
igenyel 	 22180.807509430284 0.3523708337696494 
jelentette 	 6922.322312328746 0.5991756549794981 
tegnap 	 2370.4556671811697 1.1240334727091246 
horn 	 1001.0414213486195 1.4392079758791778 
gyula 	 3103.6346225009042 0.9221010574358035 
parlamentben 	 16991.23993174524 0.3523708337696494 
miniszterelnok 	 1977.8063749510702 1.1990573363479353 
europai 	 2193.497558899463 1.1240334727091246 
parlamenti 	 1857.5761893388308 1.1990573363479353 
elnokok 	 9331.188376257753 0.7816735431673818 
