term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 292.46740830417025 1.6765180612355968 
logo_asm 	 877.4022249125106 1.2667479714916143 
gif 	 37.725992572751046 1.8240280975768208 
subject 	 579.0657536252597 1.2667479714916143 
index 	 142.4167141218704 1.5510813598677593 
anthropology 	 871.1342344969319 1.2667479714916143 
ant 	 877.4022249125106 1.2667479714916143 
idx 	 46.179064469079506 1.940870261232996 
html 	 8.579393053849952 1.9621407541056282 
architecture 	 840.6636242560771 1.2667479714916143 
arc 	 414.4307515759114 1.5510813598677593 
art 	 370.69922049138023 1.5510813598677593 
black 	 756.9327659171024 1.2667479714916143 
studies 	 233.89643789766524 1.6765180612355968 
blk 	 877.4022249125106 1.2667479714916143 
stu 	 877.4022249125106 1.2667479714916143 
business 	 198.41313829065106 1.6765180612355968 
bus 	 834.7359819905308 1.2667479714916143 
ecology 	 871.1342344969319 1.2667479714916143 
eco 	 871.1342344969319 1.2667479714916143 
economics 	 828.8615031518228 1.2667479714916143 
ecn 	 871.1342344969319 1.2667479714916143 
education 	 711.3931948822627 1.2667479714916143 
edu 	 716.299584864861 1.2667479714916143 
film 	 811.5477197721809 1.2667479714916143 
flm 	 877.4022249125106 1.2667479714916143 
gen 	 156.7342344655739 1.792485391142314 
healthcare 	 864.9256572067059 1.2667479714916143 
med 	 429.3876886387806 1.5510813598677593 
history 	 721.2430045560369 1.2667479714916143 
law 	 273.93469076864903 1.5510813598677593 
linguistics 	 864.9256572067059 1.2667479714916143 
lin 	 858.7753772775612 1.2667479714916143 
literature 	 823.0392425935268 1.2667479714916143 
lit 	 871.1342344969319 1.2667479714916143 
mass 	 741.3984409827605 1.2667479714916143 
media 	 567.1923167171351 1.2667479714916143 
mda 	 877.4022249125106 1.2667479714916143 
medicine 	 805.876688675441 1.2667479714916143 
music 	 840.6636242560771 1.2667479714916143 
mus 	 871.1342344969319 1.2667479714916143 
philosophy 	 840.6636242560771 1.2667479714916143 
phi 	 877.4022249125106 1.2667479714916143 
political 	 620.2743092691826 1.2667479714916143 
science 	 358.1497924324305 1.5510813598677593 
psi 	 871.1342344969319 1.2667479714916143 
psychology 	 864.9256572067059 1.2667479714916143 
psy 	 864.9256572067059 1.2667479714916143 
religion 	 834.7359819905308 1.2667479714916143 
rel 	 871.1342344969319 1.2667479714916143 
sci 	 846.6454009900207 1.2667479714916143 
shakespeare 	 877.4022249125106 1.2667479714916143 
sha 	 432.46282860335293 1.5510813598677593 
sociology 	 871.1342344969319 1.2667479714916143 
soc 	 871.1342344969319 1.2667479714916143 
sports 	 828.8615031518228 1.2667479714916143 
recreation 	 846.6454009900207 1.2667479714916143 
spt 	 852.6823100837458 1.2667479714916143 
urban 	 834.7359819905308 1.2667479714916143 
urb 	 877.4022249125106 1.2667479714916143 
women's 	 834.7359819905308 1.2667479714916143 
wom 	 877.4022249125106 1.2667479714916143 
home 	 146.26215947648416 1.5510813598677593 
page 	 160.76150923102523 1.5510813598677593 
topic 	 864.9256572067059 1.2667479714916143 
search 	 397.33991741254965 1.5510813598677593 
custom 	 426.3411550418729 1.5510813598677593 
review 	 441.8653882798491 1.5510813598677593 
analysis 	 20.66350483783182 1.9707497270107628 
specific 	 706.5232839729384 1.2667479714916143 
paper 	 187.92840369922288 1.7471651057023612 
click 	 402.9383443377205 1.5510813598677593 
catalog 	 858.7753772775612 1.2667479714916143 
button 	 783.6711723278695 1.2667479714916143 
title 	 378.4663829585512 1.5510813598677593 
description 	 800.2543365575794 1.2667479714916143 
written 	 721.2430045560369 1.2667479714916143 
pgs 	 28.101104338610707 1.9633396340730562 
