term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 1478.043463861715 1.2646244102379318 
eeeeeee 	 2671.911391693012 0.9912668645611008 
zzzzzzz 	 5343.822783386024 0.6589264118411085 
tttttttnn 	 10687.645566772047 0.39443992743913897 
eeee 	 5343.822783386024 0.6589264118411085 
hazai 	 3643.3742010686337 0.8485986086833873 
sajto 	 5728.548340365295 0.6589264118411085 
sajtokivonatok 	 15747.853768377361 0.39443992743913897 
napi 	 5872.532722493307 0.6589264118411085 
hetilapokbol 	 11745.065444986614 0.39443992743913897 
szent 	 2263.918786492632 1.1024774144655403 
hirek 	 5728.548340365295 0.6589264118411085 
sorok 	 11745.065444986614 0.39443992743913897 
kozt 	 12381.38590402926 0.39443992743913897 
olvaso 	 5872.532722493307 0.6589264118411085 
szabad 	 3523.677247732136 0.8485986086833873 
velemenyeivel 	 14512.229846122267 0.39443992743913897 
tarkitva 	 14512.229846122267 0.39443992743913897 
magyarnemzet 	 15406.512448637319 0.39443992743913897 
nsz 	 1793.6025506740364 1.2646244102379318 
nepszabadsag 	 5593.03866881248 0.6589264118411085 
magyar 	 323.32200771975016 1.7743040551490497 
hirlap 	 3773.19797748772 0.8485986086833873 
nszv 	 4185.072618239417 0.8485986086833873 
nepszava 	 11896.095368909311 0.39443992743913897 
esti 	 12555.217854718254 0.39443992743913897 
hvg 	 13538.940160691112 0.39443992743913897 
heti 	 13119.924150275536 0.39443992743913897 
vilaggazdasag 	 6367.934229751133 0.6589264118411085 
napigazdasag 	 21176.738681526982 0.39443992743913897 
copyright 	 3592.355708169479 0.39443992743913897 
egyszer 	 5872.532722493307 0.6589264118411085 
mar 	 596.0019444128052 1.6136319168617967 
megjelent 	 11598.830940549658 0.39443992743913897 
eshetilap 	 21176.738681526982 0.39443992743913897 
anyagot 	 13324.668968676797 0.39443992743913897 
szabadon 	 12735.868459502266 0.39443992743913897 
utankozolhetonek 	 13763.667656855516 0.39443992743913897 
tart 	 11745.065444986614 0.39443992743913897 
kulfold 	 6106.938267489105 0.6589264118411085 
ugy 	 1034.6304247032006 1.4214155556139159 
latszik 	 6881.833828427758 0.6589264118411085 
nem 	 211.1490662659593 1.8466009520129567 
volt 	 574.7946803906669 1.6311380187966946 
felrobbant 	 13781.0052544226 0.6589264118411085 
ott 	 5659.79696623158 0.6589264118411085 
gepen 	 13781.0052544226 0.6589264118411085 
osszesen 	 15088.731282568418 0.39443992743913897 
halalos 	 16517.304882335906 0.39443992743913897 
aldozatot 	 19309.166393580777 0.39443992743913897 
kovetelt 	 10074.469742086867 0.6589264118411085 
amerikai 	 1617.0848474947372 1.2646244102379318 
twa 	 22501.802307239886 0.39443992743913897 
legitarsasag 	 27562.0105088452 0.39443992743913897 
boening 	 27562.0105088452 0.39443992743913897 
utasszallito 	 27562.0105088452 0.39443992743913897 
gepenek 	 27562.0105088452 0.39443992743913897 
kozep 	 12735.868459502266 0.39443992743913897 
europai 	 2864.2741701826476 0.9912668645611008 
ido 	 6461.947283131281 0.6589264118411085 
szerint 	 608.6061321783533 1.6136319168617967 
csutortokon 	 5505.768294111968 0.8485986086833873 
hajnalban 	 24369.37459518609 0.39443992743913897 
atlanti 	 16517.304882335906 0.39443992743913897 
ocean 	 14791.466854208767 0.39443992743913897 
folott 	 4029.1326199804175 0.9912668645611008 
