term 	 tf-idf weight 	 BM25 ranking 
 robomedia 	 360.2926444114072 1.8776250173063709 
home 	 131.7475940322529 1.586418172668603 
page 	 24.134679502876562 1.916718074165465 
image 	 31.400997540206365 1.96979246262425 
banner_fin 	 1441.1705776456288 1.586418172668603 
gif 	 5.996857373486245 1.96979246262425 
electronic 	 827.7353228500773 1.586418172668603 
personalities 	 1117.0799524885365 1.586418172668603 
links 	 966.3863934775692 1.586418172668603 
data 	 247.78100015374557 1.7693621839844422 
types 	 583.0979131591422 1.586418172668603 
successfully 	 929.4632663061374 1.586418172668603 
robots 	 93.8376128286601 1.9536970868681238 
market 	 278.71477847360075 1.7693621839844422 
educate 	 1236.692159380445 1.586418172668603 
entertain 	 780.3913922687686 1.7693621839844422 
bullet_ani 	 252.1801718289602 1.9281883052679178 
corporations 	 464.7316331530687 1.7693621839844422 
elementary 	 464.7316331530687 1.7693621839844422 
schools 	 396.49466366572204 1.7693621839844422 
hospitals 	 224.16292598715532 1.8776250173063709 
caring 	 618.3460796902225 1.7693621839844422 
institutions 	 218.5690562243734 1.8400947566399624 
meeting 	 338.520881919555 1.7693621839844422 
conference 	 331.3243327045638 1.7693621839844422 
special 	 243.84743370912676 1.7693621839844422 
event 	 284.46789302067265 1.8400947566399624 
planners 	 595.6088544157019 1.7693621839844422 
museums 	 480.3901925485429 1.8400947566399624 
public 	 79.55128579084612 1.8776250173063709 
service 	 149.27276926653965 1.8400947566399624 
organizations 	 317.90599541921904 1.7693621839844422 
foundations 	 516.1068705576306 1.7693621839844422 
universities 	 678.1521831361767 1.7693621839844422 
colleges 	 430.15900621155384 1.8400947566399624 
bluebot_hi 	 1765.2612028027213 1.586418172668603 
jpeg 	 372.3599841628455 1.8400947566399624 
discuss 	 827.7353228500773 1.586418172668603 
robot 	 176.30403642085878 1.9008871201494542 
media 	 127.7265140698892 1.7693621839844422 
applications 	 692.1732856834374 1.586418172668603 
please 	 524.8768800823862 1.586418172668603 
contact 	 158.75802877498327 1.8400947566399624 
button 	 352.9511386820176 1.586418172668603 
bottom 	 1008.6011423515678 1.586418172668603 
b_robot 	 1765.2612028027213 1.586418172668603 
running 	 966.3863934775692 1.586418172668603 
animation 	 1560.7827845375373 1.586418172668603 
bluebot_run_ani 	 1765.2612028027213 1.586418172668603 
b_application 	 1765.2612028027213 1.586418172668603 
eom 	 390.1956961343843 1.8776250173063709 
corp 	 1151.8259480071697 1.586418172668603 
htm 	 27.648247572827827 1.9281883052679178 
shake_employee_sm 	 1765.2612028027213 1.586418172668603 
theyre 	 1765.2612028027213 1.586418172668603 
george 	 804.1227240863841 1.586418172668603 
lucas 	 1765.2612028027213 1.586418172668603 
anymore 	 1441.1705776456288 1.586418172668603 
company 	 547.7565592144192 1.586418172668603 
interact 	 1117.0799524885365 1.586418172668603 
consumers 	 947.3475297419857 1.586418172668603 
employees 	 733.7914721701095 1.586418172668603 
government 	 348.0749946064105 1.586418172668603 
agencies 	 655.7071686731202 1.586418172668603 
retailers 	 1441.1705776456288 1.586418172668603 
companies 	 642.2957683204769 1.586418172668603 
produce 	 867.1270836743114 1.586418172668603 
proven 	 542.9993001847389 1.7693621839844422 
results 	 511.95510639816024 1.586418172668603 
mdm 	 1356.3043662723535 1.586418172668603 
picture 	 293.84006070143124 1.8400947566399624 
kids2 	 1765.2612028027213 1.586418172668603 
youre 	 1765.2612028027213 1.586418172668603 
educator 	 1356.3043662723535 1.586418172668603 
parent 	 881.5201821042938 1.586418172668603 
student 	 692.1732856834374 1.586418172668603 
classroom 	 1032.2137411152612 1.586418172668603 
visit 	 188.05874436990075 1.8776250173063709 
dollar 	 708.1231159581687 1.586418172668603 
machine 	 881.5201821042938 1.586418172668603 
youll 	 1765.2612028027213 1.586418172668603 
scientifically 	 1441.1705776456288 1.586418172668603 
validated 	 1560.7827845375373 1.586418172668603 
teaching 	 804.1227240863841 1.586418172668603 
tools 	 929.4632663061374 1.586418172668603 
invite 	 1356.3043662723535 1.586418172668603 
school 	 547.7565592144192 1.586418172668603 
spt 	 384.0324908010764 1.586418172668603 
hospital 	 371.4345557384009 1.7693621839844422 
bring 	 708.1231159581687 1.586418172668603 
healing 	 504.3005711757839 1.7693621839844422 
messages 	 1057.882097327202 1.586418172668603 
thousands 	 929.4632663061374 1.586418172668603 
children 	 557.4295569472015 1.586418172668603 
nationwide 	 1057.882097327202 1.586418172668603 
super 	 1290.4770186346616 1.586418172668603 
power 	 424.98924203307007 1.586418172668603 
tour 	 986.7392905662199 1.586418172668603 
comments 	 333.9122749464341 1.586418172668603 
professionals 	 853.403679062018 1.586418172668603 
favorite 	 1236.692159380445 1.586418172668603 
facility 	 413.86766142503865 1.7693621839844422 
meetings 	 912.6015342233526 1.586418172668603 
bluebot_entertain 	 1765.2612028027213 1.586418172668603 
whats 	 1765.2612028027213 1.586418172668603 
energize 	 1765.2612028027213 1.586418172668603 
corporate 	 733.7914721701095 1.586418172668603 
affairs 	 700.040418572675 1.586418172668603 
trade 	 629.4676602982539 1.586418172668603 
birthday 	 1356.3043662723535 1.586418172668603 
parties 	 648.9252607968341 1.586418172668603 
anniversaries 	 1765.2612028027213 1.586418172668603 
grand 	 986.7392905662199 1.586418172668603 
openings 	 1560.7827845375373 1.586418172668603 
bar 	 567.4305146915275 1.586418172668603 
bat 	 1765.2612028027213 1.586418172668603 
mitzvahs 	 1765.2612028027213 1.586418172668603 
weddings 	 1441.1705776456288 1.586418172668603 
museum 	 1191.2177088314038 1.586418172668603 
income 	 708.1231159581687 1.586418172668603 
producing 	 1008.6011423515678 1.586418172668603 
programs 	 160.01069964309718 1.8400947566399624 
available 	 461.70322350272477 1.586418172668603 
educational 	 203.738138733806 1.8400947566399624 
facilities 	 761.9079752123853 1.586418172668603 
combine 	 1085.9986003694778 1.586418172668603 
permanent 	 771.9089329567114 1.586418172668603 
site 	 588.5109090662602 1.586418172668603 
custom 	 384.0324908010764 1.586418172668603 
robotic 	 1032.2137411152612 1.586418172668603 
mascot 	 1441.1705776456288 1.586418172668603 
outreach 	 1290.4770186346616 1.586418172668603 
fund 	 407.846417233301 1.7693621839844422 
raising 	 595.6088544157019 1.7693621839844422 
formats 	 1441.1705776456288 1.586418172668603 
promote 	 867.1270836743114 1.586418172668603 
pubs_lst 	 1765.2612028027213 1.586418172668603 
fireman 	 1560.7827845375373 1.586418172668603 
dont 	 504.3005711757839 1.7693621839844422 
chrome 	 1765.2612028027213 1.586418172668603 
fool 	 1560.7827845375373 1.586418172668603 
hearts 	 1765.2612028027213 1.586418172668603 
gold 	 986.7392905662199 1.586418172668603 
list 	 677.04176383911 1.586418172668603 
help 	 507.77063907553315 1.586418172668603 
entertainment 	 1032.2137411152612 1.586418172668603 
univ_lst 	 1765.2612028027213 1.586418172668603 
term 	 577.7824540358521 1.586418172668603 
papers 	 881.5201821042938 1.586418172668603 
funny 	 1560.7827845375373 1.586418172668603 
coast 	 493.36964528310995 1.7693621839844422 
generate 	 1117.0799524885365 1.586418172668603 
campus 	 504.3005711757839 1.7693621839844422 
excitement 	 1356.3043662723535 1.586418172668603 
alma 	 1356.3043662723535 1.586418172668603 
maters 	 1765.2612028027213 1.586418172668603 
bmoc 	 1765.2612028027213 1.586418172668603 
main 	 264.6565269524628 1.7693621839844422 
button_main_ani 	 1441.1705776456288 1.586418172668603 
html 	 115.92004355201843 1.586418172668603 
quick 	 473.67376487099284 1.7693621839844422 
index 	 128.28375775863134 1.586418172668603 
button_index_ani 	 1441.1705776456288 1.586418172668603 
button_contact_ani 	 1441.1705776456288 1.586418172668603 
copyright 	 230.0792301150665 1.586418172668603 
http 	 129.43385668125023 1.586418172668603 
www 	 128.28375775863134 1.586418172668603 
com 	 142.39003069202667 1.586418172668603 
copyrite 	 1441.1705776456288 1.586418172668603 
gowell 	 1441.1705776456288 1.586418172668603 
kent 	 1151.8259480071697 1.586418172668603 
