term 	 tf-idf weight 	 BM25 ranking 
applications 	 1011.2769021341068 1.4483417884150067 
probably 	 655.0116684777216 1.6800443543976207 
saves 	 2105.574640560224 1.4483417884150067 
dollars 	 1508.081770917551 1.4483417884150067 
materials 	 1022.7709166265183 1.4483417884150067 
slight 	 2105.574640560224 1.4483417884150067 
aaron 	 421.11492811204477 1.8584287893260834 
netland 	 2579.0765369761793 1.4483417884150067 
srl 	 1545.5836744000815 1.4483417884150067 
flying 	 1885.408796717082 1.4483417884150067 
august 	 1000.0814674943015 1.4483417884150067 
network 	 1072.0817779841261 1.4483417884150067 
people 	 168.34169327022235 1.77468088230356 
country 	 701.335032672965 1.4483417884150067 
line 	 701.335032672965 1.4483417884150067 
knew 	 816.0363720721343 1.6800443543976207 
flooding 	 1981.5836673335064 1.4483417884150067 
fires 	 2105.574640560224 1.4483417884150067 
major 	 577.3440594462475 1.4483417884150067 
space 	 300.567329496833 1.77468088230356 
difference 	 579.2854238641565 1.6800443543976207 
radar 	 415.61241319291497 1.77468088230356 
write 	 438.045247133792 1.6800443543976207 
pertinent 	 1740.3892627333391 1.4483417884150067 
limited 	 910.5889012748781 1.4483417884150067 
net 	 1000.0814674943015 1.4483417884150067 
newspapers 	 1310.0233369554433 1.4483417884150067 
volcano 	 1981.5836673335064 1.4483417884150067 
eruption 	 1981.5836673335064 1.4483417884150067 
earthquake 	 2280.3301021548427 1.4483417884150067 
aftermath 	 1508.081770917551 1.4483417884150067 
helping 	 1287.915927074409 1.4483417884150067 
jon 	 633.4436831586919 1.6800443543976207 
wrap 	 2105.574640560224 1.4483417884150067 
series 	 978.5269762266225 1.4483417884150067 
happened 	 816.0363720721343 1.6800443543976207 
night 	 1158.570847728313 1.4483417884150067 
presses 	 2280.3301021548427 1.4483417884150067 
word 	 1227.6785299107155 1.4483417884150067 
forgotten 	 2579.0765369761793 1.4483417884150067 
thank 	 225.85352571736092 1.909105227776115 
entire 	 1158.570847728313 1.4483417884150067 
commander 	 480.54760930400084 1.77468088230356 
sidney 	 1885.408796717082 1.4483417884150067 
gutierrez 	 2579.0765369761793 1.4483417884150067 
specialist 	 580.1297542444463 1.77468088230356 
michael 	 1191.7410564579845 1.4483417884150067 
clifford 	 2579.0765369761793 1.4483417884150067 
pilot 	 1885.408796717082 1.4483417884150067 
kevin 	 1981.5836673335064 1.4483417884150067 
chilton 	 2579.0765369761793 1.4483417884150067 
thomas 	 1246.837239578745 1.4483417884150067 
jones 	 1357.9615856879498 1.4483417884150067 
payload 	 990.7918336667532 1.6800443543976207 
linda 	 1289.5382684880897 1.6800443543976207 
godwin 	 1289.5382684880897 1.6800443543976207 
jay 	 1885.408796717082 1.4483417884150067 
apt 	 2105.574640560224 1.4483417884150067 
astronauts 	 2105.574640560224 1.4483417884150067 
served 	 1384.0907976908334 1.4483417884150067 
aboard 	 1508.081770917551 1.4483417884150067 
endeavour 	 793.3311809478727 1.6800443543976207 
