term 	 tf-idf weight 	 BM25 ranking 
 central 	 58.61929749901269 1.942492316706286 
illinois 	 82.32878782837948 1.942492316706286 
aikikai 	 200.46186540302088 1.942492316706286 
doors 	 293.09139067295706 1.8881993321130068 
east 	 132.43240739546619 1.8881993321130068 
philo 	 400.92373080604176 1.8881993321130068 
washington 	 141.55326307521307 1.8881993321130068 
dojos 	 400.92373080604176 1.8881993321130068 
training 	 144.4047572412724 1.8881993321130068 
halls 	 327.3167074652784 1.8881993321130068 
midwest 	 177.2414348542627 1.942492316706286 
aikido 	 80.18474616120835 1.9765931037699278 
federation 	 74.7022965739398 1.9612905291390677 
continued 	 153.76880738040802 1.8881993321130068 
champaign 	 146.54569533647853 1.942492316706286 
urbana 	 154.02100430550456 1.942492316706286 
organization 	 97.96389614375606 1.8881993321130068 
affiliated 	 354.4828697085254 1.8881993321130068 
hombu 	 400.92373080604176 1.8881993321130068 
dojo 	 133.64124360201393 1.9612905291390677 
tokyo 	 293.09139067295706 1.8881993321130068 
united 	 92.37732834483964 1.8881993321130068 
usaf 	 400.92373080604176 1.8881993321130068 
maf 	 400.92373080604176 1.8881993321130068 
individuals 	 152.11440233685315 1.8881993321130068 
welcome 	 193.8238864310346 1.8881993321130068 
watch 	 270.54775081933576 1.8881993321130068 
class 	 136.19040166108613 1.8881993321130068 
picture 	 100.10483423896218 1.942492316706286 
jpg 	 88.83301431215155 1.942492316706286 
shomen 	 400.92373080604176 1.8881993321130068 
shrine 	 400.92373080604176 1.8881993321130068 
questions 	 108.17072469075133 1.8881993321130068 
feel 	 215.1602864159764 1.8881993321130068 
free 	 84.78430642927043 1.8881993321130068 
call 	 126.602645137161 1.8881993321130068 
note 	 182.63126275860247 1.8881993321130068 
probably 	 203.64631920189026 1.8881993321130068 
leave 	 207.26882302699872 1.8881993321130068 
message 	 215.1602864159764 1.8881993321130068 
cia 	 240.26474752855094 1.8881993321130068 
home 	 29.92233491579981 1.8881993321130068 
page 	 32.88861410222501 1.8881993321130068 
overview 	 116.2745495887347 1.8881993321130068 
html 	 8.775867703938118 1.9612905291390677 
maps 	 234.43498527024576 1.8881993321130068 
maps_and_directions 	 400.92373080604176 1.8881993321130068 
schedule 	 246.65052957544071 1.8881993321130068 
cia_schedule 	 400.92373080604176 1.8881993321130068 
