term 	 tf-idf weight 	 BM25 ranking 
 button 	 124.43023194213501 1.8316555151900642 
jpg 	 55.15602082664932 1.9639002237437693 
mutual 	 62.15464334837055 1.9639002237437693 
funds 	 87.29761310009874 1.9405490943701051 
rrsp 	 61.138007379248165 1.979782379507379 
fund 	 143.78314370258747 1.9121296347531465 
pool 	 393.818017148501 1.8316555151900642 
money 	 196.51753872036932 1.8316555151900642 
invested 	 454.9478302983214 1.8316555151900642 
professional 	 209.41901418204716 1.8316555151900642 
manager 	 316.107719358158 1.8316555151900642 
investment 	 252.5731747965688 1.8316555151900642 
vehicles 	 305.6990396682318 1.8316555151900642 
include 	 177.55609681379806 1.8316555151900642 
stocks 	 406.0674528567649 1.8316555151900642 
bonds 	 393.818017148501 1.8316555151900642 
rates 	 272.1306068728745 1.8316555151900642 
return 	 78.93746442569554 1.9121296347531465 
vary 	 382.86052352008704 1.8316555151900642 
degree 	 275.7801041332466 1.8316555151900642 
risk 	 246.79391027646847 1.8316555151900642 
investments 	 186.47413241021866 1.9121296347531465 
earn 	 151.6492767661071 1.9405490943701051 
profit 	 143.78314370258747 1.9121296347531465 
share 	 255.58787863138704 1.8316555151900642 
eligible 	 393.818017148501 1.8316555151900642 
rrif 	 137.56051660330837 1.9550779889979806 
held 	 196.51753872036932 1.8316555151900642 
self 	 94.09654856116077 1.9121296347531465 
directed 	 155.38660837092638 1.9121296347531465 
onsider 	 435.9863883917501 1.8316555151900642 
option 	 279.56233912701754 1.8316555151900642 
hope 	 275.7801041332466 1.8316555151900642 
term 	 101.84639867750613 1.9121296347531465 
deposits 	 217.99319419587505 1.9121296347531465 
diversify 	 550.2420664132335 1.8316555151900642 
portfolio 	 454.9478302983214 1.8316555151900642 
maximize 	 478.1547596349992 1.8316555151900642 
foreign 	 157.87492885139108 1.8316555151900642 
content 	 215.4789806269406 1.8316555151900642 
rrifs 	 622.3293731914679 1.8316555151900642 
as10r3 	 622.3293731914679 1.8316555151900642 
htm 	 8.528781454668922 1.977283881062785 
resps 	 622.3293731914679 1.8316555151900642 
resp 	 550.2420664132335 1.8316555151900642 
as10r4 	 622.3293731914679 1.8316555151900642 
mut_fnds 	 622.3293731914679 1.8316555151900642 
as7mf1 	 622.3293731914679 1.8316555151900642 
accounts 	 316.107719358158 1.8316555151900642 
services 	 146.55943142711598 1.8316555151900642 
as1 	 435.9863883917501 1.8316555151900642 
accumulator 	 622.3293731914679 1.8316555151900642 
accum 	 622.3293731914679 1.8316555151900642 
bill 	 233.6117328899975 1.8316555151900642 
tbill 	 622.3293731914679 1.8316555151900642 
termdep 	 622.3293731914679 1.8316555151900642 
selfdir 	 622.3293731914679 1.8316555151900642 
berger 	 478.1547596349992 1.8316555151900642 
tels2 	 454.9478302983214 1.8316555151900642 
cory_r 	 622.3293731914679 1.8316555151900642 
tollfree 	 454.9478302983214 1.8316555151900642 
copyright 	 81.11267773548107 1.8316555151900642 
surrey 	 393.818017148501 1.8316555151900642 
metro 	 363.8990816135158 1.8316555151900642 
savings 	 300.860958042203 1.8316555151900642 
september 	 246.79391027646847 1.8316555151900642 
