term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 5277.603523317781 0.6501244770642732 
eeeeeee 	 2725.860101946475 0.9812738725155449 
zzzzzzz 	 5451.72020389295 0.6501244770642732 
tttttttnn 	 10903.4404077859 0.38814843871841803 
eeee 	 5451.72020389295 0.6501244770642732 
hazai 	 5575.406655716948 0.6501244770642732 
sajto 	 11688.427551618117 0.38814843871841803 
sajtokivonatok 	 16065.819552237346 0.38814843871841803 
napi 	 1997.0351181789008 1.181955336280277 
hetilapokbol 	 11982.210709073404 0.38814843871841803 
szent 	 2887.0371194444415 0.9812738725155449 
hirek 	 5844.2137758090585 0.6501244770642732 
sorok 	 11982.210709073404 0.38814843871841803 
kozt 	 6315.689574797382 0.6501244770642732 
olvaso 	 11982.210709073404 0.38814843871841803 
szabad 	 3594.8240093559066 0.8388478376493412 
velemenyeivel 	 14805.247079228948 0.38814843871841803 
tarkitva 	 14805.247079228948 0.38814843871841803 
magyarnemzet 	 15717.586191087008 0.38814843871841803 
nsz 	 1164.429177344197 1.451889538364218 
nepszabadsag 	 11411.936042010353 0.38814843871841803 
magyar 	 479.7821384834346 1.682428736178203 
hirlap 	 5774.074238888883 0.6501244770642732 
nszv 	 3202.180237696541 0.9812738725155449 
nepszava 	 12136.290086518638 0.38814843871841803 
esti 	 12808.720950786164 0.38814843871841803 
hvg 	 6906.152824043371 0.6501244770642732 
heti 	 13384.829262298033 0.38814843871841803 
vilaggazdasag 	 6496.509540946717 0.6501244770642732 
gazdasag 	 1972.1705959488652 1.181955336280277 
copyright 	 3664.889160375246 0.38814843871841803 
egyszer 	 5991.105354536702 0.6501244770642732 
mar 	 469.84588605305447 1.682428736178203 
megjelent 	 3944.3411918977304 0.8388478376493412 
hetilap 	 13384.829262298033 0.38814843871841803 
anyagot 	 13593.708094618381 0.38814843871841803 
szabadon 	 12993.019081893433 0.38814843871841803 
utankozolhetonek 	 14041.570629518905 0.38814843871841803 
tart 	 3994.0702363578016 0.8388478376493412 
kulfold 	 12460.487589635824 0.38814843871841803 
antal 	 18347.220778595558 0.38814843871841803 
antall 	 6692.414631149017 0.6501244770642732 
jozsef 	 2787.703327858474 0.9812738725155449 
nehai 	 22956.13743849766 0.38814843871841803 
miniszterelnokot 	 18974.68479253819 0.38814843871841803 
politikai 	 1778.0735735842609 1.181955336280277 
eletmuveert 	 28118.51658294911 0.38814843871841803 
tegnap 	 2526.2758299189527 1.0925776080812266 
posztumusz 	 28118.51658294911 0.38814843871841803 
adalbert 	 28118.51658294911 0.38814843871841803 
dijjal 	 22956.13743849766 0.38814843871841803 
tuntettek 	 21604.31938004674 0.38814843871841803 
dijat 	 8896.879147023106 0.6501244770642732 
aleksander 	 20555.767832421272 0.38814843871841803 
kwasniewski 	 18974.68479253819 0.38814843871841803 
lengyel 	 4110.485058898824 0.9812738725155449 
elnok 	 2958.255893923298 0.9812738725155449 
adta 	 7696.694343984911 0.6501244770642732 
ozvegyenek 	 28118.51658294911 0.38814843871841803 
fiainak 	 22956.13743849766 0.38814843871841803 
lengyelorszagi 	 21604.31938004674 0.38814843871841803 
gnieznoban 	 28118.51658294911 0.38814843871841803 
