term 	 tf-idf weight 	 BM25 ranking 
 graphics 	 43.47107635207985 1.942280981531972 
bump 	 489.1706356508676 1.6158520927843876 
gif 	 4.997273934475466 1.9640819201126842 
keep 	 206.3665859824099 1.6158520927843876 
web 	 489.1706356508676 1.6158520927843876 
beautiful 	 163.0568785502892 1.8531461666830273 
click 	 347.7686108166388 1.6158520927843876 
expert 	 347.7686108166388 1.6158520927843876 
help 	 206.3665859824099 1.6158520927843876 
banners 	 163.0568785502892 1.8531461666830273 
images 	 51.591646495602475 1.8878 
usweb 	 244.5853178254338 1.7875201212006437 
banner 	 244.5853178254338 1.7875201212006437 
cgi 	 122.2926589127169 1.8878 
bin 	 244.5853178254338 1.7875201212006437 
redirect 	 244.5853178254338 1.7875201212006437 
location 	 132.5268643812866 1.7875201212006437 
http 	 44.17562146042887 1.9237745847345358 
www 	 41.273317196481976 1.9092214648354537 
com 	 29.480940854629985 1.9343062488106912 
ink 	 489.1706356508676 1.6158520927843876 
clink 	 489.1706356508676 1.6158520927843876 
def 	 489.1706356508676 1.6158520927843876 
us_web 	 489.1706356508676 1.6158520927843876 
cnet 	 122.2926589127169 1.8878 
news 	 53.61510050477038 1.8531461666830273 
category 	 489.1706356508676 1.6158520927843876 
hidden 	 489.1706356508676 1.6158520927843876 
feat 	 489.1706356508676 1.6158520927843876 
thenet 	 163.0568785502892 1.8531461666830273 
item_thenet 	 489.1706356508676 1.6158520927843876 
categories 	 489.1706356508676 1.6158520927843876 
index 	 20.468410937139428 1.7875201212006437 
html 	 10.234205468569714 1.8878 
home 	 123.65170392834436 1.6158520927843876 
join 	 489.1706356508676 1.6158520927843876 
registration 	 244.5853178254338 1.7875201212006437 
webabbrev 	 489.1706356508676 1.6158520927843876 
menu 	 347.7686108166388 1.6158520927843876 
bar 	 347.7686108166388 1.6158520927843876 
menubar2 	 489.1706356508676 1.6158520927843876 
advertisement 	 244.5853178254338 1.7875201212006437 
portal 	 244.5853178254338 1.7875201212006437 
novell 	 244.5853178254338 1.7875201212006437 
groupwise 	 244.5853178254338 1.7875201212006437 
novellgw 	 489.1706356508676 1.6158520927843876 
ptl 	 489.1706356508676 1.6158520927843876 
fportal 	 489.1706356508676 1.6158520927843876 
ad1 	 489.1706356508676 1.6158520927843876 
designing 	 489.1706356508676 1.6158520927843876 
protection 	 347.7686108166388 1.6158520927843876 
rachel 	 489.1706356508676 1.6158520927843876 
powell 	 489.1706356508676 1.6158520927843876 
norton 	 489.1706356508676 1.6158520927843876 
mailto 	 160.84530151431113 1.6158520927843876 
racheln 	 489.1706356508676 1.6158520927843876 
december 	 265.0537287625732 1.6158520927843876 
digital 	 173.8843054083194 1.7875201212006437 
watermarking 	 489.1706356508676 1.6158520927843876 
popular 	 265.0537287625732 1.6158520927843876 
protect 	 206.3665859824099 1.6158520927843876 
copyrighted 	 163.0568785502892 1.8531461666830273 
specials 	 244.5853178254338 1.7875201212006437 
netnews 	 244.5853178254338 1.7875201212006437 
watermark2 	 489.1706356508676 1.6158520927843876 
step 	 88.35124292085774 1.8531461666830273 
watermark 	 69.88151937869537 1.9343062488106912 
created 	 265.0537287625732 1.6158520927843876 
image 	 57.96143513610646 1.9237745847345358 
creator 	 489.1706356508676 1.6158520927843876 
stamps 	 489.1706356508676 1.6158520927843876 
viewed 	 489.1706356508676 1.6158520927843876 
special 	 115.92287027221292 1.8531461666830273 
software 	 122.2926589127169 1.8878 
takes 	 489.1706356508676 1.6158520927843876 
advantage 	 347.7686108166388 1.6158520927843876 
variation 	 173.8843054083194 1.7875201212006437 
pixels 	 489.1706356508676 1.6158520927843876 
remain 	 206.3665859824099 1.6158520927843876 
invisible 	 489.1706356508676 1.6158520927843876 
finished 	 489.1706356508676 1.6158520927843876 
product 	 347.7686108166388 1.6158520927843876 
detected 	 244.5853178254338 1.7875201212006437 
printed 	 347.7686108166388 1.6158520927843876 
rescanned 	 489.1706356508676 1.6158520927843876 
editors 	 347.7686108166388 1.6158520927843876 
photoshop 	 489.1706356508676 1.6158520927843876 
equipped 	 347.7686108166388 1.6158520927843876 
application 	 206.3665859824099 1.6158520927843876 
detect 	 347.7686108166388 1.6158520927843876 
subtle 	 347.7686108166388 1.6158520927843876 
pixel 	 489.1706356508676 1.6158520927843876 
interprets 	 489.1706356508676 1.6158520927843876 
alerting 	 489.1706356508676 1.6158520927843876 
viewer 	 489.1706356508676 1.6158520927843876 
artist 	 244.5853178254338 1.7875201212006437 
identified 	 347.7686108166388 1.6158520927843876 
addition 	 265.0537287625732 1.6158520927843876 
marking 	 489.1706356508676 1.6158520927843876 
contains 	 265.0537287625732 1.6158520927843876 
information 	 206.3665859824099 1.6158520927843876 
contact 	 265.0537287625732 1.6158520927843876 
source 	 489.1706356508676 1.6158520927843876 
picturemarc 	 489.1706356508676 1.6158520927843876 
dtn_desktop 	 489.1706356508676 1.6158520927843876 
javascript 	 489.1706356508676 1.6158520927843876 
openwindow 	 489.1706356508676 1.6158520927843876 
digitaltoc_rn 	 489.1706356508676 1.6158520927843876 
backtotop 	 489.1706356508676 1.6158520927843876 
copyright 	 173.8843054083194 1.7875201212006437 
rights 	 206.3665859824099 1.6158520927843876 
reserved 	 347.7686108166388 1.6158520927843876 
