term 	 tf-idf weight 	 BM25 ranking 
implicated 	 2435.4620662396865 1.4709344492304468 
murder 	 588.703893861426 1.6951451786207865 
citizen 	 1307.0184562880954 1.4709344492304468 
michael 	 1125.3796055183288 1.4709344492304468 
devine 	 2153.351163751789 1.4709344492304468 
lay 	 1459.5186902107498 1.4709344492304468 
legal 	 694.858955800152 1.4709344492304468 
basis 	 804.4774598500708 1.4709344492304468 
litigation 	 1541.1916632638452 1.4709344492304468 
recover 	 1541.1916632638452 1.4709344492304468 
husband's 	 1217.7310331198432 1.6951451786207865 
body 	 434.22599617184636 1.6951451786207865 
opposing 	 1424.1050597759704 1.4709344492304468 
january 	 944.3924762649204 1.4709344492304468 
lawyer's 	 1988.326864751766 1.4709344492304468 
car 	 1051.1747319031892 1.4709344492304468 
bombed 	 2435.4620662396865 1.4709344492304468 
washington 	 429.94162740008744 1.6951451786207865 
guotemolon 	 2435.4620662396865 1.4709344492304468 
children 	 769.0638294152915 1.4709344492304468 
sacrificed 	 2153.351163751789 1.4709344492304468 
corpotrte 	 2435.4620662396865 1.4709344492304468 
protic 	 2435.4620662396865 1.4709344492304468 
fire 	 1141.9941572880728 1.4709344492304468 
automatic 	 1589.1293587759933 1.4709344492304468 
weapon 	 1498.30993339111 1.4709344492304468 
residence 	 1196.3414340862532 1.4709344492304468 
chance 	 1216.1990309032121 1.4709344492304468 
meeting 	 934.0881284153144 1.4709344492304468 
street 	 434.22599617184636 1.6951451786207865 
shelter 	 1541.1916632638452 1.4709344492304468 
kids 	 1643.476635574174 1.4709344492304468 
attacks 	 453.7885776954254 1.7858844248440802 
picked 	 1780.4208358790077 1.4709344492304468 
discreet 	 2435.4620662396865 1.4709344492304468 
spot 	 1459.5186902107498 1.4709344492304468 
apparently 	 1498.30993339111 1.4709344492304468 
news 	 742.7966513123 1.4709344492304468 
blown 	 2435.4620662396865 1.4709344492304468 
headlines 	 1871.2402612638912 1.4709344492304468 
snowstorm 	 2435.4620662396865 1.4709344492304468 
definite 	 2153.351163751789 1.4709344492304468 
message 	 1307.0184562880954 1.4709344492304468 
cia's 	 1988.326864751766 1.4709344492304468 
stupid 	 1871.2402612638912 1.4709344492304468 
silence 	 1780.4208358790077 1.4709344492304468 
losing 	 1307.0184562880954 1.4709344492304468 
pregnancy 	 1424.1050597759704 1.4709344492304468 
lose 	 1541.1916632638452 1.4709344492304468 
illuminates 	 2435.4620662396865 1.4709344492304468 
complete 	 904.6536191524066 1.4709344492304468 
disclosure 	 853.107981131934 1.6951451786207865 
government's 	 1125.3796055183288 1.4709344492304468 
activities 	 365.13629311746564 1.6951451786207865 
situation 	 789.9402002310246 1.4709344492304468 
latin 	 618.5377008594726 1.6951451786207865 
america 	 398.57196405524036 1.6951451786207865 
instance 	 1333.285634391087 1.4709344492304468 
sister 	 853.107981131934 1.6951451786207865 
diana 	 1988.326864751766 1.4709344492304468 
