term 	 tf-idf weight 	 BM25 ranking 
 law 	 171.60997676142847 1.6930316288468248 
leading 	 948.660932393176 1.2953883706864422 
attorneys 	 1753.216090858574 1.2953883706864422 
web 	 2526.1482076422863 0.9579108191701574 
header 	 3403.7894211131766 0.9579108191701574 
gif 	 106.3527408940226 1.572365044690144 
webhead 	 3678.4791327809685 0.9579108191701574 
illinois 	 3025.2757557234368 0.9579108191701574 
immigration 	 331.33119043360796 1.8455584143149846 
united 	 39.471187501734676 1.9506496067752968 
citizenship 	 861.4610951273806 1.6426087360326336 
aliens 	 300.40206398237837 1.8726726518608297 
immigrants 	 566.4679140062826 1.760587202057931 
nonimmigrants 	 3683.112780762966 1.2953883706864422 
residents 	 919.6197831952421 1.572365044690144 
visa 	 158.38257327410452 1.937991287818254 
system 	 442.6107697560749 1.4677545214896344 
nonimmigrant 	 613.852130127161 1.833758060041837 
visas 	 91.11869445720437 1.967568595635122 
immigrant 	 534.0481137464503 1.7843199257156739 
employment 	 448.42675897210233 1.7309857631470087 
based 	 216.36514803914238 1.7309857631470087 
family 	 525.4123922542918 1.572365044690144 
special 	 407.01856392669157 1.6426087360326336 
classes 	 1780.5761507209224 1.2953883706864422 
entry 	 601.253271784397 1.7309857631470087 
exclusion 	 1656.9367226796135 1.4677545214896344 
getting 	 1151.3470987892035 1.4677545214896344 
green 	 1103.0167931582007 1.4677545214896344 
card 	 1976.5844222243804 1.2953883706864422 
naturalized 	 1085.4935637094397 1.6930316288468248 
citizen 	 232.53934379110356 1.8797120267913192 
deportation 	 546.7121667432262 1.8200052778543552 
resources 	 1152.8699173642926 1.2953883706864422 
centuries 	 4208.772902490779 0.9579108191701574 
people 	 206.0609457232122 1.7309857631470087 
world 	 682.428828332657 1.2953883706864422 
coming 	 748.3242356344086 1.6426087360326336 
education 	 445.6615892621198 1.4677545214896344 
escape 	 4970.810168038841 0.9579108191701574 
oppression 	 4806.433023718054 0.9579108191701574 
start 	 1327.8323092682247 0.9579108191701574 
life 	 762.6070557553853 1.2953883706864422 
business 	 159.8123707104415 1.7309857631470087 
visit 	 1046.3291042682388 1.4677545214896344 
friends 	 2207.2082403555687 1.2953883706864422 
sightsee 	 7366.225561525932 0.9579108191701574 
seen 	 2326.0874054305255 0.9579108191701574 
tremendous 	 4414.416480711137 0.9579108191701574 
diversity 	 2207.2082403555687 1.2953883706864422 
countries 	 199.11354064142293 1.8200052778543552 
reasons 	 676.972030543138 1.572365044690144 
response 	 2680.224036618668 0.9579108191701574 
incredible 	 5160.569654906196 0.9579108191701574 
demand 	 2954.91374828646 0.9579108191701574 
permission 	 486.8642685101485 1.6930316288468248 
enter 	 245.23194218539788 1.8647581614734534 
country 	 80.12467983484176 1.9165990369690336 
federal 	 2190.248947055652 0.9579108191701574 
government 	 726.2378277296463 1.2953883706864422 
established 	 2954.91374828646 0.9579108191701574 
complex 	 1397.4091737064643 1.2953883706864422 
set 	 913.4799286746877 1.2953883706864422 
laws 	 811.0661368349198 1.4677545214896344 
determines 	 4531.743312050261 0.9579108191701574 
chapter 	 3179.351584699818 0.9579108191701574 
discusses 	 1660.8741770152499 0.9579108191701574 
legal 	 2101.6495690171673 0.9579108191701574 
travel 	 1870.8105890860215 1.2953883706864422 
citizens 	 344.4338516866075 1.7843199257156739 
live 	 784.746828201179 1.572365044690144 
enjoy 	 2058.772994384774 1.2953883706864422 
fullest 	 6013.833834175489 0.9579108191701574 
protection 	 826.2654053144232 1.4677545214896344 
usually 	 774.976166294867 1.572365044690144 
person 	 338.2600307918985 1.7309857631470087 
birth 	 1187.0507671472815 1.4677545214896344 
process 	 963.3163866641597 1.2953883706864422 
known 	 1123.3202429550877 1.2953883706864422 
naturalization 	 2170.9871274188795 1.4677545214896344 
born 	 806.5231527938221 1.6426087360326336 
foreign 	 311.44877791035645 1.6930316288468248 
parent 	 1839.2395663904842 1.2953883706864422 
automatic 	 2403.216511859027 1.2953883706864422 
regardless 	 3808.177927555753 0.9579108191701574 
parents' 	 6013.833834175489 0.9579108191701574 
parents 	 3561.152301441845 0.9579108191701574 
living 	 2707.888122172552 0.9579108191701574 
illegally 	 2580.284827453098 1.2953883706864422 
time 	 293.43912007296086 1.572365044690144 
child's 	 4117.545988769548 0.9579108191701574 
exception 	 2104.3864512453897 1.2953883706864422 
children 	 332.2982007757893 1.7309857631470087 
diplomats 	 3006.9169170877444 1.2953883706864422 
occasionally 	 2330.721053412523 1.2953883706864422 
treaty 	 3454.041296367611 0.9579108191701574 
act 	 2246.6404859101754 0.9579108191701574 
congress 	 706.303738377919 1.572365044690144 
goes 	 3264.2818095002553 0.9579108191701574 
individually 	 5385.007491319554 0.9579108191701574 
alien 	 404.2640859276676 1.8557945519330614 
comes 	 3561.152301441845 0.9579108191701574 
stay 	 935.4052945430108 1.572365044690144 
permanently 	 573.3966283229106 1.7843199257156739 
called 	 1077.0202271833525 1.2953883706864422 
intends 	 1201.6082559295135 1.572365044690144 
return 	 622.8975558207129 1.4677545214896344 
origin 	 904.6046101720993 1.572365044690144 
substantial 	 1904.0889637778764 1.2953883706864422 
period 	 2367.8202155432896 0.9579108191701574 
example 	 724.0038588180479 1.4677545214896344 
student 	 2888.3569989027505 0.9579108191701574 
complete 	 2736.188219107156 0.9579108191701574 
considered 	 1275.2626209219418 1.2953883706864422 
distinction 	 3878.5399349927293 0.9579108191701574 
crucial 	 4531.743312050261 0.9579108191701574 
easier 	 2207.2082403555687 1.2953883706864422 
tempted 	 6512.961382256639 0.9579108191701574 
claim 	 2989.5920978324634 0.9579108191701574 
intend 	 1602.144341239351 1.4677545214896344 
home 	 78.53815411801614 1.7309857631470087 
service 	 622.8975558207129 1.4677545214896344 
ins 	 651.2961382256639 1.803771807588305 
aware 	 3808.177927555753 0.9579108191701574 
temptation 	 7366.225561525932 0.9579108191701574 
deny 	 5385.007491319554 0.9579108191701574 
application 	 1059.433316444036 1.2953883706864422 
suspected 	 4414.416480711137 0.9579108191701574 
remain 	 774.976166294867 1.572365044690144 
granted 	 906.3486624100523 1.6426087360326336 
difficult 	 1531.012376680347 1.2953883706864422 
permanent 	 402.63554935157276 1.760587202057931 
resident 	 1032.113930981239 1.6426087360326336 
