term 	 tf-idf weight 	 BM25 ranking 
expands 	 1452.8548465832669 1.5634037606885198 
existing 	 816.145492091911 1.5634037606885198 
information 	 262.483720835854 1.5634037606885198 
instruction 	 1080.3998677393065 1.5634037606885198 
physically 	 1035.1800011488538 1.5634037606885198 
handicapped 	 1163.3069753110337 1.5634037606885198 
students 	 786.0274752737444 1.5634037606885198 
receive 	 717.435091618591 1.5634037606885198 
investigation 	 642.3308496254211 1.5634037606885198 
taechers 	 1890.9238646971523 1.5634037606885198 
classes 	 457.0772247179622 1.7549555039886238 
regard 	 741.4466382236143 1.5634037606885198 
differences 	 630.4049059828415 1.5634037606885198 
standard 	 674.2772225567737 1.5634037606885198 
elementary 	 497.81422398769394 1.7549555039886238 
ideal 	 464.42738718827525 1.7549555039886238 
observes 	 490.785756262665 1.5634037606885198 
educationprogram 	 1890.9238646971523 1.5634037606885198 
level 	 468.9840088727885 1.5634037606885198 
combination 	 1014.7858284693813 1.5634037606885198 
exercise 	 960.481147280557 1.5634037606885198 
games 	 1105.6933633641443 1.5634037606885198 
stunts 	 1890.9238646971523 1.5634037606885198 
rhythmic 	 1671.8893556402095 1.5634037606885198 
top 	 295.1693664062984 1.5634037606885198 
experienced 	 383.3875233660021 1.5634037606885198 
microsoft 	 204.2289669563714 1.7549555039886238 
internet 	 327.115739337651 1.5634037606885198 
explorer 	 423.29634056847846 1.5634037606885198 
msie30 	 423.29634056847846 1.5634037606885198 
http 	 138.64779224161043 1.5634037606885198 
www 	 137.41582187026273 1.5634037606885198 
com 	 50.84209005500614 1.829681049077414 
htm 	 207.31499535964457 1.5634037606885198 
start 	 340.85703471060845 1.5634037606885198 
send 	 333.91170018747545 1.5634037606885198 
comments 	 119.22743376618438 1.829681049077414 
mailto 	 229.55532713637322 1.5634037606885198 
updated 	 338.5249208045597 1.5634037606885198 
copyright 	 246.4577515808848 1.5634037606885198 
asm 	 423.29634056847846 1.5634037606885198 
communications 	 338.5249208045597 1.5634037606885198 
rights 	 291.1438342606307 1.5634037606885198 
reserved 	 350.3615105655883 1.5634037606885198 
