term 	 tf-idf weight 	 BM25 ranking 
shifted 	 18784.070749313367 0.45475642748501155 
stronger 	 4204.986556483283 1.08137937674991 
strengthens 	 9392.035374656683 0.7410208563151437 
signals 	 14559.906499384484 0.45475642748501155 
spilled 	 23008.23499924225 0.45475642748501155 
flank 	 20343.084089989257 0.45475642748501155 
progressed 	 11504.117499621125 0.7410208563151437 
southeastern 	 14154.795316680142 0.45475642748501155 
remains 	 5744.822203713576 0.7410208563151437 
correspondence 	 17677.93318073627 0.45475642748501155 
southwest 	 17677.93318073627 0.45475642748501155 
intact 	 17677.93318073627 0.45475642748501155 
deeper 	 16118.919840060375 0.45475642748501155 
intrusion 	 16118.919840060375 0.45475642748501155 
tropics 	 3390.51401499821 1.276873025892708 
robust 	 18784.070749313367 0.45475642748501155 
appear 	 10952.259738994666 0.45475642748501155 
component 	 11894.755590131494 0.45475642748501155 
travel 	 11686.867124347284 0.45475642748501155 
subject 	 1699.624292129102 0.7410208563151437 
immediate 	 11302.046226195685 0.45475642748501155 
deformation 	 23008.23499924225 0.45475642748501155 
warm 	 8059.459920030187 0.7410208563151437 
moist 	 11504.117499621125 0.7410208563151437 
marine 	 14154.795316680142 0.45475642748501155 
boundary 	 16819.94622593313 0.45475642748501155 
belong 	 18784.070749313367 0.45475642748501155 
category 	 11302.046226195685 0.45475642748501155 
comprise 	 16819.94622593313 0.45475642748501155 
extended 	 5651.023113097843 0.7410208563151437 
substantiated 	 18784.070749313367 0.45475642748501155 
zhu 	 5752.058749810562 1.08137937674991 
annual 	 3767.3487420652286 0.9377991096513584 
summaries 	 15526.210476124568 0.45475642748501155 
f7a 	 23008.23499924225 0.45475642748501155 
f7b 	 23008.23499924225 0.45475642748501155 
monthly 	 2019.088281891016 1.276873025892708 
tends 	 17677.93318073627 0.45475642748501155 
contradicts 	 17677.93318073627 0.45475642748501155 
accepted 	 12347.631362230288 0.45475642748501155 
thermodynamical 	 23008.23499924225 0.45475642748501155 
reasons 	 8458.025856826533 0.45475642748501155 
mode 	 6430.529783435789 0.7410208563151437 
regime 	 12861.059566871578 0.45475642748501155 
transition 	 11489.644407427151 0.45475642748501155 
usual 	 15012.782271483278 0.45475642748501155 
unfavorable 	 16118.919840060375 0.45475642748501155 
abundance 	 16819.94622593313 0.45475642748501155 
waves 	 7506.391135741639 0.7410208563151437 
rapidly 	 15012.782271483278 0.45475642748501155 
causing 	 12595.78197600425 0.45475642748501155 
hand 	 3112.640567605151 0.9377991096513584 
typically 	 6057.264845673048 0.7410208563151437 
troughing 	 23008.23499924225 0.45475642748501155 
northwesterly 	 23008.23499924225 0.45475642748501155 
highly 	 9682.480452977297 0.45475642748501155 
unstable 	 20343.084089989257 0.45475642748501155 
ready 	 10952.259738994666 0.45475642748501155 
release 	 9682.480452977297 0.45475642748501155 
energy 	 2051.104367666768 1.08137937674991 
triggered 	 15012.782271483278 0.45475642748501155 
secondly 	 20343.084089989257 0.45475642748501155 
relatively 	 3964.9185300438317 0.9377991096513584 
takes 	 9564.16342540363 0.45475642748501155 
induce 	 15526.210476124568 0.45475642748501155 
change 	 6159.342588921173 0.45475642748501155 
warmer 	 23008.23499924225 0.45475642748501155 
modest 	 16819.94622593313 0.45475642748501155 
view 	 6306.303152214832 0.45475642748501155 
forecasters 	 10171.542044994629 0.7410208563151437 
yield 	 15012.782271483278 0.45475642748501155 
damaging 	 15012.782271483278 0.45475642748501155 
agriculture 	 12114.529691346095 0.45475642748501155 
economy 	 7742.462591634339 0.45475642748501155 
collaborators 	 20343.084089989257 0.45475642748501155 
personal 	 1374.6445877595418 1.08137937674991 
communication 	 2362.3446955232766 1.08137937674991 
suggest 	 14559.906499384484 0.45475642748501155 
troughs 	 23008.23499924225 0.45475642748501155 
moving 	 11686.867124347284 0.45475642748501155 
bay 	 11123.176766079523 0.45475642748501155 
bengal 	 20343.084089989257 0.45475642748501155 
conditions 	 2421.8267191660902 0.9377991096513584 
means 	 3449.5062580753206 0.7410208563151437 
guarantee 	 12861.059566871578 0.45475642748501155 
monotonically 	 11504.117499621125 0.7410208563151437 
increase 	 4022.092976503444 0.7410208563151437 
intensifies 	 23008.23499924225 0.45475642748501155 
ding's 	 23008.23499924225 0.45475642748501155 
support 	 5339.999175474749 0.45475642748501155 
possibility 	 12114.529691346095 0.45475642748501155 
statement 	 8729.550402764184 0.45475642748501155 
mistakenly 	 18784.070749313367 0.45475642748501155 
community 	 2963.1204590184902 0.7410208563151437 
february 	 5744.822203713576 0.7410208563151437 
months 	 1674.3235452150736 1.1907655565171638 
abundant 	 17677.93318073627 0.45475642748501155 
driving 	 6726.884465403694 0.7410208563151437 
force 	 4229.012928413266 0.7410208563151437 
push 	 9392.035374656683 0.7410208563151437 
affect 	 2159.223829235674 1.08137937674991 
prevailing 	 15012.782271483278 0.45475642748501155 
ndjfm 	 23008.23499924225 0.45475642748501155 
studying 	 14154.795316680142 0.45475642748501155 
emphasized 	 20343.084089989257 0.45475642748501155 
investigate 	 11894.755590131494 0.45475642748501155 
standing 	 12595.78197600425 0.45475642748501155 
phases 	 5606.648741977711 0.9377991096513584 
ignored 	 14559.906499384484 0.45475642748501155 
basis 	 7600.038902023396 0.45475642748501155 
exhibit 	 9392.035374656683 0.7410208563151437 
departures 	 20343.084089989257 0.45475642748501155 
test 	 9337.921702815453 0.45475642748501155 
robustness 	 20343.084089989257 0.45475642748501155 
sensitivity 	 17677.93318073627 0.45475642748501155 
threshold 	 18784.070749313367 0.45475642748501155 
aside 	 14154.795316680142 0.45475642748501155 
expected 	 9682.480452977297 0.45475642748501155 
decline 	 11489.644407427151 0.45475642748501155 
stricter 	 15526.210476124568 0.45475642748501155 
insensitive 	 23008.23499924225 0.45475642748501155 
agrees 	 3447.0819188331284 1.08137937674991 
response 	 8371.617726075368 0.45475642748501155 
northeast 	 20343.084089989257 0.45475642748501155 
sst 	 4601.64699984845 1.1907655565171638 
bao 	 11504.117499621125 0.7410208563151437 
earlier 	 4668.960851407726 0.7410208563151437 
regionally 	 20343.084089989257 0.45475642748501155 
dependent 	 11489.644407427151 0.45475642748501155 
subset 	 10171.542044994629 0.7410208563151437 
illustrated 	 14154.795316680142 0.45475642748501155 
f10a 	 11504.117499621125 0.7410208563151437 
f10b 	 23008.23499924225 0.45475642748501155 
exactly 	 6297.890988002125 0.7410208563151437 
reversed 	 16819.94622593313 0.45475642748501155 
followed 	 10952.259738994666 0.45475642748501155 
chronologically 	 23008.23499924225 0.45475642748501155 
taiwan 	 7077.397658340071 0.7410208563151437 
lags 	 23008.23499924225 0.45475642748501155 
represent 	 5476.129869497333 0.7410208563151437 
southeast 	 4596.109225110838 0.9377991096513584 
intensification 	 23008.23499924225 0.45475642748501155 
simultaneously 	 14559.906499384484 0.45475642748501155 
pushes 	 17677.93318073627 0.45475642748501155 
increases 	 11686.867124347284 0.45475642748501155 
notherlies 	 23008.23499924225 0.45475642748501155 
subsequently 	 12595.78197600425 0.45475642748501155 
penetrated 	 11504.117499621125 0.7410208563151437 
northern 	 3829.881469142384 0.9377991096513584 
hainan 	 5752.058749810562 1.08137937674991 
island 	 3767.3487420652286 0.9377991096513584 
surrounding 	 4782.081712701815 0.7410208563151437 
oceans 	 8409.973112966565 0.7410208563151437 
depends 	 4382.0015732675465 0.9377991096513584 
path 	 7077.397658340071 0.7410208563151437 
conspicuous 	 18784.070749313367 0.45475642748501155 
sec 	 14559.906499384484 0.45475642748501155 
eleven 	 16118.919840060375 0.45475642748501155 
exception 	 13146.004719802639 0.45475642748501155 
extratropics 	 7669.411666414083 0.9377991096513584 
indicator 	 18784.070749313367 0.45475642748501155 
f11 	 23008.23499924225 0.45475642748501155 
coefficient 	 5892.6443935787565 0.9377991096513584 
accompany 	 16819.94622593313 0.45475642748501155 
record 	 8729.550402764184 0.45475642748501155 
reduced 	 5843.433562173642 0.7410208563151437 
bears 	 18784.070749313367 0.45475642748501155 
controls 	 11894.755590131494 0.45475642748501155 
larger 	 6173.815681115144 0.7410208563151437 
f12 	 23008.23499924225 0.45475642748501155 
increasingly 	 10952.259738994666 0.45475642748501155 
examining 	 11123.176766079523 0.45475642748501155 
boxes 	 15526.210476124568 0.45475642748501155 
exist 	 11302.046226195685 0.45475642748501155 
outside 	 9124.255625125204 0.45475642748501155 
occurring 	 13788.327675332514 0.45475642748501155 
primarily 	 9930.631066751259 0.45475642748501155 
demonstrated 	 14559.906499384484 0.45475642748501155 
bear 	 15012.782271483278 0.45475642748501155 
resemblance 	 20343.084089989257 0.45475642748501155 
biennial 	 20343.084089989257 0.45475642748501155 
geostrophic 	 23008.23499924225 0.45475642748501155 
decidedly 	 23008.23499924225 0.45475642748501155 
zonal 	 11504.117499621125 0.7410208563151437 
split 	 12861.059566871578 0.45475642748501155 
totally 	 14154.795316680142 0.45475642748501155 
lost 	 10060.982532944256 0.45475642748501155 
horizontally 	 14559.906499384484 0.45475642748501155 
vertically 	 14559.906499384484 0.45475642748501155 
discussions 	 6057.264845673048 0.7410208563151437 
hinges 	 10171.542044994629 0.7410208563151437 
share 	 4724.689391046553 0.7410208563151437 
conventionally 	 7669.411666414083 0.9377991096513584 
greatly 	 7077.397658340071 0.7410208563151437 
controlled 	 12114.529691346095 0.45475642748501155 
propagated 	 23008.23499924225 0.45475642748501155 
f14 	 23008.23499924225 0.45475642748501155 
measure 	 5394.309010777199 0.7410208563151437 
broad 	 9930.631066751259 0.45475642748501155 
aspect 	 12861.059566871578 0.45475642748501155 
anomaly 	 5752.058749810562 1.08137937674991 
comparable 	 14559.906499384484 0.45475642748501155 
direction 	 10788.618021554397 0.45475642748501155 
abnormally 	 23008.23499924225 0.45475642748501155 
reanalyses 	 10171.542044994629 0.7410208563151437 
revealed 	 13146.004719802639 0.45475642748501155 
noteworthy 	 18784.070749313367 0.45475642748501155 
stretches 	 23008.23499924225 0.45475642748501155 
extent 	 4510.858107547147 0.7410208563151437 
includes 	 5263.096611987604 0.45475642748501155 
varies 	 15526.210476124568 0.45475642748501155 
strengthening 	 16118.919840060375 0.45475642748501155 
empirical 	 16118.919840060375 0.45475642748501155 
rule 	 8044.185953006888 0.45475642748501155 
widely 	 11686.867124347284 0.45475642748501155 
believed 	 11489.644407427151 0.45475642748501155 
examination 	 5881.26964514751 0.45475642748501155 
revealing 	 18784.070749313367 0.45475642748501155 
considering 	 11489.644407427151 0.45475642748501155 
identification 	 11686.867124347284 0.45475642748501155 
observation 	 8824.493498174163 0.45475642748501155 
tge 	 20343.084089989257 0.45475642748501155 
narutune 	 23008.23499924225 0.45475642748501155 
agree 	 11302.046226195685 0.45475642748501155 
closely 	 11302.046226195685 0.45475642748501155 
natural 	 8636.895316942697 0.45475642748501155 
wonder 	 18784.070749313367 0.45475642748501155 
originated 	 20343.084089989257 0.45475642748501155 
physical 	 3632.7400787491347 0.7410208563151437 
mechanisms 	 6573.002359901319 0.7410208563151437 
interaction 	 1982.4592650219158 1.276873025892708 
convective 	 4696.017687328342 1.08137937674991 
cumulus 	 20343.084089989257 0.45475642748501155 
ramage 	 11504.117499621125 0.7410208563151437 
suppression 	 17677.93318073627 0.45475642748501155 
responsible 	 4273.21027720025 0.7410208563151437 
partly 	 15526.210476124568 0.45475642748501155 
outgoing 	 18784.070749313367 0.45475642748501155 
longwave 	 23008.23499924225 0.45475642748501155 
radiation 	 15012.782271483278 0.45475642748501155 
olr 	 5752.058749810562 1.08137937674991 
administration 	 6564.4537716255145 0.45475642748501155 
computed 	 20343.084089989257 0.45475642748501155 
anomalies 	 17677.93318073627 0.45475642748501155 
evidence 	 8729.550402764184 0.45475642748501155 
slingo 	 20343.084089989257 0.45475642748501155 
indonesian 	 17677.93318073627 0.45475642748501155 
capable 	 12114.529691346095 0.45475642748501155 
influencing 	 14559.906499384484 0.45475642748501155 
relate 	 14154.795316680142 0.45475642748501155 
theoretical 	 12861.059566871578 0.45475642748501155 
branstator 	 11504.117499621125 0.7410208563151437 
lim 	 20343.084089989257 0.45475642748501155 
midlatitude 	 5752.058749810562 1.08137937674991 
critically 	 16819.94622593313 0.45475642748501155 
relative 	 9337.921702815453 0.45475642748501155 
position 	 5580.389948067978 0.45475642748501155 
activities 	 3449.5062580753206 0.7410208563151437 
modify 	 18784.070749313367 0.45475642748501155 
apparently 	 14154.795316680142 0.45475642748501155 
delineate 	 20343.084089989257 0.45475642748501155 
mechanism 	 13453.768930807388 0.45475642748501155 
extend 	 13453.768930807388 0.45475642748501155 
substantiate 	 20343.084089989257 0.45475642748501155 
current 	 5418.47128689674 0.45475642748501155 
understood 	 13453.768930807388 0.45475642748501155 
especially 	 6672.770793562462 0.45475642748501155 
simulations 	 4484.589643602462 0.9377991096513584 
coupled 	 13788.327675332514 0.45475642748501155 
gcm 	 9392.035374656683 0.7410208563151437 
specified 	 14154.795316680142 0.45475642748501155 
project 	 4229.012928413266 0.7410208563151437 
amip 	 17677.93318073627 0.45475642748501155 
provide 	 6511.418448026683 0.45475642748501155 
opportunity 	 8921.840469873756 0.45475642748501155 
address 	 8204.417470667073 0.45475642748501155 
wish 	 11894.755590131494 0.45475642748501155 
thank 	 16118.919840060375 0.45475642748501155 
yihui 	 23008.23499924225 0.45475642748501155 
helpful 	 13788.327675332514 0.45475642748501155 
sharing 	 12595.78197600425 0.45475642748501155 
published 	 9124.255625125204 0.45475642748501155 
peking 	 23008.23499924225 0.45475642748501155 
university 	 3076.534893626168 0.9377991096513584 
providing 	 7890.365441417214 0.45475642748501155 
tian 	 23008.23499924225 0.45475642748501155 
bureau 	 12114.529691346095 0.45475642748501155 
valuable 	 14154.795316680142 0.45475642748501155 
offered 	 9804.554197996858 0.45475642748501155 
michael 	 10631.657452624015 0.45475642748501155 
fiorino 	 23008.23499924225 0.45475642748501155 
facilitated 	 20343.084089989257 0.45475642748501155 
access 	 8287.108829741675 0.45475642748501155 
performed 	 12861.059566871578 0.45475642748501155 
auspices 	 17677.93318073627 0.45475642748501155 
department 	 7395.831623691265 0.45475642748501155 
environmental 	 8636.895316942697 0.45475642748501155 
science 	 4204.842601229604 0.45475642748501155 
division 	 9804.554197996858 0.45475642748501155 
contract 	 10788.618021554397 0.45475642748501155 
eng 	 16819.94622593313 0.45475642748501155 
xie 	 23008.23499924225 0.45475642748501155 
wei 	 20343.084089989257 0.45475642748501155 
preprint 	 23008.23499924225 0.45475642748501155 
prc 	 23008.23499924225 0.45475642748501155 
workshop 	 14154.795316680142 0.45475642748501155 
park 	 13146.004719802639 0.45475642748501155 
pennsylvania 	 11489.644407427151 0.45475642748501155 
internal 	 8546.4205544005 0.45475642748501155 
processing 	 10952.259738994666 0.45475642748501155 
comparison 	 3128.344780310383 0.7410208563151437 
accompanying 	 5892.6443935787565 0.9377991096513584 
mon 	 2683.4386784733383 1.3464181157442343 
wea 	 3286.8907141774644 1.3464181157442343 
rev 	 2906.1548699984655 1.3464181157442343 
relation 	 7742.462591634339 0.45475642748501155 
seasonal 	 14559.906499384484 0.45475642748501155 
global 	 4614.8023404392525 0.7410208563151437 
subtropics 	 23008.23499924225 0.45475642748501155 
decade 	 10335.742249455601 0.45475642748501155 
nps 	 23008.23499924225 0.45475642748501155 
naval 	 15526.210476124568 0.45475642748501155 
postgraduate 	 23008.23499924225 0.45475642748501155 
school 	 7139.40328874387 0.45475642748501155 
monterey 	 17677.93318073627 0.45475642748501155 
wintertime 	 23008.23499924225 0.45475642748501155 
meteorology 	 4204.986556483283 1.08137937674991 
eds 	 10171.542044994629 0.7410208563151437 
oxford 	 9392.035374656683 0.7410208563151437 
univer 	 11504.117499621125 0.7410208563151437 
press 	 1564.1723901551916 1.08137937674991 
barotropic 	 23008.23499924225 0.45475642748501155 
atmosphere 	 11894.755590131494 0.45475642748501155 
atmos 	 18784.070749313367 0.45475642748501155 
sci 	 4970.00239207119 0.45475642748501155 
monex 	 11504.117499621125 0.7410208563151437 
contrast 	 9804.554197996858 0.45475642748501155 
inactive 	 23008.23499924225 0.45475642748501155 
statistical 	 11894.755590131494 0.45475642748501155 
divergence 	 20343.084089989257 0.45475642748501155 
meteo 	 20343.084089989257 0.45475642748501155 
soc 	 1704.5858176288566 0.9377991096513584 
erickson 	 18784.070749313367 0.45475642748501155 
kluwer 	 23008.23499924225 0.45475642748501155 
academic 	 5240.426905274825 0.7410208563151437 
publishers 	 16819.94622593313 0.45475642748501155 
heat 	 13146.004719802639 0.45475642748501155 
budget 	 10480.85381054965 0.45475642748501155 
kanamitsu 	 23008.23499924225 0.45475642748501155 
kistler 	 23008.23499924225 0.45475642748501155 
collins 	 15012.782271483278 0.45475642748501155 
deaven 	 23008.23499924225 0.45475642748501155 
gandin 	 23008.23499924225 0.45475642748501155 
iredell 	 20343.084089989257 0.45475642748501155 
saha 	 23008.23499924225 0.45475642748501155 
white 	 8123.467112301407 0.45475642748501155 
woollen 	 23008.23499924225 0.45475642748501155 
chelliah 	 23008.23499924225 0.45475642748501155 
ebisuzaki 	 23008.23499924225 0.45475642748501155 
higgins 	 18784.070749313367 0.45475642748501155 
janowiak 	 23008.23499924225 0.45475642748501155 
ropelewski 	 23008.23499924225 0.45475642748501155 
leetmaa 	 23008.23499924225 0.45475642748501155 
reynolds 	 23008.23499924225 0.45475642748501155 
jenne 	 23008.23499924225 0.45475642748501155 
joseph 	 12114.529691346095 0.45475642748501155 
bull 	 8838.966590368134 0.7410208563151437 
ame 	 10171.542044994629 0.7410208563151437 
meteor 	 10171.542044994629 0.7410208563151437 
teleconnections 	 23008.23499924225 0.45475642748501155 
monsoons 	 23008.23499924225 0.45475642748501155 
associations 	 14559.906499384484 0.45475642748501155 
survey 	 9337.921702815453 0.45475642748501155 
energetics 	 20343.084089989257 0.45475642748501155 
jia 	 23008.23499924225 0.45475642748501155 
collection 	 11123.176766079523 0.45475642748501155 
cma 	 20343.084089989257 0.45475642748501155 
tellus 	 23008.23499924225 0.45475642748501155 
simulated 	 15012.782271483278 0.45475642748501155 
cyclone 	 20343.084089989257 0.45475642748501155 
greenhouse 	 15012.782271483278 0.45475642748501155 
warming 	 16819.94622593313 0.45475642748501155 
revision 	 13788.327675332514 0.45475642748501155 
lin 	 5041.208130736218 0.45475642748501155 
shou 	 23008.23499924225 0.45475642748501155 
theory 	 7462.702874418402 0.45475642748501155 
method 	 8287.108829741675 0.45475642748501155 
reports 	 9804.554197996858 0.45475642748501155 
page 	 1887.4137495978382 0.45475642748501155 
http 	 562.3425750727765 0.9377991096513584 
www 	 557.3458176067091 0.9377991096513584 
llnl 	 1940.776309515571 1.4037601275705256 
gov 	 1274.5486385533939 1.3464181157442343 
phillips 	 17677.93318073627 0.45475642748501155 
pcmdireports 	 20343.084089989257 0.45475642748501155 
html 	 755.4450295890015 0.7410208563151437 
please 	 6841.191877683983 0.45475642748501155 
contact 	 6207.70800650655 0.45475642748501155 
mailto 	 1396.5826468977136 0.7410208563151437 
site 	 7670.591340202612 0.45475642748501155 
anna 	 14559.906499384484 0.45475642748501155 
mccravy 	 18784.070749313367 0.45475642748501155 
mccravy1 	 9392.035374656683 0.7410208563151437 
updated 	 4119.0769635871275 0.45475642748501155 
lll 	 18784.070749313367 0.45475642748501155 
gif 	 1328.7612956539947 0.45475642748501155 
disclaimers 	 15526.210476124568 0.45475642748501155 
disclaimer 	 15526.210476124568 0.45475642748501155 
ucrl 	 17677.93318073627 0.45475642748501155 
