term 	 tf-idf weight 	 BM25 ranking 
stratifications 	 11504.117499621125 0.7410208563151437 
examine 	 14154.795316680142 0.45475642748501155 
described 	 4724.689391046553 0.7410208563151437 
conventional 	 6173.815681115144 0.7410208563151437 
indicates 	 1253.4843341211376 1.5279943784743184 
reaches 	 3363.9892451866262 1.1907655565171638 
minimum 	 2039.1817315237176 1.1907655565171638 
nino 	 920.32939996969 1.7606899311487656 
events 	 272.22622985641556 1.7688302946023702 
defined 	 1048.085381054965 1.4927647116974994 
near 	 291.8100532129829 1.808013860044366 
south 	 162.88552089723768 1.8503034574908215 
china 	 190.56983066970312 1.870301866264266 
sea 	 271.45896120230896 1.8182810589225122 
shares 	 13146.004719802639 0.45475642748501155 
stratification 	 5892.6443935787565 0.9377991096513584 
agreement 	 885.1673937078917 1.4518519050513192 
southern 	 1574.8964636821847 1.276873025892708 
oscillation 	 5752.058749810562 1.08137937674991 
index 	 334.40749056402547 1.1907655565171638 
soi 	 589.9547435703141 1.8397112110481568 
low 	 475.00243137646225 1.64965811333183 
coincide 	 8838.966590368134 0.7410208563151437 
frequencies 	 4204.986556483283 1.08137937674991 
dominated 	 6573.002359901319 0.7410208563151437 
correlated 	 6781.02802999642 0.9377991096513584 
seasons 	 5752.058749810562 1.08137937674991 
nina 	 1964.2147978595854 1.4518519050513192 
likewise 	 8838.966590368134 0.7410208563151437 
weak 	 3002.556454296656 1.1907655565171638 
linked 	 6297.890988002125 0.7410208563151437 
pattern 	 943.6530211120094 1.6306156808630214 
restricted 	 5175.403492041523 0.9377991096513584 
equator 	 7669.411666414083 0.9377991096513584 
region 	 304.29287924738486 1.79023624557557 
confined 	 5606.648741977711 0.9377991096513584 
layer 	 5175.403492041523 0.9377991096513584 
trough 	 2091.6577272038408 1.5279943784743184 
jetstream 	 2876.029374905281 1.4037601275705256 
representing 	 10335.742249455601 0.45475642748501155 
flow 	 1088.8304089753956 1.585563205096617 
weaker 	 1878.4070749313366 1.4927647116974994 
normal 	 1390.3970957599404 1.4037601275705256 
particular 	 1816.3700393745673 1.08137937674991 
return 	 486.4015235846144 1.5586481573174213 
active 	 3964.9185300438317 0.9377991096513584 
energetic 	 23008.23499924225 0.45475642748501155 
systems 	 6064.399493511194 0.45475642748501155 
dramatic 	 12595.78197600425 0.45475642748501155 
shift 	 4287.019855623859 0.9377991096513584 
northeasterlies 	 23008.23499924225 0.45475642748501155 
outbreak 	 1940.776309515571 1.4037601275705256 
dominate 	 9392.035374656683 0.7410208563151437 
weather 	 1412.7557782744607 1.4037601275705256 
exert 	 10171.542044994629 0.7410208563151437 
impact 	 3600.9624957479327 0.7410208563151437 
extratropical 	 4601.64699984845 1.1907655565171638 
tropical 	 1201.4247304237952 1.6093842062467973 
planetary 	 2803.3243709888557 1.276873025892708 
circulations 	 6781.02802999642 0.9377991096513584 
chang 	 885.2603276806911 1.6965831779193357 
lau 	 1252.2713832875577 1.6306156808630214 
influence 	 1103.0384786697316 1.276873025892708 
ssts 	 23008.23499924225 0.45475642748501155 
western 	 1696.056968210029 1.08137937674991 
pacific 	 1947.8111873912142 1.276873025892708 
characteristics 	 3076.534893626168 0.9377991096513584 
linkage 	 8409.973112966565 0.7410208563151437 
atmospheric 	 3538.6988291700354 1.08137937674991 
oceanic 	 11504.117499621125 0.7410208563151437 
phenomena 	 6173.815681115144 0.7410208563151437 
examined 	 1613.746742162883 1.276873025892708 
studies 	 823.8153927174254 1.1907655565171638 
example 	 3392.113936420058 0.7410208563151437 
forced 	 11123.176766079523 0.45475642748501155 
short 	 1266.6731503372328 1.276873025892708 
term 	 2510.252582788533 0.9377991096513584 
changes 	 3178.2826529206523 0.7410208563151437 
hadley 	 20343.084089989257 0.45475642748501155 
walker 	 15012.782271483278 0.45475642748501155 
deep 	 7077.397658340071 0.7410208563151437 
convection 	 3286.8907141774644 1.3464181157442343 
equatorial 	 3756.8141498626733 1.1907655565171638 
month 	 9337.921702815453 0.45475642748501155 
related 	 1018.5963332544534 1.276873025892708 
suggested 	 2224.6353532159046 1.1907655565171638 
