term 	 tf-idf weight 	 BM25 ranking 
 faculty 	 98.11644923144333 1.9494642802898252 
colleagues 	 150.43542462192875 1.925142169025794 
philosophy 	 37.64804017024671 1.9494642802898252 
stephen 	 384.95585640627195 1.8556858598084127 
rosenbaum 	 526.5863927004727 1.8556858598084127 
kenton 	 526.5863927004727 1.8556858598084127 
machina 	 526.5863927004727 1.8556858598084127 
julie 	 404.5924889219224 1.8556858598084127 
gowen 	 526.5863927004727 1.8556858598084127 
please 	 156.57344219406775 1.8556858598084127 
remember 	 333.23062989488545 1.8556858598084127 
list 	 201.96500073844635 1.8556858598084127 
starting 	 258.6684181808115 1.8556858598084127 
professors 	 404.5924889219224 1.8556858598084127 
listed 	 315.57160869421614 1.8556858598084127 
experience 	 157.8967754021473 1.8556858598084127 
presidential 	 191.60009360068463 1.8556858598084127 
scholars 	 323.95890451699677 1.8556858598084127 
colleague 	 368.9115594084039 1.8556858598084127 
plans 	 152.71881140012917 1.8556858598084127 
limited 	 185.92070374057838 1.8556858598084127 
names 	 277.2636184235257 1.8556858598084127 
return 	 133.5864782588694 1.8556858598084127 
department 	 84.63370388619393 1.925142169025794 
listing 	 355.3462995836052 1.8556858598084127 
psfcdept 	 214.95425564883956 1.925142169025794 
htm 	 4.123806417642116 1.9889515691896278 
main 	 157.8967754021473 1.8556858598084127 
psindex 	 404.5924889219224 1.8556858598084127 
program 	 51.916270381973085 1.925142169025794 
pswhatis 	 143.30283709922637 1.9494642802898252 
awards 	 138.63180921176286 1.925142169025794 
requirements 	 193.57770491566578 1.8556858598084127 
agree 	 258.6684181808115 1.8556858598084127 
ids 	 355.3462995836052 1.8556858598084127 
ps10270 	 429.9085112976791 1.8556858598084127 
core 	 272.2336780056103 1.8556858598084127 
curriculum 	 288.2779750034783 1.8556858598084127 
pscore 	 429.9085112976791 1.8556858598084127 
service 	 133.5864782588694 1.8556858598084127 
learning 	 233.3523958050548 1.8556858598084127 
pspubser 	 429.9085112976791 1.8556858598084127 
study 	 106.76614574749425 1.8556858598084127 
abroad 	 250.66290169870757 1.8556858598084127 
psabroad 	 429.9085112976791 1.8556858598084127 
club 	 282.598585143372 1.8556858598084127 
pscwarn 	 429.9085112976791 1.8556858598084127 
honors 	 80.98972612924919 1.961857263889738 
staff 	 178.87694546530716 1.8556858598084127 
psstaff 	 429.9085112976791 1.8556858598084127 
http 	 19.30538879313563 1.925142169025794 
www 	 19.13384861484671 1.925142169025794 
ilstu 	 171.7977685163236 1.925142169025794 
edu 	 48.11783470847921 1.925142169025794 
isu's 	 429.9085112976791 1.8556858598084127 
cas 	 429.9085112976791 1.8556858598084127 
webpage 	 526.5863927004727 1.8556858598084127 
