term 	 tf-idf weight 	 BM25 ranking 
 airsar 	 186.55186810993152 1.9243236991495973 
compressed 	 336.343021365232 1.8936161564459433 
stokes 	 170.4958878506207 1.936536190429148 
matrix 	 136.39671028049656 1.9489046819901044 
data 	 39.34435149631286 1.9594434595361474 
description 	 271.84212196039914 1.6713591442855482 
manual 	 1521.4491808354157 1.4354803920785435 
converted 	 1796.9216285761854 1.4354803920785435 
compression 	 2173.969176448491 1.4354803920785435 
formats 	 1086.9845882242455 1.6713591442855482 
multilook 	 2662.8516449057997 1.4354803920785435 
quad 	 532.57032898116 1.8541655058268998 
pol 	 310.91978018321925 1.8769761615852119 
low 	 293.1961258257834 1.7682101610189227 
res 	 681.9835514024828 1.7682101610189227 
bytes 	 294.300143694578 1.9062910671117 
pixel 	 294.300143694578 1.9062910671117 
scattering 	 648.8839246242085 1.7682101610189227 
processor 	 409.1901308414897 1.8541655058268998 
single 	 319.70207448938413 1.7682101610189227 
look 	 356.4248962379612 1.6713591442855482 
uncompressed 	 2662.8516449057997 1.4354803920785435 
synoptic 	 2173.969176448491 1.4354803920785435 
amplitude 	 2662.8516449057997 1.4354803920785435 
vax 	 2662.8516449057997 1.4354803920785435 
real 	 887.7537441846977 1.4354803920785435 
following 	 655.5191645058014 1.4354803920785435 
descriptions 	 1796.9216285761854 1.4354803920785435 
sign 	 119.62042395338732 1.9243236991495973 
return 	 675.52253210451 1.4354803920785435 
argument 	 496.1570444090033 1.7682101610189227 
nint 	 266.28516449058 1.9243236991495973 
indicate 	 778.5340928750699 1.6713591442855482 
nearest 	 1946.6517738726252 1.4354803920785435 
integer 	 1331.4258224528999 1.6713591442855482 
value 	 140.14471911949417 1.8769761615852119 
calculated 	 842.5433539955911 1.6713591442855482 
int 	 681.9835514024828 1.7682101610189227 
truncation 	 2662.8516449057997 1.4354803920785435 
floating 	 898.4608142880927 1.6713591442855482 
zero 	 1638.2012785234494 1.4354803920785435 
subtraction 	 2662.8516449057997 1.4354803920785435 
additionally 	 2045.9506542074485 1.4354803920785435 
required 	 922.0014074902747 1.4354803920785435 
note 	 1212.9986854862402 1.4354803920785435 
fortran 	 2662.8516449057997 1.4354803920785435 
gen_fac 	 887.6172149686 1.7682101610189227 
scale 	 436.01305337295884 1.7682101610189227 
factor 	 436.01305337295884 1.7682101610189227 
recorded 	 1521.4491808354157 1.4354803920785435 
header 	 615.2259514197252 1.6713591442855482 
oldheader 	 2662.8516449057997 1.4354803920785435 
field 	 930.9916122465709 1.4354803920785435 
consists 	 760.7245904177079 1.6713591442855482 
file 	 416.20589680032134 1.7682101610189227 
scene 	 1287.3377531613492 1.4354803920785435 
frequency 	 1595.788248510525 1.4354803920785435 
line 	 724.1162170289314 1.4354803920785435 
azimuth 	 1331.4258224528999 1.6713591442855482 
samples 	 1865.5186810993152 1.4354803920785435 
lines 	 360.2405858476703 1.7682101610189227 
depending 	 1287.3377531613492 1.4354803920785435 
corresponding 	 1946.6517738726252 1.4354803920785435 
progressively 	 2045.9506542074485 1.4354803920785435 
range 	 505.15603761119144 1.6713591442855482 
radar 	 643.6688765806746 1.6713591442855482 
spacing 	 1177.200574778312 1.6713591442855482 
meters 	 531.929416170175 1.7682101610189227 
pre 	 1010.3120752223829 1.4354803920785435 
prf 	 1331.4258224528999 1.6713591442855482 
assumes 	 1796.9216285761854 1.4354803920785435 
mhz 	 2173.969176448491 1.4354803920785435 
symmetrized 	 665.7129112264499 1.8209704674488305 
shv 	 1331.4258224528999 1.6713591442855482 
svh 	 2662.8516449057997 1.4354803920785435 
usually 	 1120.5991681599214 1.4354803920785435 
calibrated 	 2173.969176448491 1.4354803920785435 
multilooked 	 1331.4258224528999 1.6713591442855482 
byte 	 84.085755341308 1.9722989344266473 
log2 	 2662.8516449057997 1.4354803920785435 
m11 	 221.90430374215 1.936536190429148 
mantissa 	 1331.4258224528999 1.6713591442855482 
qsca 	 204.8347419158308 1.9412746783719526 
m12 	 1331.4258224528999 1.6713591442855482 
m13 	 887.6172149686 1.7682101610189227 
sqrt 	 665.7129112264499 1.8209704674488305 
m14 	 887.6172149686 1.7682101610189227 
m23 	 887.6172149686 1.7682101610189227 
m24 	 887.6172149686 1.7682101610189227 
m33 	 887.6172149686 1.7682101610189227 
m34 	 1331.4258224528999 1.6713591442855482 
m44 	 887.6172149686 1.7682101610189227 
total 	 340.4334292750327 1.7682101610189227 
power 	 213.69515559854938 1.7682101610189227 
remaining 	 1685.0867079911823 1.4354803920785435 
terms 	 399.2276423520202 1.6713591442855482 
m22 	 2662.8516449057997 1.4354803920785435 
difference 	 1196.2042395338733 1.4354803920785435 
cm' 	 2662.8516449057997 1.4354803920785435 
sir 	 249.7235380801928 1.8541655058268998 
mlc 	 1331.4258224528999 1.6713591442855482 
chiefly 	 2354.401149556624 1.4354803920785435 
elements 	 489.44362890608676 1.6713591442855482 
stored 	 373.10373621986304 1.8541655058268998 
directly 	 1068.1857172928308 1.4354803920785435 
cross 	 303.24967137156005 1.8209704674488305 
products 	 249.89716619242523 1.8209704674488305 
combined 	 1737.5001588582727 1.4354803920785435 
appropriately 	 1946.6517738726252 1.4354803920785435 
comprise 	 1946.6517738726252 1.4354803920785435 
addition 	 989.1175934221644 1.4354803920785435 
employs 	 1865.5186810993152 1.4354803920785435 
finally 	 1196.2042395338733 1.4354803920785435 
divided 	 1488.4711332270097 1.4354803920785435 
times 	 724.1162170289314 1.4354803920785435 
formed 	 1267.5567188173281 1.4354803920785435 
format 	 1557.0681857501397 1.4354803920785435 
follows 	 1376.6362126420065 1.4354803920785435 
shhshh 	 332.85645561322497 1.9062910671117 
svvsvv 	 332.85645561322497 1.9062910671117 
shvshv 	 266.28516449058 1.9243236991495973 
shhshv 	 295.8724049895333 1.9162672537493468 
shvsvv 	 295.8724049895333 1.9162672537493468 
shhsvv 	 332.85645561322497 1.9062910671117 
complex 	 336.7706917407943 1.7682101610189227 
slc 	 2662.8516449057997 1.4354803920785435 
unsymmetrized 	 2662.8516449057997 1.4354803920785435 
svhsvh 	 665.7129112264499 1.8209704674488305 
svhsvv 	 665.7129112264499 1.8209704674488305 
shhsvh 	 665.7129112264499 1.8209704674488305 
shvsvh 	 887.6172149686 1.7682101610189227 
gif 	 76.89190852614144 1.6713591442855482 
icons 	 1352.5762991767338 1.4354803920785435 
yellow 	 1287.3377531613492 1.4354803920785435 
index 	 193.51278712742695 1.4354803920785435 
html 	 174.86243857846847 1.4354803920785435 
imaging 	 1352.5762991767338 1.4354803920785435 
home 	 198.73789608255098 1.4354803920785435 
page 	 218.43930261925567 1.4354803920785435 
updated 	 476.72022075325657 1.4354803920785435 
bruce 	 1248.617690400964 1.4354803920785435 
chapman 	 1429.0496635090972 1.4354803920785435 
jpl 	 1248.617690400964 1.4354803920785435 
nasa 	 1149.3188100661405 1.4354803920785435 
gov 	 1032.566712378107 1.4354803920785435 
