term 	 tf-idf weight 	 BM25 ranking 
 imagemap 	 15.60943510500235 1.991785688949845 
error 	 23.41415265750352 1.987703784659155 
client 	 22.05506055641682 1.987703784659155 
send 	 14.7935563374198 1.97555784233533 
coordinates 	 74.07104740178144 1.97555784233533 
support 	 19.443430027736408 1.97555784233533 
map 	 18.562122393583905 1.987703784659155 
file 	 39.28235430474943 1.97555784233533 
accessed 	 61.242977155543265 1.97555784233533 
