term 	 tf-idf weight 	 BM25 ranking 
 sir 	 54.309413649899604 1.966364992363992 
sar 	 77.11612906266264 1.959240767695644 
stands 	 3298.225893618696 1.1301141988158745 
spaceborne 	 761.9137021282987 1.677242852149174 
imaging 	 330.92526870307165 1.8244569853948103 
radar 	 83.99035078678166 1.949968193593619 
band 	 117.15194345004276 1.9352342186706464 
synthetic 	 992.6458700431814 1.5916248050608306 
aperture 	 1015.8849361710649 1.5916248050608306 
system 	 104.39046316207452 1.8424250323033993 
scheduled 	 2694.4946993509834 1.1301141988158745 
launch 	 3206.456884480729 1.1301141988158745 
aboard 	 1523.8274042565974 1.444182706488342 
nasa 	 562.3913952627013 1.677242852149174 
space 	 140.1717708326298 1.888199332113007 
shuttle 	 259.39061593804706 1.8692013359516746 
consists 	 992.6458700431814 1.5916248050608306 
antenna 	 222.47478399683988 1.917981500551416 
structure 	 381.0254337435825 1.677242852149174 
associated 	 2140.5484835378666 1.1301141988158745 
hardware 	 1825.6930013904534 1.444182706488342 
designed 	 1645.8343867830931 1.1301141988158745 
fit 	 2694.4946993509834 1.1301141988158745 
inside 	 3047.654808513195 1.1301141988158745 
shuttle's 	 5212.008500478543 1.1301141988158745 
cargo 	 1172.3735868837882 1.5916248050608306 
bay 	 839.9035078678165 1.5916248050608306 
doors 	 952.5470196871104 1.677242852149174 
closed 	 1372.1398389027893 1.444182706488342 
seen 	 822.9171933915466 1.444182706488342 
graphic 	 2977.9376101295443 1.1301141988158745 
page 	 142.51732777630838 1.5916248050608306 
reached 	 2341.334590188772 1.1301141988158745 
stable 	 3400.814917675406 1.1301141988158745 
earth 	 602.091914254585 1.677242852149174 
orbit 	 3206.456884480729 1.1301141988158745 
deployed 	 3400.814917675406 1.1301141988158745 
switched 	 4255.117197048619 1.1301141988158745 
art 	 985.8901406045562 1.1301141988158745 
technology 	 815.7186823917943 1.444182706488342 
image 	 175.12413204438252 1.8424250323033993 
earth's 	 952.5470196871104 1.677242852149174 
surface 	 349.6354654259617 1.8244569853948103 
images 	 237.21048383380875 1.8018637994474553 
generated 	 1700.407458837703 1.444182706488342 
scientists 	 1488.9688050647721 1.444182706488342 
help 	 749.6071637877786 1.444182706488342 
understand 	 1070.2742417689333 1.444182706488342 
processes 	 2249.565581050805 1.1301141988158745 
affect 	 1956.4982629537292 1.1301141988158745 
environment 	 1589.6213348722688 1.1301141988158745 
deforestation 	 2127.5585985243097 1.444182706488342 
amazon 	 5212.008500478543 1.1301141988158745 
desertification 	 2606.0042502392716 1.444182706488342 
south 	 1549.7212289890115 1.1301141988158745 
sahara 	 4255.117197048619 1.1301141988158745 
soil 	 1172.3735868837882 1.5916248050608306 
moisture 	 2304.1386531054154 1.444182706488342 
retention 	 4004.5461119431184 1.1301141988158745 
mid 	 2647.402149624573 1.1301141988158745 
west 	 1549.7212289890115 1.1301141988158745 
deploying 	 4608.277306210831 1.1301141988158745 
desc 	 921.6554612421661 1.7331825580637183 
gif 	 30.100158348885028 1.8570563117199008 
sircdesc1 	 5212.008500478543 1.1301141988158745 
sircdesc2 	 5212.008500478543 1.1301141988158745 
project 	 957.9896646678687 1.444182706488342 
joint 	 2193.352529139981 1.1301141988158745 
national 	 496.3607740865549 1.444182706488342 
aeronautics 	 1825.6930013904534 1.444182706488342 
administration 	 743.5161554077794 1.444182706488342 
german 	 1045.3817525416355 1.444182706488342 
agency 	 460.0481049944425 1.677242852149174 
dara 	 1536.0924354036101 1.5916248050608306 
italian 	 1301.3628451065083 1.444182706488342 
asi 	 1536.0924354036101 1.5916248050608306 
step 	 1045.3817525416355 1.444182706488342 
series 	 1977.487230379091 1.1301141988158745 
radars 	 2304.1386531054154 1.444182706488342 
seasat 	 1042.4017000957085 1.7331825580637183 
continuing 	 2341.334590188772 1.1301141988158745 
germany's 	 1825.6930013904534 1.444182706488342 
microwave 	 1217.1286675936356 1.5916248050608306 
remote 	 1426.6483876592588 1.444182706488342 
sensing 	 1758.5603803256827 1.444182706488342 
experiment 	 780.8604294677906 1.677242852149174 
precursor 	 4608.277306210831 1.1301141988158745 
observing 	 1372.1398389027893 1.444182706488342 
eos 	 1737.336166826181 1.5916248050608306 
planned 	 2647.402149624573 1.1301141988158745 
decade 	 780.4448633962573 1.5916248050608306 
science 	 317.5048032657984 1.5916248050608306 
objectives 	 2066.8989985654234 1.1301141988158745 
sar's 	 5212.008500478543 1.1301141988158745 
unique 	 2166.5504144412384 1.1301141988158745 
contributions 	 2090.763505083271 1.1301141988158745 
observation 	 1998.9944959453044 1.1301141988158745 
monitoring 	 3123.4417178711624 1.1301141988158745 
capability 	 673.6236748377459 1.677242852149174 
measure 	 814.641204748494 1.5916248050608306 
signature 	 3810.1880787484415 1.1301141988158745 
wavelengths 	 1418.3723990162064 1.5916248050608306 
measurements 	 1172.3735868837882 1.5916248050608306 
polarizations 	 1536.0924354036101 1.5916248050608306 
data 	 81.28710023876172 1.917981500551416 
physics 	 2913.389566383653 1.1301141988158745 
phenomena 	 2797.0837234076935 1.1301141988158745 
wavelength 	 572.078015991874 1.8018637994474553 
polarization 	 607.8738852926599 1.8018637994474553 
produced 	 2309.6583721159404 1.1301141988158745 
investigators 	 3651.386002780907 1.1301141988158745 
team 	 2480.993038404253 1.1301141988158745 
following 	 1283.0498703023663 1.1301141988158745 
vegetation 	 1758.5603803256827 1.444182706488342 
type 	 1070.2742417689333 1.444182706488342 
extent 	 2043.6709553568608 1.1301141988158745 
content 	 1804.6364627506275 1.1301141988158745 
ocean 	 2797.0837234076935 1.1301141988158745 
dynamics 	 2279.0938325603242 1.1301141988158745 
wave 	 1561.7208589355812 1.444182706488342 
wind 	 3400.814917675406 1.1301141988158745 
speeds 	 4004.5461119431184 1.1301141988158745 
directions 	 3047.654808513195 1.1301141988158745 
volcanism 	 5212.008500478543 1.1301141988158745 
tectonic 	 4608.277306210831 1.1301141988158745 
activity 	 1753.8842437746448 1.1301141988158745 
erosion 	 4255.117197048619 1.1301141988158745 
instrument 	 548.8559355611156 1.7331825580637183 
description 	 1064.1550032696973 1.1301141988158745 
individual 	 1463.1678042977112 1.1301141988158745 
antennas 	 1303.0021251196358 1.677242852149174 
operating 	 2279.0938325603242 1.1301141988158745 
third 	 1770.4752215941198 1.1301141988158745 
constructed 	 4004.5461119431184 1.1301141988158745 
separate 	 749.8551936836018 1.5916248050608306 
panels 	 4255.117197048619 1.1301141988158745 
horizontal 	 4004.5461119431184 1.1301141988158745 
vertical 	 3400.814917675406 1.1301141988158745 
sircdesc3 	 5212.008500478543 1.1301141988158745 
massive 	 2913.389566383653 1.1301141988158745 
piece 	 2977.9376101295443 1.1301141988158745 
total 	 399.7988991890608 1.7331825580637183 
kilograms 	 5212.008500478543 1.1301141988158745 
assembled 	 4004.5461119431184 1.1301141988158745 
jet 	 2560.2294572214414 1.1301141988158745 
propulsion 	 3123.4417178711624 1.1301141988158745 
laboratory 	 2797.0837234076935 1.1301141988158745 
measures 	 2193.352529139981 1.1301141988158745 
meters 	 624.6883435742324 1.7331825580637183 
built 	 1154.8291860579702 1.444182706488342 
jpl 	 1221.9618071227412 1.444182706488342 
ball 	 3651.386002780907 1.1301141988158745 
communication 	 2140.5484835378666 1.1301141988158745 
systems 	 1373.7560361113785 1.1301141988158745 
division 	 2221.0056453719803 1.1301141988158745 
provides 	 1549.7212289890115 1.1301141988158745 
employ 	 3298.225893618696 1.1301141988158745 
phased 	 4608.277306210831 1.1301141988158745 
array 	 1270.0626929161472 1.5916248050608306 
allows 	 1301.3628451065083 1.444182706488342 
beam 	 952.5470196871104 1.677242852149174 
