term 	 tf-idf weight 	 BM25 ranking 
 pictures 	 757.8780237935886 1.6548601824939864 
newsalert 	 1032.3816149077293 1.6548601824939864 
gif 	 81.55726027941294 1.6548601824939864 
index 	 20.525401241381015 1.9199159601374793 
html 	 30.912011613871584 1.8699969890008339 
news 	 71.78542576154906 1.9328149291233787 
alert 	 423.15283893088076 1.8111337778888716 
cpj 	 44.826717437847456 1.97709195005472 
website 	 358.6606815794485 1.8111337778888716 
http 	 34.51569511500007 1.8699969890008339 
www 	 34.20900206896836 1.8699969890008339 
org 	 150.4469954959206 1.9008871201494542 
immediate 	 346.85083346972453 1.8111337778888716 
release 	 594.2952891814415 1.6548601824939864 
contact 	 381.01926905995987 1.6548601824939864 
avner 	 1248.62622763003 1.6548601824939864 
gidron 	 1248.62622763003 1.6548601824939864 
mailto 	 171.4400544436205 1.6548601824939864 
mideast 	 1152.936462116503 1.6548601824939864 
committee 	 164.57979062935635 1.8699969890008339 
protect 	 176.70631077576738 1.8699969890008339 
journalists 	 107.21636321151787 1.9328149291233787 
introduces 	 952.9741670651231 1.6548601824939864 
world 	 37.3803419952436 1.9421351066083397 
wide 	 167.85804274620105 1.8699969890008339 
web 	 69.18544470274801 1.9421351066083397 
site 	 58.85109090662602 1.9491844409756989 
press 	 34.91142537667575 1.9627853548463208 
freedom 	 50.43826797258022 1.9547027361013276 
day 	 163.88033880520686 1.8111337778888716 
service 	 358.25464623969515 1.6548601824939864 
allows 	 705.2161456834351 1.6548601824939864 
easy 	 652.5542675732815 1.6548601824939864 
access 	 101.7299185341501 1.9199159601374793 
information 	 21.781349548966787 1.9547027361013276 
countries 	 104.97537601647724 1.9008871201494542 
publications 	 146.06841579051178 1.8699969890008339 
alerts 	 271.2608732544707 1.9008871201494542 
york 	 390.15589393460283 1.6548601824939864 
based 	 290.3616771410749 1.6548601824939864 
advocacy 	 378.9390118967943 1.8111337778888716 
organization 	 345.06685805860343 1.6548601824939864 
line 	 384.02567914343325 1.6548601824939864 
located 	 625.8086978408288 1.6548601824939864 
provide 	 199.8302670655783 1.8111337778888716 
vital 	 789.3914324529759 1.6548601824939864 
serve 	 601.7879819836824 1.6548601824939864 
tool 	 634.3914618651553 1.6548601824939864 
william 	 553.7386285467499 1.6548601824939864 
orme 	 542.5217465089414 1.8111337778888716 
executive 	 566.4984927665349 1.6548601824939864 
director 	 560.03233485814 1.6548601824939864 
reporters 	 412.88549644610447 1.8111337778888716 
activists 	 423.15283893088076 1.8111337778888716 
vast 	 789.3914324529759 1.6548601824939864 
archived 	 1248.62622763003 1.6548601824939864 
database 	 307.15358613524523 1.8699969890008339 
violations 	 239.10712105296568 1.8699969890008339 
continued 	 541.6334110712879 1.6548601824939864 
living 	 519.1402086374674 1.6548601824939864 
restrictions 	 773.1091147820554 1.6548601824939864 
severe 	 730.0812273786821 1.6548601824939864 
essential 	 579.9878784327628 1.6548601824939864 
assistance 	 573.1468197306754 1.6548601824939864 
enable 	 846.3056778617615 1.6548601824939864 
policy 	 375.1189617394814 1.6548601824939864 
makers 	 773.1091147820554 1.6548601824939864 
quickly 	 730.0812273786821 1.6548601824939864 
hundreds 	 693.7016669394491 1.6548601824939864 
individual 	 396.4496002459929 1.6548601824939864 
safety 	 267.90297724998015 1.8111337778888716 
dangerous 	 365.04061368934106 1.8111337778888716 
assignments 	 542.5217465089414 1.8111337778888716 
worldwide 	 231.23388897981638 1.8699969890008339 
include 	 402.9157581543879 1.6548601824939864 
components 	 662.1882582800619 1.6548601824939864 
date 	 587.0331777360876 1.6548601824939864 
urgent 	 460.7303792028678 1.8111337778888716 
month 	 573.1468197306754 1.6548601824939864 
highlight 	 1248.62622763003 1.6548601824939864 
violation 	 743.5706130449099 1.6548601824939864 
safetynet 	 1412.208962242177 1.6548601824939864 
practical 	 573.1468197306754 1.6548601824939864 
tips 	 868.7988802955822 1.6548601824939864 
correspondents 	 1032.3816149077293 1.6548601824939864 
research 	 270.8464322016281 1.6548601824939864 
regularly 	 952.9741670651231 1.6548601824939864 
updated 	 252.82240920846866 1.6548601824939864 
searchable 	 1248.62622763003 1.6548601824939864 
featuring 	 921.4607584057356 1.6548601824939864 
verified 	 1152.936462116503 1.6548601824939864 
reports 	 601.7879819836824 1.6548601824939864 
killed 	 682.7229432496144 1.6548601824939864 
imprisoned 	 893.6639619908292 1.6548601824939864 
attacked 	 921.4607584057356 1.6548601824939864 
plus 	 757.8780237935886 1.6548601824939864 
archive 	 1085.0434930178828 1.6548601824939864 
past 	 406.2165112604265 1.6548601824939864 
investigations 	 717.321363158897 1.6548601824939864 
actions 	 508.64959267075045 1.6548601824939864 
including 	 207.20583040163993 1.6548601824939864 
survey 	 573.1468197306754 1.6548601824939864 
attacks 	 789.3914324529759 1.6548601824939864 
released 	 672.2323272828976 1.6548601824939864 
march 	 513.8366146563815 1.6548601824939864 
membership 	 286.5734098653377 1.8111337778888716 
applications 	 553.7386285467499 1.6548601824939864 
freely 	 806.8809138812543 1.6548601824939864 
copied 	 921.4607584057356 1.6548601824939864 
distributed 	 743.5706130449099 1.6548601824939864 
provided 	 541.6334110712879 1.6548601824939864 
properly 	 757.8780237935886 1.6548601824939864 
attributed 	 806.8809138812543 1.6548601824939864 
