term 	 tf-idf weight 	 BM25 ranking 
 press 	 408.43409095339723 1.6369059005933935 
release 	 632.0682948497534 1.6369059005933935 
representative 	 320.0186090633565 1.8003280209436463 
rick 	 548.9995452157629 1.8003280209436463 
white 	 40.79204251650801 1.9664467710737203 
http 	 22.025693577622924 1.9150420944352813 
www 	 21.829981828756928 1.9150420944352813 
house 	 90.0729332407704 1.9150420944352813 
gov 	 145.6035083184859 1.8949185554741803 
welcome 	 363.05817532977375 1.8003280209436463 
html 	 14.090039192037105 1.93857021808075 
applauds 	 1501.9680064524848 1.6369059005933935 
phildelphia 	 1501.9680064524848 1.6369059005933935 
court 	 115.51029753205252 1.8949185554741803 
ruling 	 181.52908766488687 1.8949185554741803 
washington 	 265.1482763573021 1.8003280209436463 
june 	 262.56055581335875 1.8003280209436463 
district 	 632.0682948497534 1.6369059005933935 
applauded 	 1327.9880641319385 1.6369059005933935 
cdt 	 924.0191481109794 1.6369059005933935 
org 	 640.037218126713 1.6369059005933935 
ciec 	 442.66268804397953 1.8623029743591162 
decision 	 148.8633863284508 1.8623029743591162 
found 	 470.13866654498366 1.6369059005933935 
communications 	 268.8916301327357 1.6369059005933935 
decency 	 1226.2163219967892 1.6369059005933935 
act 	 458.08835252920716 1.6369059005933935 
cda 	 306.5540804991973 1.8949185554741803 
unconstitutional 	 1226.2163219967892 1.6369059005933935 
today's 	 790.8314570943745 1.6369059005933935 
tried 	 388.2423476102737 1.8003280209436463 
congress 	 115.21185269397736 1.9150420944352813 
internet 	 23.620843087960413 1.9604667719463134 
protect 	 563.8129322633594 1.6369059005933935 
kids 	 253.3861397599003 1.8949185554741803 
protects 	 475.2323187705469 1.8003280209436463 
else's 	 1226.2163219967892 1.6369059005933935 
freedom 	 241.39840540266678 1.8003280209436463 
speech 	 312.17230426219913 1.8003280209436463 
bill 	 187.93764408778648 1.8623029743591162 
smart 	 1097.9990904315257 1.6369059005933935 
include 	 428.52481057945494 1.6369059005933935 
expedited 	 1501.9680064524848 1.6369059005933935 
judicial 	 737.7928745839056 1.6369059005933935 
review 	 338.65103040684625 1.6369059005933935 
