term 	 tf-idf weight 	 BM25 ranking 
 shared 	 98.1730394337787 1.9341915053243761 
vision 	 187.0012928782288 1.8725758077861772 
line 	 375.8895418734453 1.660932788846021 
november 	 277.2482030276898 1.8147645801162835 
shaman 	 376.16994738546924 1.8725758077861772 
column 	 901.9382847106989 1.660932788846021 
healing 	 263.26199308837533 1.8725758077861772 
comes 	 334.129237056485 1.8147645801162835 
time 	 44.05162419941768 1.9215460996972868 
rick 	 1010.5091230664639 1.660932788846021 
gossett 	 611.0861410646968 1.8147645801162835 
earlier 	 561.0038786346864 1.660932788846021 
cultures 	 702.1238766512932 1.660932788846021 
usually 	 581.7042872920041 1.660932788846021 
death 	 418.0058214928488 1.660932788846021 
individual 	 388.0502443085778 1.660932788846021 
help 	 397.61022924219714 1.660932788846021 
soul 	 193.16675942440406 1.9028850058799327 
move 	 290.85214364600205 1.8147645801162835 
heaven 	 1222.1722821293936 1.660932788846021 
valhallah 	 1382.289280838741 1.660932788846021 
light 	 155.0506162694003 1.8725758077861772 
side 	 508.1414754036227 1.660932788846021 
perceived 	 772.6670376976163 1.660932788846021 
family 	 98.59485183650806 1.9028850058799327 
community 	 178.01842029473895 1.8147645801162835 
process 	 361.53710043772685 1.660932788846021 
referred 	 789.785979265126 1.660932788846021 
psychopomp 	 1382.289280838741 1.660932788846021 
unfortunately 	 828.3754728223174 1.660932788846021 
modern 	 388.0502443085778 1.660932788846021 
culture 	 226.21652013946075 1.8147645801162835 
people 	 90.2248982492375 1.8725758077861772 
die 	 714.613404764727 1.660932788846021 
spirit 	 178.65335119118174 1.9028850058799327 
spread 	 756.7296843841305 1.660932788846021 
country 	 187.94477093672265 1.8147645801162835 
gather 	 1010.5091230664639 1.660932788846021 
funeral 	 484.19642172353014 1.8147645801162835 
souls 	 531.0276417100231 1.8147645801162835 
confused 	 1062.0552834200462 1.660932788846021 
obstinate 	 1382.289280838741 1.660932788846021 
unfinished 	 1222.1722821293936 1.660932788846021 
business 	 209.924129519727 1.660932788846021 
world 	 256.118699179275 1.660932788846021 
following 	 340.2807348333486 1.660932788846021 
examples 	 561.0038786346864 1.660932788846021 
demonstrate 	 727.816998361755 1.660932788846021 
significance 	 554.4964060553796 1.660932788846021 
kind 	 294.5191183013361 1.8147645801162835 
mentor 	 1128.5098421564076 1.660932788846021 
seattle 	 1128.5098421564076 1.660932788846021 
called 	 404.2106782767741 1.660932788846021 
malaysia 	 531.0276417100231 1.8147645801162835 
huge 	 789.785979265126 1.660932788846021 
clothing 	 850.3921243571165 1.660932788846021 
store 	 351.0619383256466 1.8147645801162835 
collapsed 	 1382.289280838741 1.660932788846021 
killing 	 808.275844737713 1.660932788846021 
hundreds 	 679.0045977246302 1.660932788846021 
returned 	 378.3648421920652 1.8147645801162835 
trip 	 789.785979265126 1.660932788846021 
looking 	 518.887599015283 1.660932788846021 
puzzled 	 1382.289280838741 1.660932788846021 
able 	 474.0375596794217 1.660932788846021 
contributed 	 828.3754728223174 1.660932788846021 
care 	 456.59531505004014 1.660932788846021 
news 	 421.5872885826568 1.660932788846021 
reported 	 474.0375596794217 1.660932788846021 
loss 	 274.08362150896255 1.8147645801162835 
lives 	 561.0038786346864 1.660932788846021 
rest 	 714.613404764727 1.660932788846021 
bodies 	 727.816998361755 1.660932788846021 
dummies 	 1382.289280838741 1.660932788846021 
example 	 407.5830009430603 1.660932788846021 
involves 	 714.613404764727 1.660932788846021 
grandmother 	 611.0861410646968 1.8147645801162835 
died 	 850.3921243571165 1.660932788846021 
month 	 561.0038786346864 1.660932788846021 
angry 	 505.25456153323194 1.8147645801162835 
bitter 	 1062.0552834200462 1.660932788846021 
woman 	 319.3644826470933 1.8147645801162835 
estranged 	 1222.1722821293936 1.660932788846021 
met 	 502.95024570179714 1.660932788846021 
times 	 375.8895418734453 1.660932788846021 
grief 	 1222.1722821293936 1.660932788846021 
sense 	 554.4964060553796 1.660932788846021 
passing 	 772.6670376976163 1.660932788846021 
compelled 	 1382.289280838741 1.660932788846021 
held 	 218.24784348271785 1.8147645801162835 
journeyed 	 1382.289280838741 1.660932788846021 
totems 	 1382.289280838741 1.660932788846021 
knowing 	 257.55567923253875 1.8725758077861772 
probably 	 702.1238766512932 1.660932788846021 
found 	 432.6774182147061 1.660932788846021 
couldn 	 1128.5098421564076 1.660932788846021 
close 	 542.0068779419458 1.660932788846021 
sing 	 1128.5098421564076 1.660932788846021 
stopped 	 901.9382847106989 1.660932788846021 
raging 	 1382.289280838741 1.660932788846021 
looked 	 450.96914235534945 1.8147645801162835 
seeing 	 828.3754728223174 1.660932788846021 
mind 	 448.3444379689599 1.660932788846021 
genes 	 1222.1722821293936 1.660932788846021 
went 	 363.9084991808775 1.8147645801162835 
deeper 	 968.3928434470603 1.660932788846021 
bad 	 756.7296843841305 1.660932788846021 
life 	 286.20995918683025 1.660932788846021 
cared 	 1382.289280838741 1.660932788846021 
attenuated 	 1382.289280838741 1.660932788846021 
responded 	 850.3921243571165 1.660932788846021 
journey 	 414.1877364111587 1.8147645801162835 
wet 	 1010.5091230664639 1.660932788846021 
tears 	 1382.289280838741 1.660932788846021 
hands 	 679.0045977246302 1.660932788846021 
heavy 	 808.275844737713 1.660932788846021 
cloak 	 1382.289280838741 1.660932788846021 
dropped 	 1062.0552834200462 1.660932788846021 
smiling 	 1222.1722821293936 1.660932788846021 
singing 	 1222.1722821293936 1.660932788846021 
threw 	 1382.289280838741 1.660932788846021 
fluttered 	 1382.289280838741 1.660932788846021 
gone 	 484.19642172353014 1.8147645801162835 
smiled 	 1382.289280838741 1.660932788846021 
don 	 702.1238766512932 1.660932788846021 
mine 	 968.3928434470603 1.660932788846021 
anyway 	 968.3928434470603 1.660932788846021 
stolen 	 1010.5091230664639 1.660932788846021 
free 	 292.31604156957417 1.660932788846021 
return 	 350.66450542953214 1.660932788846021 
belonged 	 1062.0552834200462 1.660932788846021 
expanded 	 727.816998361755 1.660932788846021 
joy 	 1062.0552834200462 1.660932788846021 
heart 	 668.25847411297 1.660932788846021 
richard 	 648.1588460283656 1.660932788846021 
psychotherapist 	 1222.1722821293936 1.660932788846021 
practising 	 1128.5098421564076 1.660932788846021 
conway 	 611.0861410646968 1.8147645801162835 
washington 	 244.0209236595091 1.8147645801162835 
svaha 	 1222.1722821293936 1.660932788846021 
lodge 	 1062.0552834200462 1.660932788846021 
shamanic 	 611.0861410646968 1.8147645801162835 
pacific 	 702.1238766512932 1.660932788846021 
northwest 	 901.9382847106989 1.660932788846021 
travels 	 901.9382847106989 1.660932788846021 
canada 	 604.4439441118656 1.660932788846021 
helping 	 690.2751256477691 1.660932788846021 
develop 	 518.887599015283 1.660932788846021 
ritualistic 	 1222.1722821293936 1.660932788846021 
communities 	 638.7289652941867 1.660932788846021 
techniques 	 460.8339660823936 1.660932788846021 
currently 	 488.0418473190182 1.660932788846021 
mentoring 	 1062.0552834200462 1.660932788846021 
vancouver 	 772.6670376976163 1.660932788846021 
reached 	 620.950964791741 1.660932788846021 
writing 	 492.90518484371745 1.660932788846021 
box 	 596.612685674783 1.660932788846021 
issue 	 327.92484860967085 1.660932788846021 
nov96 	 1222.1722821293936 1.660932788846021 
htm 	 75.77494292417389 1.8147645801162835 
vision's 	 386.3335188488081 1.8147645801162835 
library 	 302.2219720559328 1.8147645801162835 
http 	 50.67664558198103 1.8147645801162835 
www 	 50.22635261397261 1.8147645801162835 
com 	 55.749317101454515 1.8147645801162835 
village 	 574.596034139984 1.660932788846021 
index 	 100.45270522794522 1.660932788846021 
html 	 90.77128834073308 1.660932788846021 
top 	 215.77254316409793 1.660932788846021 
page 	 113.39208742707429 1.660932788846021 
