term 	 tf-idf weight 	 BM25 ranking 
 faculty 	 103.69124748322989 1.9466694977867431 
colleagues 	 158.9828919299929 1.9210567672424392 
english 	 68.90482111480246 1.9466694977867431 
lucia 	 492.04338631183384 1.8481089208908341 
getsi 	 492.04338631183384 1.8481089208908341 
ron 	 454.3351312577745 1.8481089208908341 
strickland 	 556.5060741039088 1.8481089208908341 
sally 	 492.04338631183384 1.8481089208908341 
parry 	 556.5060741039088 1.8481089208908341 
william 	 218.21056124935484 1.8481089208908341 
morgan 	 363.11801072768395 1.8481089208908341 
margaret 	 427.58069851975887 1.8481089208908341 
steffensen 	 556.5060741039088 1.8481089208908341 
please 	 165.46966050054885 1.8481089208908341 
remember 	 352.16418841164034 1.8481089208908341 
list 	 213.44028487131263 1.8481089208908341 
starting 	 273.36548739563034 1.8481089208908341 
professors 	 427.58069851975887 1.8481089208908341 
listed 	 333.50181373366024 1.8481089208908341 
experience 	 166.86818309545114 1.8481089208908341 
presidential 	 202.486462555269 1.8481089208908341 
scholars 	 342.3656604554625 1.8481089208908341 
colleague 	 389.8724434656996 1.8481089208908341 
plans 	 161.3960165933183 1.8481089208908341 
limited 	 196.48438008947485 1.8481089208908341 
names 	 293.0172331066806 1.8481089208908341 
return 	 141.17661906903243 1.8481089208908341 
department 	 89.44243706154586 1.9210567672424392 
listing 	 375.5364302417646 1.8481089208908341 
psfcdept 	 227.16756562888725 1.9210567672424392 
htm 	 4.693353108190591 1.9874352359598435 
main 	 166.86818309545114 1.8481089208908341 
psindex 	 427.58069851975887 1.8481089208908341 
program 	 54.86605847185792 1.9210567672424392 
pswhatis 	 151.44504375259152 1.9466694977867431 
awards 	 146.5086165533403 1.9210567672424392 
requirements 	 204.5764381495104 1.8481089208908341 
agree 	 273.36548739563034 1.8481089208908341 
ids 	 375.5364302417646 1.8481089208908341 
ps10270 	 454.3351312577745 1.8481089208908341 
core 	 287.7015006195654 1.8481089208908341 
curriculum 	 304.65740540140314 1.8481089208908341 
pscore 	 454.3351312577745 1.8481089208908341 
service 	 141.17661906903243 1.8481089208908341 
learning 	 246.61105465761474 1.8481089208908341 
pspubser 	 454.3351312577745 1.8481089208908341 
study 	 112.83240402860189 1.8481089208908341 
abroad 	 264.9051120224978 1.8481089208908341 
psabroad 	 454.3351312577745 1.8481089208908341 
club 	 298.65532293560904 1.8481089208908341 
pscwarn 	 454.3351312577745 1.8481089208908341 
honors 	 85.59141511386562 1.9597336955603022 
staff 	 189.04040827583597 1.8481089208908341 
psstaff 	 454.3351312577745 1.8481089208908341 
http 	 20.4022858836547 1.9210567672424392 
www 	 20.220999104326637 1.9210567672424392 
ilstu 	 181.55900536384198 1.9210567672424392 
edu 	 50.8518025896428 1.9210567672424392 
isu's 	 454.3351312577745 1.8481089208908341 
cas 	 454.3351312577745 1.8481089208908341 
english_dept 	 556.5060741039088 1.8481089208908341 
engdept 	 556.5060741039088 1.8481089208908341 
html 	 36.54428491639903 1.8481089208908341 
