term 	 tf-idf weight 	 BM25 ranking 
 shared 	 164.72671032265202 1.8919878486224408 
vision 	 261.47799826696064 1.826235957073583 
line 	 525.5944676412244 1.5558799641880576 
august 	 374.74050348104333 1.750205271108834 
world 	 358.12268326799057 1.5558799641880576 
difference 	 868.2561109425642 1.5558799641880576 
lionel 	 1708.9248793411002 1.5558799641880576 
wilson 	 1017.6835085318046 1.5558799641880576 
money 	 305.169062532112 1.750205271108834 
talks 	 893.1145272295337 1.5558799641880576 
mutual 	 965.1898943040234 1.5558799641880576 
funds 	 813.3787220576507 1.5558799641880576 
canada 	 422.58743278816576 1.750205271108834 
invest 	 1261.1518006993756 1.5558799641880576 
socially 	 1412.962972945748 1.5558799641880576 
responsible 	 717.9437812929418 1.5558799641880576 
criteria 	 1130.1865707804384 1.5558799641880576 
compared 	 341.2067460693569 1.750205271108834 
decade 	 868.2561109425642 1.5558799641880576 
ago 	 949.4306712772968 1.5558799641880576 
eugene 	 1304.2824405170963 1.5558799641880576 
ellman 	 1932.8114186619625 1.5558799641880576 
author 	 834.2246643850863 1.5558799641880576 
canadian 	 474.7153356386484 1.750205271108834 
ethical 	 306.6822623056157 1.826235957073583 
guide 	 920.0467869168472 1.5558799641880576 
toronto 	 1577.959649422163 1.5558799641880576 
based 	 198.70089346730336 1.750205271108834 
social 	 414.55626051101206 1.5558799641880576 
investment 	 392.21699740044096 1.750205271108834 
organization 	 472.2737082751225 1.5558799641880576 
profit 	 893.1145272295337 1.5558799641880576 
investors 	 552.1663881009431 1.750205271108834 
business 	 293.53027634143643 1.5558799641880576 
leaders 	 669.2279879086714 1.5558799641880576 
people 	 189.2379359383358 1.750205271108834 
invested 	 1412.962972945748 1.5558799641880576 
total 	 741.3033549831611 1.5558799641880576 
guidelines 	 906.3000314595762 1.5558799641880576 
sio 	 1708.9248793411002 1.5558799641880576 
publishes 	 1261.1518006993756 1.5558799641880576 
quarterly 	 1412.962972945748 1.5558799641880576 
newsletter 	 1189.0764336248858 1.5558799641880576 
help 	 277.98290918880883 1.750205271108834 
track 	 1080.395901196234 1.5558799641880576 
performance 	 725.5441319564346 1.5558799641880576 
companies 	 703.2594344661492 1.5558799641880576 
various 	 394.62923772228726 1.5558799641880576 
measures 	 813.3787220576507 1.5558799641880576 
including 	 283.591030592075 1.5558799641880576 
workforce 	 1304.2824405170963 1.5558799641880576 
diversity 	 1158.291245548089 1.5558799641880576 
environment 	 589.4921827367885 1.5558799641880576 
international 	 435.79395546379016 1.5558799641880576 
macleans 	 1932.8114186619625 1.5558799641880576 
heavenly 	 1485.038340020238 1.5558799641880576 
weight 	 352.70373456864957 1.826235957073583 
loss 	 383.242466438939 1.750205271108834 
blends 	 1932.8114186619625 1.5558799641880576 
dietary 	 1485.038340020238 1.5558799641880576 
advice 	 1017.6835085318046 1.5558799641880576 
lessons 	 652.1412202585482 1.750205271108834 
scriptures 	 1932.8114186619625 1.5558799641880576 
meetings 	 999.2213408615013 1.5558799641880576 
houston 	 1412.962972945748 1.5558799641880576 
baptist 	 1577.959649422163 1.5558799641880576 
church 	 856.5093618753716 1.5558799641880576 
boasts 	 1932.8114186619625 1.5558799641880576 
churches 	 677.0365550506503 1.750205271108834 
abroad 	 920.0467869168472 1.5558799641880576 
programs 	 525.5944676412244 1.5558799641880576 
mainstream 	 1223.1078801823637 1.5558799641880576 
christian 	 793.7969692109424 1.5558799641880576 
leader 	 717.9437812929418 1.5558799641880576 
terry 	 1577.959649422163 1.5558799641880576 
miller 	 360.13196706541135 1.826235957073583 
requests 	 1223.1078801823637 1.5558799641880576 
materials 	 766.484932877878 1.5558799641880576 
jehovah 	 1932.8114186619625 1.5558799641880576 
witnesses 	 1058.1112037059486 1.5558799641880576 
mormons 	 1932.8114186619625 1.5558799641880576 
jewish 	 1017.6835085318046 1.5558799641880576 
congregations 	 1932.8114186619625 1.5558799641880576 
participants 	 1158.291245548089 1.5558799641880576 
pay 	 703.2594344661492 1.5558799641880576 
weeks 	 880.4462368810239 1.5558799641880576 
sessions 	 1304.2824405170963 1.5558799641880576 
receive 	 733.3276411164711 1.5558799641880576 
loose 	 1485.038340020238 1.5558799641880576 
leaf 	 1708.9248793411002 1.5558799641880576 
notebook 	 1485.038340020238 1.5558799641880576 
recipes 	 1577.959649422163 1.5558799641880576 
tips 	 1189.0764336248858 1.5558799641880576 
read 	 880.4462368810239 1.5558799641880576 
food 	 696.1602475959847 1.5558799641880576 
labels 	 1932.8114186619625 1.5558799641880576 
diary 	 1708.9248793411002 1.5558799641880576 
record 	 733.3276411164711 1.5558799641880576 
intake 	 1577.959649422163 1.5558799641880576 
inspirational 	 1932.8114186619625 1.5558799641880576 
bible 	 611.5539400911819 1.750205271108834 
lord 	 1261.1518006993756 1.5558799641880576 
board 	 710.5181669063642 1.5558799641880576 
believe 	 834.2246643850863 1.5558799641880576 
prayer 	 742.519170010119 1.750205271108834 
study 	 391.8802849595528 1.5558799641880576 
learning 	 856.5093618753716 1.5558799641880576 
discipline 	 1017.6835085318046 1.5558799641880576 
lot 	 1080.395901196234 1.5558799641880576 
