term 	 tf-idf weight 	 BM25 ranking 
lessons 	 783.3770695365841 1.7072938994542497 
minds 	 2545.9580503232987 1.3207131139347685 
amazingly 	 3482.650915359945 1.3207131139347685 
effective 	 1217.6115018595601 1.3207131139347685 
teach 	 367.3110352250442 1.8420917744941454 
naturally 	 2675.8275971881685 1.3207131139347685 
project 	 640.1262742097584 1.5908789089820932 
girls 	 2675.8275971881685 1.3207131139347685 
boys 	 2545.9580503232987 1.3207131139347685 
black 	 672.5723202500055 1.3207131139347685 
white 	 1229.6119270115523 1.3207131139347685 
brown 	 1739.134732151522 1.3207131139347685 
yellow 	 1683.664207505405 1.3207131139347685 
blink 	 3482.650915359945 1.3207131139347685 
eye 	 1768.9874294850765 1.3207131139347685 
child's 	 973.3597747619322 1.5908789089820932 
buddy 	 3079.239256274057 1.3207131139347685 
cheering 	 3079.239256274057 1.3207131139347685 
quality 	 1267.1733463136188 1.3207131139347685 
projects 	 1564.4738593454251 1.3207131139347685 
love 	 501.05134641085675 1.7072938994542497 
humor 	 2439.846904269217 1.3207131139347685 
positive 	 214.7362913189386 1.8631060437294706 
emotions 	 2545.9580503232987 1.3207131139347685 
wont 	 3079.239256274057 1.3207131139347685 
change 	 466.1557069898729 1.5908789089820932 
expression 	 1586.4387302314424 1.3207131139347685 
look 	 186.46228279594916 1.8134558155081293 
meets 	 1136.2079690511403 1.5908789089820932 
burn 	 2843.258563355105 1.3207131139347685 
victim 	 1683.664207505405 1.3207131139347685 
stare 	 3482.650915359945 1.3207131139347685 
pity 	 2843.258563355105 1.3207131139347685 
depression 	 1906.5656983184585 1.3207131139347685 
child 	 316.7933365784047 1.7721331733049832 
chemotherapy 	 2545.9580503232987 1.3207131139347685 
months 	 1267.1733463136188 1.3207131139347685 
strength 	 1869.004279016392 1.3207131139347685 
tell 	 1768.9874294850765 1.3207131139347685 
jokes 	 3079.239256274057 1.3207131139347685 
accept 	 1543.307890437976 1.3207131139347685 
inspire 	 2675.8275971881685 1.3207131139347685 
believe 	 1503.1540392325703 1.3207131139347685 
life 	 180.2751041631333 1.7721331733049832 
shot 	 2087.075866591293 1.3207131139347685 
humans 	 2142.5463912374103 1.3207131139347685 
support 	 808.2911625816135 1.3207131139347685 
systems 	 917.9403134521496 1.3207131139347685 
wheelchairs 	 1741.3254576799725 1.5908789089820932 
apprehension 	 2675.8275971881685 1.3207131139347685 
familiarity 	 2545.9580503232987 1.3207131139347685 
envy 	 3482.650915359945 1.3207131139347685 
saving 	 2203.866211350265 1.3207131139347685 
machines 	 2087.075866591293 1.3207131139347685 
prized 	 3482.650915359945 1.3207131139347685 
possessions 	 3079.239256274057 1.3207131139347685 
stuff 	 2675.8275971881685 1.3207131139347685 
proud 	 2843.258563355105 1.3207131139347685 
eeg 	 3482.650915359945 1.3207131139347685 
video 	 1869.004279016392 1.3207131139347685 
game 	 1869.004279016392 1.3207131139347685 
conducted 	 1609.265185286652 1.3207131139347685 
wheelchair 	 3079.239256274057 1.3207131139347685 
races 	 2350.131208609753 1.3207131139347685 
olympics 	 2545.9580503232987 1.3207131139347685 
funny 	 3079.239256274057 1.3207131139347685 
win 	 1739.134732151522 1.3207131139347685 
hair 	 3079.239256274057 1.3207131139347685 
fresh 	 2272.4159381022805 1.3207131139347685 
taught 	 1989.8503893173304 1.3207131139347685 
warmth 	 3482.650915359945 1.3207131139347685 
energy 	 620.9325055823454 1.5908789089820932 
tech 	 2203.866211350265 1.3207131139347685 
characters 	 1946.7195495238643 1.3207131139347685 
touch 	 1989.8503893173304 1.3207131139347685 
motivate 	 2675.8275971881685 1.3207131139347685 
engage 	 1071.2731956187051 1.5908789089820932 
adults 	 1833.7207491192269 1.3207131139347685 
brighter 	 3482.650915359945 1.3207131139347685 
side 	 1280.2525484195169 1.3207131139347685 
leave 	 1800.454552264377 1.3207131139347685 
lasting 	 2843.258563355105 1.3207131139347685 
memories 	 2675.8275971881685 1.3207131139347685 
rapport 	 3482.650915359945 1.3207131139347685 
skills 	 402.316296321663 1.7721331733049832 
call 	 1099.742380146682 1.3207131139347685 
powers 	 761.4423711539085 1.5908789089820932 
traveling 	 2272.4159381022805 1.3207131139347685 
