term 	 tf-idf weight 	 BM25 ranking 
 nelson 	 522.566215062434 1.7826021396146152 
communications 	 98.55788833550473 1.8496193546527666 
images 	 131.5415197379215 1.8850538056283477 
logosm 	 1207.361549637853 1.6078324701772722 
gif 	 23.845131183387682 1.8850538056283477 
index 	 60.01070701929195 1.7826021396146152 
htm 	 90.5362954418701 1.7826021396146152 
professional 	 555.7658453292789 1.6078324701772722 
public 	 59.5421149241316 1.9069737430817388 
relations 	 98.21425010355159 1.9069737430817388 
firm 	 376.1658844878678 1.7826021396146152 
sacramento 	 1157.0407999627214 1.6078324701772722 
blball 	 603.6807748189265 1.7826021396146152 
san 	 678.2909086756041 1.6078324701772722 
diego 	 965.7321781281765 1.6078324701772722 
irvine 	 301.84038740946323 1.8850538056283477 
gary 	 134.83494217972662 1.952379379522073 
goldhammer 	 730.1288958175599 1.7826021396146152 
counselor 	 674.1747108986332 1.7826021396146152 
serves 	 824.744305968763 1.6078324701772722 
writer 	 923.1865904958532 1.6078324701772722 
account 	 530.8841425588529 1.6078324701772722 
manager 	 838.901255219727 1.6078324701772722 
wide 	 294.4628376988442 1.7826021396146152 
variety 	 577.4240111911316 1.6078324701772722 
agency 	 116.62298689181735 1.9069737430817388 
clients 	 148.38308769049394 1.9069737430817388 
manages 	 1268.9491698005747 1.6078324701772722 
strategic 	 452.07227898272725 1.7826021396146152 
programs 	 112.27869432583431 1.8850538056283477 
unocal 	 730.1288958175599 1.7826021396146152 
helping 	 824.744305968763 1.6078324701772722 
position 	 400.56895335936593 1.6078324701772722 
company 	 512.4773231972193 1.6078324701772722 
innovator 	 1460.2577916351197 1.6078324701772722 
retail 	 1045.132430124868 1.6078324701772722 
service 	 418.97577272099943 1.6078324701772722 
station 	 763.1566858060412 1.6078324701772722 
marketing 	 323.79631669259106 1.7826021396146152 
responsible 	 613.4751815382413 1.6078324701772722 
corporate 	 686.5303265049159 1.6078324701772722 
citizen 	 886.3319261314849 1.6078324701772722 
handles 	 1348.3494217972664 1.6078324701772722 
media 	 47.80002424852803 1.9069737430817388 
widening 	 1651.5664134696647 1.6078324701772722 
route 	 508.026463901654 1.7826021396146152 
orange 	 137.96173973259667 1.932657730882907 
county 	 93.56472422569409 1.932657730882907 
transportation 	 712.8359361309097 1.6078324701772722 
authority 	 600.9275662930563 1.6078324701772722 
community 	 425.3946666783372 1.6078324701772722 
internet 	 285.7086837252901 1.6078324701772722 
health 	 147.3756874332244 1.8496193546527666 
foundation 	 351.8929725158821 1.7826021396146152 
managed 	 1114.495212330398 1.6078324701772722 
information 	 229.25793338827754 1.6078324701772722 
district 	 695.02330429694 1.6078324701772722 
attorney's 	 1045.132430124868 1.6078324701772722 
office 	 452.6761170380478 1.6078324701772722 
federal 	 491.0712505177579 1.6078324701772722 
emergency 	 774.4235562936316 1.6078324701772722 
management 	 459.9396941336429 1.6078324701772722 
fema 	 1651.5664134696647 1.6078324701772722 
funded 	 886.3319261314849 1.6078324701772722 
mental 	 741.9154384524696 1.6078324701772722 
counseling 	 869.5995305101488 1.6078324701772722 
services 	 388.94618340273087 1.6078324701772722 
laguna 	 1651.5664134696647 1.6078324701772722 
beach 	 923.1865904958532 1.6078324701772722 
fire 	 774.4235562936316 1.6078324701772722 
survivors 	 1077.6405479660298 1.6078324701772722 
behalf 	 886.3319261314849 1.6078324701772722 
led 	 633.4356841342181 1.6078324701772722 
coverage 	 662.5151864557782 1.6078324701772722 
cnn 	 1114.495212330398 1.6078324701772722 
nbc 	 1348.3494217972664 1.6078324701772722 
nightly 	 1651.5664134696647 1.6078324701772722 
news 	 251.85734123119755 1.7826021396146152 
tom 	 869.5995305101488 1.6078324701772722 
brokaw 	 1460.2577916351197 1.6078324701772722 
wall 	 923.1865904958532 1.6078324701772722 
street 	 588.9256753976885 1.6078324701772722 
journal 	 943.6403908102803 1.6078324701772722 
