term 	 tf-idf weight 	 BM25 ranking 
 cmu 	 1374.6949339506227 1.5819823817246048 
robotics 	 1046.209859638858 1.5819823817246048 
institute 	 613.5810837408965 1.5819823817246048 
gif 	 34.44296726489332 1.8381020640442227 
sonar 	 137.6305344558054 1.960158041369139 
mapping 	 626.7304333131407 1.766599846828876 
underwater 	 255.59956398935287 1.9272500063585687 
vehicles 	 439.4423695230832 1.766599846828876 
investigators 	 1253.4608666262814 1.5819823817246048 
andrew 	 1000.1188063705076 1.5819823817246048 
johnson 	 960.1929199757753 1.5819823817246048 
martial 	 1581.9459409380463 1.5819823817246048 
hebert 	 1581.9459409380463 1.5819823817246048 
table 	 979.4899377959091 1.5819823817246048 
contents 	 734.8151510652377 1.5819823817246048 
generating 	 1307.975012107674 1.5819823817246048 
representations 	 1581.9459409380463 1.5819823817246048 
environment 	 181.89696866697602 1.8381020640442227 
critical 	 585.6167923956602 1.5819823817246048 
component 	 924.9757923145168 1.5819823817246048 
autonomous 	 458.23164465020756 1.8381020640442227 
system 	 107.50659639079318 1.8381020640442227 
designed 	 188.32930794035394 1.8381020640442227 
navigate 	 1789.19694792547 1.5819823817246048 
project 	 657.7242473839099 1.5819823817246048 
vision 	 363.0739387700676 1.766599846828876 
systems 	 157.19596433115277 1.8381020640442227 
center 	 464.38272507131916 1.5819823817246048 
addresses 	 851.6841773626542 1.5819823817246048 
task 	 489.74496889795455 1.766599846828876 
building 	 591.0043255409611 1.5819823817246048 
elevation 	 229.11582232510378 1.9156364613268335 
maps 	 209.24197192777157 1.8996106734752645 
seafloor 	 223.64961849068376 1.936052996557885 
vehicle 	 803.7417249901755 1.5819823817246048 
auv 	 1789.19694792547 1.5819823817246048 
data 	 83.71358084290387 1.9156364613268335 
preferred 	 1167.443926963199 1.5819823817246048 
sensing 	 1207.3698133579312 1.5819823817246048 
modality 	 1789.19694792547 1.5819823817246048 
auvs 	 1789.19694792547 1.5819823817246048 
susceptible 	 1789.19694792547 1.5819823817246048 
attenuation 	 1789.19694792547 1.5819823817246048 
refraction 	 1789.19694792547 1.5819823817246048 
water 	 693.7920157327056 1.5819823817246048 
column 	 1167.443926963199 1.5819823817246048 
common 	 268.24509002978436 1.766599846828876 
terrestrial 	 1374.6949339506227 1.5819823817246048 
perception 	 815.0260830570469 1.5819823817246048 
sensors 	 1307.975012107674 1.5819823817246048 
cameras 	 1253.4608666262814 1.5819823817246048 
laser 	 1132.2267993019404 1.5819823817246048 
range 	 339.41944999044097 1.766599846828876 
finders 	 1789.19694792547 1.5819823817246048 
directly 	 717.7247853270931 1.5819823817246048 
generate 	 188.70446655032342 1.9156364613268335 
complex 	 678.8388999808819 1.5819823817246048 
low 	 591.0043255409611 1.5819823817246048 
resolution 	 762.4347737844112 1.5819823817246048 
backscatter 	 171.83686674382784 1.936052996557885 
images 	 190.00441739921996 1.8381020640442227 
complicated 	 1100.7240051202502 1.5819823817246048 
techniques 	 99.41511966712532 1.9156364613268335 
terrain 	 1253.4608666262814 1.5819823817246048 
modeling 	 1167.443926963199 1.5819823817246048 
navigation 	 1253.4608666262814 1.5819823817246048 
collected 	 1000.1188063705076 1.5819823817246048 
side 	 328.86212369195493 1.766599846828876 
scan 	 894.598473962735 1.766599846828876 
woods 	 1072.2262613587573 1.5819823817246048 
hole 	 1460.7118736137052 1.5819823817246048 
oceanographic 	 1789.19694792547 1.5819823817246048 
institution 	 838.9588526514342 1.5819823817246048 
type 	 367.40757553261886 1.766599846828876 
returns 	 979.4899377959091 1.5819823817246048 
observed 	 1000.1188063705076 1.5819823817246048 
surface 	 106.68810221953059 1.942955562448985 
function 	 638.0028150141625 1.5819823817246048 
sensor 	 163.49687651345926 1.936052996557885 
ping 	 1460.7118736137052 1.5819823817246048 
towed 	 894.598473962735 1.766599846828876 
straight 	 458.23164465020756 1.8381020640442227 
line 	 162.18033624842732 1.8381020640442227 
consecutive 	 1132.2267993019404 1.5819823817246048 
pings 	 1789.19694792547 1.5819823817246048 
placed 	 826.753076289878 1.5819823817246048 
adjacent 	 1374.6949339506227 1.5819823817246048 
create 	 638.0028150141625 1.5819823817246048 
image 	 180.35171807555815 1.8381020640442227 
developed 	 596.4907180027519 1.5819823817246048 
generation 	 924.9757923145168 1.5819823817246048 
employ 	 566.1133996509702 1.766599846828876 
scattering 	 217.995835351279 1.9156364613268335 
model 	 125.10853575807852 1.8996106734752645 
establish 	 851.6841773626542 1.5819823817246048 
correspondence 	 1374.6949339506227 1.5819823817246048 
normal 	 432.4876271856668 1.766599846828876 
technique 	 267.9139083300585 1.8381020640442227 
constraint 	 1789.19694792547 1.5819823817246048 
position 	 216.9748497363232 1.766599846828876 
partial 	 1167.443926963199 1.5819823817246048 
differential 	 1374.6949339506227 1.5819823817246048 
equation 	 1307.975012107674 1.5819823817246048 
solved 	 1253.4608666262814 1.5819823817246048 
generates 	 1581.9459409380463 1.5819823817246048 
map 	 198.21694984577098 1.876068516613133 
iterative 	 1789.19694792547 1.5819823817246048 
relaxation 	 1374.6949339506227 1.5819823817246048 
method 	 322.21658518761524 1.766599846828876 
minimizing 	 1253.4608666262814 1.5819823817246048 
difference 	 803.7417249901755 1.5819823817246048 
intensity 	 603.6849066789656 1.766599846828876 
calculated 	 1132.2267993019404 1.5819823817246048 
similar 	 591.0043255409611 1.5819823817246048 
shape 	 511.13854502223523 1.766599846828876 
shading 	 1789.19694792547 1.5819823817246048 
methods 	 498.2680019781131 1.5819823817246048 
computer 	 693.7920157327056 1.5819823817246048 
sparse 	 1581.9459409380463 1.5819823817246048 
bathymetric 	 1789.19694792547 1.5819823817246048 
initial 	 425.8420886813271 1.766599846828876 
guess 	 790.9729704690232 1.766599846828876 
parameters 	 326.9937530269185 1.876068516613133 
support 	 415.25611273522753 1.5819823817246048 
models 	 752.9419129883516 1.5819823817246048 
applied 	 726.1478775401353 1.5819823817246048 
environments 	 1132.2267993019404 1.5819823817246048 
contrast 	 762.4347737844112 1.5819823817246048 
approaches 	 752.9419129883516 1.5819823817246048 
flexible 	 1100.7240051202502 1.5819823817246048 
respect 	 709.5324920448468 1.5819823817246048 
addition 	 664.5981133330947 1.5819823817246048 
albedo 	 1581.9459409380463 1.5819823817246048 
roughness 	 1581.9459409380463 1.5819823817246048 
generated 	 1167.443926963199 1.5819823817246048 
describe 	 908.8096931547043 1.5819823817246048 
material 	 287.5622438860453 1.766599846828876 
properties 	 1100.7240051202502 1.5819823817246048 
segment 	 1100.7240051202502 1.5819823817246048 
distortions 	 790.9729704690232 1.766599846828876 
occur 	 864.9752543713336 1.5819823817246048 
degrade 	 1460.7118736137052 1.5819823817246048 
reconstruction 	 377.40893310064683 1.8381020640442227 
remove 	 1000.1188063705076 1.5819823817246048 
effects 	 467.96360619428714 1.5819823817246048 
developing 	 701.5586861672806 1.5819823817246048 
incorporating 	 1132.2267993019404 1.5819823817246048 
knowledge 	 651.0048634841444 1.5819823817246048 
movement 	 498.2680019781131 1.5819823817246048 
platform 	 1072.2262613587573 1.5819823817246048 
process 	 467.96360619428714 1.5819823817246048 
reconstructed 	 1789.19694792547 1.5819823817246048 
locally 	 603.6849066789656 1.766599846828876 
assumption 	 1253.4608666262814 1.5819823817246048 
moves 	 960.1929199757753 1.5819823817246048 
local 	 467.96360619428714 1.5819823817246048 
reconstructions 	 1789.19694792547 1.5819823817246048 
transformed 	 1307.975012107674 1.5819823817246048 
global 	 717.7247853270931 1.5819823817246048 
coordinate 	 1207.3698133579312 1.5819823817246048 
known 	 545.6909060009281 1.5819823817246048 
globally 	 1307.975012107674 1.5819823817246048 
carry 	 864.9752543713336 1.5819823817246048 
merging 	 790.9729704690232 1.766599846828876 
positions 	 762.4347737844112 1.5819823817246048 
figure 	 419.4794263257171 1.766599846828876 
