term 	 tf-idf weight 	 BM25 ranking 
causing 	 913.9722162042095 1.604412912304261 
agent 	 760.5092882037327 1.604412912304261 
furniture 	 1282.7420955592768 1.604412912304261 
glue 	 1220.4850447426122 1.604412912304261 
studied 	 1000.5054412009808 1.604412912304261 
unhealthy 	 1669.5182223117263 1.604412912304261 
carbon 	 1089.354032183052 1.604412912304261 
dioxide 	 1169.6173303970988 1.604412912304261 
maintaining 	 833.7089179901626 1.604412912304261 
overlooked 	 1169.6173303970988 1.604412912304261 
issue 	 396.06507689219984 1.604412912304261 
compounded 	 1476.1301589355014 1.604412912304261 
difficult 	 346.9963063312891 1.7804984626787141 
expensive 	 933.221227349069 1.604412912304261 
clean 	 933.221227349069 1.604412912304261 
impossible 	 933.221227349069 1.604412912304261 
easy 	 771.4518671734982 1.604412912304261 
advanced 	 702.5779054306024 1.604412912304261 
technology 	 522.5844142073723 1.604412912304261 
introducing 	 1089.354032183052 1.604412912304261 
purpose 	 527.19608945176 1.604412912304261 
robotic 	 976.2292670208741 1.604412912304261 
duct 	 556.5060741039088 1.8481089208908343 
cleaner 	 1669.5182223117263 1.604412912304261 
cleaning 	 427.58069851975887 1.8481089208908343 
system 	 150.47327956370214 1.7804984626787141 
reach 	 749.9797366965182 1.604412912304261 
breeze 	 1669.5182223117263 1.604412912304261 
company 	 518.0477288841456 1.604412912304261 
enquiries 	 1476.1301589355014 1.604412912304261 
http 	 61.2068576509641 1.7804984626787141 
www 	 60.662997312979904 1.7804984626787141 
asiainfo 	 556.5060741039088 1.8481089208908343 
com 	 44.88906052324909 1.8481089208908343 
images 	 531.8852754620304 1.604412912304261 
email1 	 1669.5182223117263 1.604412912304261 
mailto 	 202.6770135159751 1.604412912304261 
sales 	 760.5092882037327 1.604412912304261 
developed 	 556.5916733202936 1.604412912304261 
maintained 	 976.2292670208741 1.604412912304261 
asialink 	 1669.5182223117263 1.604412912304261 
home 	 124.60196181355442 1.604412912304261 
index 	 121.32599462595981 1.604412912304261 
