term 	 tf-idf weight 	 BM25 ranking 
overseas 	 1012.3715766156148 1.6089755643305488 
rationing 	 1454.9670025349924 1.6089755643305488 
consumer 	 660.1147691135471 1.6089755643305488 
akin 	 1454.9670025349924 1.6089755643305488 
country 	 447.48754984933964 1.6089755643305488 
hatcheries 	 1645.5824771889775 1.6089755643305488 
producing 	 940.2214038870547 1.6089755643305488 
chicks 	 1645.5824771889775 1.6089755643305488 
mile 	 1152.8486231512622 1.6089755643305488 
bridge 	 1041.3457184215172 1.6089755643305488 
constructed 	 1264.3515278810075 1.6089755643305488 
guide 	 783.3215678084612 1.6089755643305488 
meridian 	 1343.464097805247 1.6089755643305488 
nooksack 	 1645.5824771889775 1.6089755643305488 
river 	 866.4488075735179 1.6089755643305488 
cost 	 558.9904545790849 1.6089755643305488 
comprehensive 	 617.7233321610512 1.6089755643305488 
plan 	 497.62597796767716 1.6089755643305488 
developing 	 645.2462832642212 1.6089755643305488 
berthusen 	 1645.5824771889775 1.6089755643305488 
park 	 940.2214038870547 1.6089755643305488 
complete 	 611.2524453732477 1.6089755643305488 
swimming 	 1202.9870512695998 1.6089755643305488 
pool 	 1041.3457184215172 1.6089755643305488 
museum 	 1110.4571861987663 1.6089755643305488 
golf 	 1152.8486231512622 1.6089755643305488 
range 	 624.3501588452928 1.6089755643305488 
softball 	 1454.9670025349924 1.6089755643305488 
fields 	 900.8686718858696 1.6089755643305488 
earthquakes 	 1645.5824771889775 1.6089755643305488 
rocked 	 1645.5824771889775 1.6089755643305488 
worst 	 1073.7360532270225 1.6089755643305488 
northeaster 	 1645.5824771889775 1.6089755643305488 
record 	 624.3501588452928 1.6089755643305488 
blasted 	 1454.9670025349924 1.6089755643305488 
hist9 	 1645.5824771889775 1.6089755643305488 
top 	 64.21801879883867 1.8854464231845736 
story 	 631.1406273076449 1.6089755643305488 
news 	 501.8896292650676 1.6089755643305488 
spotlight 	 1152.8486231512622 1.6089755643305488 
spot 	 986.1612771694255 1.6089755643305488 
community 	 423.8533816541404 1.6089755643305488 
info 	 569.7761506962372 1.6089755643305488 
commun 	 1264.3515278810075 1.6089755643305488 
contact 	 443.9843177605465 1.6089755643305488 
cont 	 1264.3515278810075 1.6089755643305488 
subscribe 	 576.4243115756311 1.7833044703687349 
copyright 	 214.48063824285862 1.6089755643305488 
mailto 	 199.77124988133744 1.6089755643305488 
lyndentrib 	 671.7320489026235 1.7833044703687349 
nas 	 671.7320489026235 1.7833044703687349 
com 	 66.36823464458871 1.7833044703687349 
washington 	 581.0021991893074 1.6089755643305488 
usa 	 592.7060931544762 1.6089755643305488 
