term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 1400.065921152554 1.2896411338684333 
eeeeeee 	 2530.9486326436413 1.018364531226844 
zzzzzzz 	 5061.897265287283 0.6830912376058277 
tttttttnn 	 10123.794530574565 0.411884249184332 
eeee 	 5061.897265287283 0.6830912376058277 
horn 	 550.3110592004065 1.6471650602536032 
palota 	 7694.570947951724 0.8751799223391381 
botranyelkenes 	 26107.913992638212 0.411884249184332 
hazugsagvizsgalata 	 26107.913992638212 0.411884249184332 
hogyan 	 6310.84788431794 0.6830912376058277 
mukodnek 	 20059.51169507213 0.411884249184332 
liberalbolsevik 	 7458.519973016763 0.6830912376058277 
ujsagiras 	 8808.95400615494 0.6830912376058277 
karmento 	 26107.913992638212 0.411884249184332 
spin 	 4011.902339014426 1.1292119848345796 
felcserjei 	 26107.913992638212 0.411884249184332 
szabad 	 2503.3332335847767 1.018364531226844 
vilagban 	 14917.039946033527 0.411884249184332 
allandoan 	 8517.655273144544 0.6830912376058277 
folyo 	 14292.690965229269 0.411884249184332 
politikai 	 1981.1198131214635 1.1292119848345796 
harcban 	 19085.936380688232 0.411884249184332 
sajto 	 3617.550500653319 0.8751799223391381 
mint 	 1088.9401608964308 1.4001535189979326 
intezmenyesitett 	 23083.71284385517 0.411884249184332 
hazorzo 	 26107.913992638212 0.411884249184332 
kutya 	 21314.66857717925 0.411884249184332 
figyeli 	 21314.66857717925 0.411884249184332 
hogy 	 130.6728193075717 1.9022079184434688 
van 	 462.089895826531 1.6471650602536032 
barmi 	 4771.484095172058 1.018364531226844 
gyanus 	 4572.616857099052 1.018364531226844 
zorej 	 26107.913992638212 0.411884249184332 
hiszen 	 3412.3751925839965 0.8751799223391381 
regi 	 12063.958768738252 0.411884249184332 
igazsag 	 16061.735231905192 0.411884249184332 
nem 	 192.16591074642895 1.859422783274055 
zorog 	 26107.913992638212 0.411884249184332 
haraszt 	 26107.913992638212 0.411884249184332 
fujja 	 23083.71284385517 0.411884249184332 
szel 	 16521.423161720286 0.411884249184332 
jelre 	 26107.913992638212 0.411884249184332 
aztan 	 6630.663363267517 0.6830912376058277 
hatalom 	 12824.662596850916 0.411884249184332 
gazdijanak 	 26107.913992638212 0.411884249184332 
nepnek 	 7822.948458709461 0.6830912376058277 
dolga 	 17035.31054628909 0.411884249184332 
alaposan 	 6096.822476132069 0.8751799223391381 
utanajarjon 	 26107.913992638212 0.411884249184332 
dolognak 	 17617.90801230988 0.411884249184332 
ehhez 	 5864.088873130661 0.6830912376058277 
eloszor 	 11892.838797250486 0.411884249184332 
szabadjara 	 26107.913992638212 0.411884249184332 
ereszti 	 26107.913992638212 0.411884249184332 
kutyat 	 20059.51169507213 0.411884249184332 
eles 	 14917.039946033527 0.411884249184332 
szimataval 	 26107.913992638212 0.411884249184332 
megtalalja 	 21314.66857717925 0.411884249184332 
nagy 	 1650.9331776012195 1.2175654337863135 
ugatas 	 26107.913992638212 0.411884249184332 
kozepette 	 19085.936380688232 0.411884249184332 
napvilagra 	 10657.334288589625 0.6830912376058277 
uzze 	 26107.913992638212 0.411884249184332 
elrejtett 	 23083.71284385517 0.411884249184332 
problemat 	 17617.90801230988 0.411884249184332 
ismeretes 	 7458.519973016763 0.6830912376058277 
usa 	 3134.517193252096 0.8751799223391381 
elnok 	 2197.381649744601 1.1292119848345796 
hazastarsa 	 26107.913992638212 0.411884249184332 
hillary 	 2664.3335721474064 1.3495580413713906 
bill 	 9800.461448067877 0.411884249184332 
clinton 	 2040.3441884716876 1.2175654337863135 
korul 	 7146.345482614634 0.6830912376058277 
mar 	 799.7912183210698 1.5136480781415245 
joideje 	 23083.71284385517 0.411884249184332 
csak 	 612.5288405042423 1.6116252051197162 
ujsagirok 	 14292.690965229269 0.411884249184332 
hanem 	 715.2380667385078 1.5681237939189892 
uzleti 	 7296.853431763419 0.6830912376058277 
partneruket 	 26107.913992638212 0.411884249184332 
maris 	 1499.691334770805 1.4001535189979326 
sulyosan 	 7146.345482614634 0.6830912376058277 
elitelo 	 23083.71284385517 0.411884249184332 
birosagok 	 21314.66857717925 0.411884249184332 
kutatjak 	 26107.913992638212 0.411884249184332 
fel 	 2476.3997664018293 1.018364531226844 
azokat 	 6031.979384369126 0.6830912376058277 
torvenytelensegeket 	 26107.913992638212 0.411884249184332 
melyeket 	 18290.46742839621 0.411884249184332 
hozva 	 23083.71284385517 0.411884249184332 
demokraciaban 	 16061.735231905192 0.411884249184332 
valasztott 	 15266.266279613168 0.411884249184332 
magasrangu 	 26107.913992638212 0.411884249184332 
politikusoknak 	 18290.46742839621 0.411884249184332 
kell 	 890.9510407334433 1.4809097462689407 
mondaniuk 	 26107.913992638212 0.411884249184332 
vadak 	 26107.913992638212 0.411884249184332 
bizonyitekot 	 23083.71284385517 0.411884249184332 
nyernek 	 26107.913992638212 0.411884249184332 
igy 	 1400.065921152554 1.2896411338684333 
volt 	 1088.9401608964308 1.4001535189979326 
egy 	 362.98005363214355 1.750079952697149 
richard 	 12242.065130830126 0.411884249184332 
nixon 	 14593.706863526839 0.411884249184332 
akinek 	 12621.69576863588 0.411884249184332 
egyetlen 	 10595.9304003599 0.411884249184332 
igen 	 2746.727062180751 1.018364531226844 
apro 	 19085.936380688232 0.411884249184332 
hazugsaga 	 19085.936380688232 0.411884249184332 
miatt 	 5061.897265287283 0.6830912376058277 
kozoltek 	 8030.867615952596 0.6830912376058277 
vele 	 12621.69576863588 0.411884249184332 
harmadrangu 	 21314.66857717925 0.411884249184332 
betores 	 20059.51169507213 0.411884249184332 
tenyet 	 11541.856421927585 0.6830912376058277 
holott 	 14917.039946033527 0.411884249184332 
rabizonyitottak 	 26107.913992638212 0.411884249184332 
igenis 	 10029.755847536066 0.6830912376058277 
kellett 	 5708.201143203613 0.6830912376058277 
mondania 	 26107.913992638212 0.411884249184332 
mondott 	 6412.331298425458 0.6830912376058277 
joval 	 3816.566569903292 1.018364531226844 
ciklusanak 	 26107.913992638212 0.411884249184332 
betoltese 	 26107.913992638212 0.411884249184332 
elott 	 9905.599065607317 0.411884249184332 
amerika 	 18290.46742839621 0.411884249184332 
professzionalizmusanak 	 26107.913992638212 0.411884249184332 
megfeleloen 	 11892.838797250486 0.411884249184332 
kulon 	 13037.53408312215 0.411884249184332 
hatalmi 	 15645.896917418922 0.411884249184332 
csapat 	 17617.90801230988 0.411884249184332 
foglalkozik 	 7633.133139806584 0.6830912376058277 
hivatasszeruen 	 26107.913992638212 0.411884249184332 
altal 	 2530.9486326436413 1.018364531226844 
felpiszkalt 	 26107.913992638212 0.411884249184332 
karosodas 	 26107.913992638212 0.411884249184332 
elsimitasaval 	 26107.913992638212 0.411884249184332 
amit 	 1960.0922896135755 1.1292119848345796 
itt 	 2350.8878949390723 1.018364531226844 
szakszoval 	 26107.913992638212 0.411884249184332 
damage 	 13746.60417252094 0.411884249184332 
control 	 6148.449993427952 0.411884249184332 
karmentes 	 11541.856421927585 0.6830912376058277 
nek 	 5634.244908223113 0.6830912376058277 
neveznek 	 23083.71284385517 0.411884249184332 
ezeket 	 6213.876364269666 0.6830912376058277 
politologus 	 26107.913992638212 0.411884249184332 
public 	 1176.5500335778358 1.018364531226844 
relations 	 3881.4200471177132 0.6830912376058277 
szakembereket 	 26107.913992638212 0.411884249184332 
doctor 	 14011.109397506047 0.411884249184332 
oknak 	 21314.66857717925 0.411884249184332 
becezik 	 26107.913992638212 0.411884249184332 
akik 	 2476.3997664018293 1.018364531226844 
felada 	 26107.913992638212 0.411884249184332 
botrany 	 5353.911743968397 0.8751799223391381 
ciklonszeru 	 26107.913992638212 0.411884249184332 
kiterebelyesedesenek 	 26107.913992638212 0.411884249184332 
orvoslasa 	 26107.913992638212 0.411884249184332 
illetve 	 1808.7752503266595 1.2175654337863135 
megelozese 	 21314.66857717925 0.411884249184332 
nos 	 4864.568954508946 0.8751799223391381 
kleptokracia 	 20059.51169507213 0.411884249184332 
hatalmaskodoi 	 26107.913992638212 0.411884249184332 
ebben 	 3451.1597132571533 0.8751799223391381 
elkepesztoen 	 13053.956996319106 0.6830912376058277 
primitivek 	 26107.913992638212 0.411884249184332 
legfeljebb 	 14593.706863526839 0.411884249184332 
felcsersegrol 	 26107.913992638212 0.411884249184332 
lehet 	 1400.065921152554 1.2896411338684333 
beszelnunk 	 26107.913992638212 0.411884249184332 
alabb 	 10029.755847536066 0.6830912376058277 
latni 	 8030.867615952596 0.6830912376058277 
fogjuk 	 9145.233714198104 0.6830912376058277 
ugyetlen 	 26107.913992638212 0.411884249184332 
felcser 	 26107.913992638212 0.411884249184332 
kiterebelyesedeset 	 26107.913992638212 0.411884249184332 
csokkenteni 	 17617.90801230988 0.411884249184332 
kontrollalni 	 26107.913992638212 0.411884249184332 
tudnak 	 12824.662596850916 0.411884249184332 
szakerto 	 16521.423161720286 0.411884249184332 
kormanyzatuk 	 26107.913992638212 0.411884249184332 
eddigi 	 7822.948458709461 0.6830912376058277 
inkompetens 	 20059.51169507213 0.411884249184332 
iszonyu 	 19085.936380688232 0.411884249184332 
bakloveseit 	 26107.913992638212 0.411884249184332 
meg 	 362.98005363214355 1.750079952697149 
karmentesben 	 26107.913992638212 0.411884249184332 
rohejes 	 21314.66857717925 0.411884249184332 
mellefogasokkal 	 26107.913992638212 0.411884249184332 
teszik 	 14917.039946033527 0.411884249184332 
egyre 	 11268.489816446227 0.411884249184332 
katasztrofalisabba 	 26107.913992638212 0.411884249184332 
teljes 	 3531.9768001199664 0.8751799223391381 
terjedelemben 	 21314.66857717925 0.411884249184332 
utannyomjuk 	 26107.913992638212 0.411884249184332 
mind 	 4234.040655538035 0.6830912376058277 
mai 	 5361.201511868951 0.6830912376058277 
szombat 	 6096.822476132069 0.8751799223391381 
magyar 	 1225.0576810084847 1.3495580413713906 
hirek 	 5426.325750979979 0.6830912376058277 
nepszabadsag 	 5297.96520017995 0.6830912376058277 
cikket 	 7458.519973016763 0.6830912376058277 
mely 	 5708.201143203613 0.6830912376058277 
botrannyal 	 26107.913992638212 0.411884249184332 
nyilvanvalo 	 7458.519973016763 0.6830912376058277 
celzattal 	 26107.913992638212 0.411884249184332 
mig 	 2680.6007559344753 1.018364531226844 
nepszabi 	 11541.856421927585 0.6830912376058277 
primitiv 	 4011.902339014426 1.1292119848345796 
bolsevik 	 9145.233714198104 0.6830912376058277 
bunkoinak 	 26107.913992638212 0.411884249184332 
szinte 	 2892.376428685949 1.018364531226844 
allatkerti 	 26107.913992638212 0.411884249184332 
gyujtemenye 	 23083.71284385517 0.411884249184332 
maradt 	 11892.838797250486 0.411884249184332 
napig 	 17617.90801230988 0.411884249184332 
felcserseget 	 26107.913992638212 0.411884249184332 
szemenszedett 	 26107.913992638212 0.411884249184332 
hazudozassal 	 26107.913992638212 0.411884249184332 
gondoljak 	 17035.31054628909 0.411884249184332 
megvalosithatonak 	 26107.913992638212 0.411884249184332 
naluk 	 19085.936380688232 0.411884249184332 
sokkal 	 12824.662596850916 0.411884249184332 
rafinaltabb 	 26107.913992638212 0.411884249184332 
ravaszabb 	 26107.913992638212 0.411884249184332 
liberalisai 	 23083.71284385517 0.411884249184332 
sziberia 	 26107.913992638212 0.411884249184332 
metodust 	 26107.913992638212 0.411884249184332 
hasznaljak 	 19085.936380688232 0.411884249184332 
amikor 	 3266.820482689292 0.8751799223391381 
farkascsorda 	 26107.913992638212 0.411884249184332 
uldozi 	 23083.71284385517 0.411884249184332 
szant 	 16061.735231905192 0.411884249184332 
hosivatagban 	 26107.913992638212 0.411884249184332 
husdarabokat 	 26107.913992638212 0.411884249184332 
dobalnak 	 26107.913992638212 0.411884249184332 
hatra 	 17617.90801230988 0.411884249184332 
koncra 	 23083.71284385517 0.411884249184332 
rarohano 	 26107.913992638212 0.411884249184332 
farkasok 	 26107.913992638212 0.411884249184332 
leszakadjanak 	 26107.913992638212 0.411884249184332 
szantol 	 26107.913992638212 0.411884249184332 
mindjart 	 19085.936380688232 0.411884249184332 
oriasi 	 6873.30208626047 0.6830912376058277 
katasztrofa 	 18290.46742839621 0.411884249184332 
reszukre 	 26107.913992638212 0.411884249184332 
ket 	 1415.0855808010456 1.2896411338684333 
metodus 	 26107.913992638212 0.411884249184332 
otromba 	 5328.667144294813 1.018364531226844 
hazudozas 	 20059.51169507213 0.411884249184332 
szivarogtato 	 26107.913992638212 0.411884249184332 
bevallas 	 26107.913992638212 0.411884249184332 
egymassal 	 15645.896917418922 0.411884249184332 
kompatibilis 	 23083.71284385517 0.411884249184332 
ketfele 	 19085.936380688232 0.411884249184332 
bunbanda 	 23083.71284385517 0.411884249184332 
egymas 	 14292.690965229269 0.411884249184332 
torkanak 	 26107.913992638212 0.411884249184332 
esett 	 14593.706863526839 0.411884249184332 
szdsz 	 2530.9486326436413 1.018364531226844 
nyilvan 	 12824.662596850916 0.411884249184332 
presszionalta 	 26107.913992638212 0.411884249184332 
adjon 	 18290.46742839621 0.411884249184332 
magyarazatot 	 21314.66857717925 0.411884249184332 
lehoztak 	 23083.71284385517 0.411884249184332 
alabbi 	 6518.767041561075 0.6830912376058277 
hirlap 	 5361.201511868951 0.6830912376058277 
ujsagjukban 	 26107.913992638212 0.411884249184332 
tudva 	 21314.66857717925 0.411884249184332 
tudvan 	 23083.71284385517 0.411884249184332 
atlatszoan 	 26107.913992638212 0.411884249184332 
hazudozo 	 6096.822476132069 0.8751799223391381 
vedekezese 	 26107.913992638212 0.411884249184332 
olaj 	 9145.233714198104 0.6830912376058277 
lesz 	 9800.461448067877 0.411884249184332 
tuzre 	 26107.913992638212 0.411884249184332 
ezaltal 	 18290.46742839621 0.411884249184332 
sikerul 	 15266.266279613168 0.411884249184332 
bemartani 	 26107.913992638212 0.411884249184332 
hornt 	 23083.71284385517 0.411884249184332 
cafolja 	 20059.51169507213 0.411884249184332 
hazaval 	 13053.956996319106 0.6830912376058277 
kapcsolatos 	 4274.887532283638 0.8751799223391381 
vadakat 	 23083.71284385517 0.411884249184332 
junius 	 4420.442242178344 0.8751799223391381 
betu 	 7104.889525726416 0.8751799223391381 
szerinti 	 8517.655273144544 0.6830912376058277 
szoveg 	 7822.948458709461 0.6830912376058277 
munkatars 	 11541.856421927585 0.6830912376058277 
megjegyzeseivel 	 13053.956996319106 0.6830912376058277 
osszeallitas 	 26107.913992638212 0.411884249184332 
gyula 	 1706.1875962919983 1.2175654337863135 
miniszterelnok 	 1037.8547533097478 1.4809097462689407 
miniszterelnoki 	 15266.266279613168 0.411884249184332 
hivatal 	 13261.326726535033 0.411884249184332 
kommunikacios 	 20059.51169507213 0.411884249184332 
sajtoosztalya 	 26107.913992638212 0.411884249184332 
utjan 	 17617.90801230988 0.411884249184332 
tegnap 	 11728.177746261323 0.411884249184332 
nyilatkozatot 	 17617.90801230988 0.411884249184332 
juttatta 	 19085.936380688232 0.411884249184332 
tavirati 	 23083.71284385517 0.411884249184332 
irodahoz 	 26107.913992638212 0.411884249184332 
magyarorszag 	 3412.3751925839965 0.8751799223391381 
szamaban 	 13261.326726535033 0.411884249184332 
lakohazam 	 26107.913992638212 0.411884249184332 
epiteserol 	 26107.913992638212 0.411884249184332 
valotlan 	 20059.51169507213 0.411884249184332 
allitasokat 	 11541.856421927585 0.6830912376058277 
tett 	 5176.73956988573 0.6830912376058277 
kozze 	 21314.66857717925 0.411884249184332 
tehat 	 3531.9768001199664 0.8751799223391381 
behuzta 	 26107.913992638212 0.411884249184332 
csobe 	 26107.913992638212 0.411884249184332 
mivel 	 5176.73956988573 0.6830912376058277 
elismerte 	 18290.46742839621 0.411884249184332 
hazarol 	 21314.66857717925 0.411884249184332 
szo 	 5361.201511868951 0.6830912376058277 
valasztopolgarok 	 21314.66857717925 0.411884249184332 
iranti 	 15645.896917418922 0.411884249184332 
erkolcsi 	 7822.948458709461 0.6830912376058277 
kotelezettsegemnek 	 26107.913992638212 0.411884249184332 
erzem 	 20059.51169507213 0.411884249184332 
persze 	 2854.1005716018067 1.018364531226844 
petoek 	 20059.51169507213 0.411884249184332 
nyakamra 	 26107.913992638212 0.411884249184332 
tettek 	 11728.177746261323 0.411884249184332 
kest 	 26107.913992638212 0.411884249184332 
lap 	 5864.088873130661 0.6830912376058277 
hamis 	 16521.423161720286 0.411884249184332 
kozleset 	 18290.46742839621 0.411884249184332 
megcafoljam 	 26107.913992638212 0.411884249184332 
epitkezes 	 6096.822476132069 0.8751799223391381 
valos 	 16521.423161720286 0.411884249184332 
korulmenyeirol 	 23083.71284385517 0.411884249184332 
nyilvanos 	 8808.95400615494 0.6830912376058277 
tajekoztatast 	 19085.936380688232 0.411884249184332 
adjak 	 15645.896917418922 0.411884249184332 
szerint 	 700.032960576277 1.5681237939189892 
szazmillios 	 9542.968190344116 0.6830912376058277 
villat 	 21314.66857717925 0.411884249184332 
epittetett 	 23083.71284385517 0.411884249184332 
obudan 	 11541.856421927585 0.6830912376058277 
szerk 	 6213.876364269666 0.6830912376058277 
dom 	 10657.334288589625 0.6830912376058277 
megbizottjaval 	 26107.913992638212 0.411884249184332 
szerzodest 	 14011.109397506047 0.411884249184332 
kotottem 	 26107.913992638212 0.411884249184332 
ben 	 3199.164873284279 0.8751799223391381 
hattagu 	 23083.71284385517 0.411884249184332 
csaladom 	 13053.956996319106 0.6830912376058277 
tulajdonaban 	 20059.51169507213 0.411884249184332 
levo 	 6031.979384369126 0.6830912376058277 
belvarosi 	 23083.71284385517 0.411884249184332 
lakas 	 17617.90801230988 0.411884249184332 
ertekesitesere 	 26107.913992638212 0.411884249184332 
obudai 	 10657.334288589625 0.6830912376058277 
lakohaz 	 23083.71284385517 0.411884249184332 
felepitesere 	 23083.71284385517 0.411884249184332 
valamint 	 2588.369784942865 1.018364531226844 
kapcsolodo 	 5872.636004103293 0.8751799223391381 
feladatok 	 5353.911743968397 0.8751799223391381 
elvegzesere 	 26107.913992638212 0.411884249184332 
kezdi 	 16061.735231905192 0.411884249184332 
valami 	 6121.032565415063 0.6830912376058277 
furdalni 	 26107.913992638212 0.411884249184332 
kedves 	 7822.948458709461 0.6830912376058277 
olvaso 	 11125.427819469518 0.411884249184332 
oldalat 	 26107.913992638212 0.411884249184332 
vajh 	 23083.71284385517 0.411884249184332 
mik 	 21314.66857717925 0.411884249184332 
lehetnek 	 9145.233714198104 0.6830912376058277 
azok 	 5176.73956988573 0.6830912376058277 
amerikai 	 3574.1343412459664 0.8751799223391381 
parlamenti 	 3574.1343412459664 0.8751799223391381 
vizsgalatnal 	 26107.913992638212 0.411884249184332 
rogton 	 17617.90801230988 0.411884249184332 
lenne 	 3337.7776447797023 0.8751799223391381 
elso 	 5061.897265287283 0.6830912376058277 
kerdes 	 1496.145837736315 1.2896411338684333 
epulet 	 6096.822476132069 0.8751799223391381 
telek 	 11541.856421927585 0.6830912376058277 
arat 	 8808.95400615494 0.6830912376058277 
lakasok 	 10029.755847536066 0.6830912376058277 
ellenerteke 	 26107.913992638212 0.411884249184332 
csalad 	 7458.519973016763 0.6830912376058277 
kozos 	 11416.402286407227 0.411884249184332 
megtakaritasa 	 26107.913992638212 0.411884249184332 
fedezte 	 23083.71284385517 0.411884249184332 
huha 	 13053.956996319106 0.6830912376058277 
kemeny 	 16061.735231905192 0.411884249184332 
allitas 	 10657.334288589625 0.6830912376058277 
kategorikusan 	 26107.913992638212 0.411884249184332 
tagadja 	 21314.66857717925 0.411884249184332 
kozremukodo 	 11541.856421927585 0.6830912376058277 
vallalatok 	 16061.735231905192 0.411884249184332 
elonyt 	 9542.968190344116 0.6830912376058277 
juttattak 	 10029.755847536066 0.6830912376058277 
csaladnak 	 20059.51169507213 0.411884249184332 
mihelyst 	 17035.31054628909 0.411884249184332 
bebizonyosodik 	 26107.913992638212 0.411884249184332 
hornnak 	 9542.968190344116 0.6830912376058277 
mennie 	 21314.66857717925 0.411884249184332 
mas 	 2047.4251155503982 1.1292119848345796 
penzugyi 	 5493.454124361502 0.6830912376058277 
forrast 	 21314.66857717925 0.411884249184332 
vettem 	 10657.334288589625 0.6830912376058277 
igenybe 	 7458.519973016763 0.6830912376058277 
raduplaz 	 26107.913992638212 0.411884249184332 
bar 	 2797.4003792080616 0.8751799223391381 
egyaltalan 	 13037.53408312215 0.411884249184332 
zarja 	 21314.66857717925 0.411884249184332 
boven 	 20059.51169507213 0.411884249184332 
felajanlas 	 26107.913992638212 0.411884249184332 
lakohazzal 	 26107.913992638212 0.411884249184332 
hatosagi 	 21314.66857717925 0.411884249184332 
eljarasokban 	 26107.913992638212 0.411884249184332 
tartottam 	 20059.51169507213 0.411884249184332 
igenyt 	 5678.436848763029 0.8751799223391381 
kiveteles 	 23083.71284385517 0.411884249184332 
banasmodra 	 26107.913992638212 0.411884249184332 
megint 	 6873.30208626047 0.6830912376058277 
nyiltvahagyja 	 26107.913992638212 0.411884249184332 
tartott 	 12427.752728539332 0.411884249184332 
szivessegbol 	 26107.913992638212 0.411884249184332 
hatosag 	 20059.51169507213 0.411884249184332 
megis 	 5946.419398625243 0.6830912376058277 
adott 	 5426.325750979979 0.6830912376058277 
igenyles 	 26107.913992638212 0.411884249184332 
bun 	 18290.46742839621 0.411884249184332 
elfogadas 	 21314.66857717925 0.411884249184332 
eladasaval 	 23083.71284385517 0.411884249184332 
csaladi 	 14593.706863526839 0.411884249184332 
haz 	 2041.812995032753 1.2896411338684333 
epitesevel 	 23083.71284385517 0.411884249184332 
osszefuggo 	 19085.936380688232 0.411884249184332 
adozasi 	 26107.913992638212 0.411884249184332 
kotelezettsegeimnek 	 26107.913992638212 0.411884249184332 
maradektalanul 	 23083.71284385517 0.411884249184332 
eleget 	 17035.31054628909 0.411884249184332 
tettem 	 21314.66857717925 0.411884249184332 
hoci 	 26107.913992638212 0.411884249184332 
azokkal 	 17035.31054628909 0.411884249184332 
adopapirokkal 	 26107.913992638212 0.411884249184332 
ban 	 2503.3332335847767 1.018364531226844 
vezeto 	 12063.958768738252 0.411884249184332 
politikusok 	 7296.853431763419 0.6830912376058277 
minden 	 1960.0922896135755 1.1292119848345796 
cent 	 21314.66857717925 0.411884249184332 
adoja 	 26107.913992638212 0.411884249184332 
kozhirre 	 23083.71284385517 0.411884249184332 
teve 	 15266.266279613168 0.411884249184332 
tenyerol 	 23083.71284385517 0.411884249184332 
nyilvanossagot 	 20059.51169507213 0.411884249184332 
korabban 	 11728.177746261323 0.411884249184332 
tobbszor 	 13746.60417252094 0.411884249184332 
tajekoztattam 	 26107.913992638212 0.411884249184332 
igaz 	 5634.244908223113 0.6830912376058277 
senki 	 6121.032565415063 0.6830912376058277 
nehezmenyezi 	 23083.71284385517 0.411884249184332 
valaki 	 11125.427819469518 0.411884249184332 
ahhoz 	 11268.489816446227 0.411884249184332 
lopott 	 11541.856421927585 0.6830912376058277 
mondjuk 	 4670.369799168682 0.8751799223391381 
szazmillio 	 6361.978793562744 0.8751799223391381 
forintot 	 6031.979384369126 0.6830912376058277 
megjelent 	 3662.3027495743345 0.8751799223391381 
igaztalan 	 13053.956996319106 0.6830912376058277 
gyanusitgatasokat 	 26107.913992638212 0.411884249184332 
ragalmakat 	 21314.66857717925 0.411884249184332 
