term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 1257.9093309461405 1.3378899560717743 
eeeeeee 	 2598.819590704449 1.005134974884491 
zzzzzzz 	 5197.639181408898 0.6712389149128508 
tttttttnn 	 10395.278362817797 0.4032965405177328 
eeee 	 5197.639181408898 0.6712389149128508 
hazai 	 5315.561144416244 0.6712389149128508 
sajto 	 2785.9201655271954 1.005134974884491 
sajtokivonatok 	 15317.061416050929 0.4032965405177328 
napi 	 3807.923953795052 0.8621767293082767 
hetilapokbol 	 11423.771861385158 0.4032965405177328 
szent 	 3669.979795732737 0.8621767293082767 
hirek 	 3714.560220702927 0.8621767293082767 
sorok 	 11423.771861385158 0.4032965405177328 
kozt 	 3010.6713444448046 1.005134974884491 
olvaso 	 11423.771861385158 0.4032965405177328 
szabad 	 1142.428287005353 1.388982123563332 
velemenyeivel 	 14115.238756106764 0.4032965405177328 
tarkitva 	 14115.238756106764 0.4032965405177328 
magyar 	 628.9546654730702 1.6032762897267974 
nsz 	 1221.1762047142374 1.43275404011571 
nepszabadsag 	 10880.07522200604 0.4032965405177328 
hirlap 	 5504.969693599105 0.6712389149128508 
nszv 	 4070.587349047458 0.8621767293082767 
nepszava 	 11570.670267632157 0.4032965405177328 
esti 	 12211.762047142374 0.4032965405177328 
hvg 	 13168.574016477678 0.4032965405177328 
heti 	 4253.6734833720075 0.8621767293082767 
vilaggazdasag 	 6193.735421034537 0.6712389149128508 
gazdasag 	 3760.512564311946 0.8621767293082767 
copyright 	 3494.0845793745693 0.4032965405177328 
egyszer 	 2284.7543722770315 1.1161797992898868 
mar 	 469.2792846440383 1.6827509567540908 
megjelent 	 5640.768846467919 0.6712389149128508 
hetilap 	 12761.020450116022 0.4032965405177328 
anyagot 	 12960.16434643336 0.4032965405177328 
szabadon 	 12387.470842069073 0.4032965405177328 
utankozolhetonek 	 13387.153951956734 0.4032965405177328 
tart 	 5711.885930692579 0.6712389149128508 
kulfold 	 11879.7583318937 0.4032965405177328 
kulpolitika 	 6030.119023236936 0.8621767293082767 
moszkvaban 	 4373.034107688237 1.005134974884491 
kepzett 	 21886.25148424548 0.4032965405177328 
profikkal 	 26808.034537478616 0.4032965405177328 
gratulalunk 	 10298.717899830752 0.6712389149128508 
kulugyminiszter 	 14115.238756106764 0.4032965405177328 
szerint 	 359.4026659846116 1.7522379327157485 
megvalositasanak 	 23702.73516857006 0.4032965405177328 
modszereiben 	 26808.034537478616 0.4032965405177328 
soha 	 12387.470842069073 0.4032965405177328 
nem 	 127.38322338695093 1.9045522761917615 
volt 	 628.9546654730702 1.6032762897267974 
egyetertes 	 8482.234215506176 0.6712389149128508 
kormany 	 847.6026398869428 1.5038413684979888 
ellenzek 	 3292.1435041194195 1.005134974884491 
kozott 	 1017.1231678643314 1.43275404011571 
kovacs 	 6285.176688759909 0.6712389149128508 
laszlo 	 5571.840331054391 0.6712389149128508 
kulfoldre 	 16492.45332086529 0.4032965405177328 
akkreditalt 	 8936.01151249287 0.8621767293082767 
nagykovetek 	 13404.017268739308 0.6712389149128508 
tegnap 	 2408.537075555844 1.1161797992898868 
kezdodott 	 14985.057700802256 0.4032965405177328 
szokasos 	 16964.468431012352 0.4032965405177328 
evi 	 11722.54921913921 0.4032965405177328 
