term 	 tf-idf weight 	 BM25 ranking 
suspected 	 8208.44786705751 0.6616233284706579 
saved 	 10013.226764931323 0.6616233284706579 
life 	 1418.0402523347498 0.994315493696578 
mistakes 	 8667.783088970373 0.6616233284706579 
traveled 	 10013.226764931323 0.6616233284706579 
regret 	 12110.616250191264 0.6616233284706579 
decision 	 2036.3443703535288 0.994315493696578 
fully 	 5911.889339868305 0.6616233284706579 
translator 	 12110.616250191264 0.6616233284706579 
unfair 	 8937.388457587835 0.6616233284706579 
danger 	 4213.306434314804 0.994315493696578 
opportunity 	 2655.668769251109 0.994315493696578 
competitive 	 6839.998972327893 0.6616233284706579 
reasons 	 2517.6100372270394 0.994315493696578 
retrospect 	 13697.230146492979 0.6616233284706579 
waited 	 13697.230146492979 0.6616233284706579 
british 	 5625.390905646585 0.6616233284706579 
french 	 5559.038433743711 0.6616233284706579 
accompany 	 10013.226764931323 0.6616233284706579 
sarajevo 	 11182.506617731677 0.6616233284706579 
empty 	 10524.00235388955 0.6616233284706579 
eager 	 10524.00235388955 0.6616233284706579 
sunday 	 10524.00235388955 0.6616233284706579 
oct 	 4213.306434314804 0.994315493696578 
day 	 1589.5004047674513 0.994315493696578 
reached 	 6153.059560209069 0.6616233284706579 
running 	 3749.25161808501 0.994315493696578 
pattern 	 8426.612868629609 0.6616233284706579 
harassing 	 12110.616250191264 0.6616233284706579 
harming 	 11182.506617731677 0.6616233284706579 
western 	 2019.3885046724351 0.994315493696578 
civilians 	 10524.00235388955 0.6616233284706579 
hoped 	 10013.226764931323 0.6616233284706579 
calculated 	 8667.783088970373 0.6616233284706579 
worth 	 7212.0048019483 0.6616233284706579 
murdering 	 13697.230146492979 0.6616233284706579 
impunity 	 11182.506617731677 0.6616233284706579 
fail 	 7826.061067263521 0.6616233284706579 
prosecute 	 9595.89272142996 0.6616233284706579 
post 	 2262.2222427479264 0.994315493696578 
communist 	 2442.1211430893272 0.994315493696578 
labor 	 4933.46998992944 0.6616233284706579 
camp 	 7212.0048019483 0.6616233284706579 
sentences 	 8426.612868629609 0.6616233284706579 
writing 	 1628.0807620595517 1.194536662673621 
freely 	 3913.0305336317606 0.994315493696578 
lives 	 5559.038433743711 0.6616233284706579 
corruption 	 1682.0795716360158 1.3282708462615125 
armed 	 7212.0048019483 0.6616233284706579 
forces 	 2442.1211430893272 0.994315493696578 
organization 	 3346.8560936277254 0.6616233284706579 
corrupt 	 9243.041815305367 0.6616233284706579 
deliberately 	 9595.89272142996 0.6616233284706579 
hallmarks 	 13697.230146492979 0.6616233284706579 
killings 	 4797.94636071498 0.994315493696578 
category 	 6728.318286544063 0.6616233284706579 
murder 	 827.7292463444743 1.5963494650725263 
leads 	 2808.8709562098693 1.194536662673621 
entire 	 6153.059560209069 0.6616233284706579 
world 	 2537.903473685543 0.6616233284706579 
unsettling 	 12110.616250191264 0.6616233284706579 
attitude 	 5559.038433743711 0.6616233284706579 
despite 	 2955.9446699341524 0.994315493696578 
national 	 2608.8859055892635 0.6616233284706579 
celebrities 	 12110.616250191264 0.6616233284706579 
little 	 885.222923083703 1.4957244681284965 
effort 	 2994.7449958269704 0.994315493696578 
perpetrators 	 5591.253308865838 0.994315493696578 
investigation 	 332.3452339042923 1.7475023801905902 
begins 	 7350.77456128612 0.6616233284706579 
considerable 	 8667.783088970373 0.6616233284706579 
fanfare 	 13697.230146492979 0.6616233284706579 
fades 	 13697.230146492979 0.6616233284706579 
amid 	 9595.89272142996 0.6616233284706579 
signs 	 8009.278825128246 0.6616233284706579 
investigators 	 1599.31545357166 1.4957244681284965 
hampered 	 12110.616250191264 0.6616233284706579 
interference 	 8667.783088970373 0.6616233284706579 
official 	 1299.2159214517046 1.3282708462615125 
level 	 3397.1658111070024 0.6616233284706579 
presently 	 8937.388457587835 0.6616233284706579 
legitimate 	 7826.061067263521 0.6616233284706579 
private 	 4402.876095352225 0.6616233284706579 
business 	 2080.157283422749 0.6616233284706579 
controlled 	 2404.0016006494334 1.194536662673621 
pay 	 2491.8898537043583 0.994315493696578 
extortion 	 11182.506617731677 0.6616233284706579 
money 	 4325.27544356659 0.6616233284706579 
estimated 	 6153.059560209069 0.6616233284706579 
gangs 	 5591.253308865838 0.994315493696578 
mob 	 6055.308125095632 0.994315493696578 
bosses 	 12110.616250191264 0.6616233284706579 
illegal 	 6239.447170961807 0.6616233284706579 
organizations 	 4933.46998992944 0.6616233284706579 
ties 	 7826.061067263521 0.6616233284706579 
prevalence 	 9243.041815305367 0.6616233284706579 
investigative 	 2889.261029656791 1.194536662673621 
reason 	 5370.795426879282 0.6616233284706579 
simple 	 5989.489991653941 0.6616233284706579 
yevgenia 	 13697.230146492979 0.6616233284706579 
albats 	 13697.230146492979 0.6616233284706579 
izvestia 	 12110.616250191264 0.6616233284706579 
author 	 5911.889339868305 0.6616233284706579 
future 	 3474.7664628926364 0.6616233284706579 
deals 	 4983.779707408717 0.6616233284706579 
sensitive 	 7081.169192668658 0.6616233284706579 
issues 	 3179.0008095349026 0.6616233284706579 
easily 	 6957.409323180997 0.6616233284706579 
shod 	 13697.230146492979 0.6616233284706579 
muladjanov 	 13697.230146492979 0.6616233284706579 
editor 	 1152.832132996881 1.423919682599957 
moskovskaya 	 13697.230146492979 0.6616233284706579 
pravda 	 8208.44786705751 0.6616233284706579 
fight 	 7656.427919003652 0.6616233284706579 
hand 	 5559.038433743711 0.6616233284706579 
kremlin 	 8426.612868629609 0.6616233284706579 
industry 	 3610.2497895051038 0.6616233284706579 
enforcement 	 6422.664928826532 0.6616233284706579 
body 	 2442.1211430893272 0.994315493696578 
protects 	 8667.783088970373 0.6616233284706579 
dmitry 	 11182.506617731677 0.6616233284706579 
kholodov 	 1597.5009453902394 1.5516130759227629 
moskovski 	 4565.743382164326 1.194536662673621 
komsomolets 	 3198.63090714332 1.194536662673621 
moscow's 	 5262.001176944775 0.994315493696578 
daily 	 5196.8636858068185 0.6616233284706579 
entered 	 8667.783088970373 0.6616233284706579 
paper's 	 1863.7511029552793 1.4957244681284965 
offices 	 5370.795426879282 0.6616233284706579 
attache 	 6848.615073246489 0.994315493696578 
kazan 	 12110.616250191264 0.6616233284706579 
vadim 	 3727.5022059105586 1.194536662673621 
poegli 	 13697.230146492979 0.6616233284706579 
newspaper's 	 13697.230146492979 0.6616233284706579 
deputy 	 1970.6297799561016 1.194536662673621 
moments 	 11182.506617731677 0.6616233284706579 
gone 	 9595.89272142996 0.6616233284706579 
study 	 2777.1330410910723 0.6616233284706579 
briefcase 	 12110.616250191264 0.6616233284706579 
exploded 	 13697.230146492979 0.6616233284706579 
leaving 	 7212.0048019483 0.6616233284706579 
mortally 	 13697.230146492979 0.6616233284706579 
injured 	 4213.306434314804 0.994315493696578 
lower 	 5141.704390242349 0.6616233284706579 
shattered 	 13697.230146492979 0.6616233284706579 
force 	 2517.6100372270394 0.994315493696578 
blast 	 10524.00235388955 0.6616233284706579 
death 	 345.17147380848877 1.7114901151568864 
stunned 	 12110.616250191264 0.6616233284706579 
horrified 	 12110.616250191264 0.6616233284706579 
brazen 	 12110.616250191264 0.6616233284706579 
bomb 	 7826.061067263521 0.6616233284706579 
obviously 	 9243.041815305367 0.6616233284706579 
intended 	 1770.2922981671645 1.3282708462615125 
crowded 	 13697.230146492979 0.6616233284706579 
office 	 938.5648839674741 1.3282708462615125 
sheer 	 10524.00235388955 0.6616233284706579 
chance 	 6839.998972327893 0.6616233284706579 
prevented 	 4621.5209076526835 0.994315493696578 
people 	 335.2675196306894 1.5963494650725263 
aftermath 	 8009.278825128246 0.6616233284706579 
boris 	 3310.916985377897 0.994315493696578 
yeltsin 	 3034.9070113509683 0.994315493696578 
personally 	 8937.388457587835 0.6616233284706579 
supervise 	 10013.226764931323 0.6616233284706579 
attended 	 7826.061067263521 0.6616233284706579 
kholodov's 	 6848.615073246489 0.994315493696578 
funeral 	 9595.89272142996 0.6616233284706579 
speakers 	 7826.061067263521 0.6616233284706579 
prominent 	 6839.998972327893 0.6616233284706579 
denounced 	 12110.616250191264 0.6616233284706579 
attack 	 6728.318286544063 0.6616233284706579 
speech 	 5693.724338296205 0.6616233284706579 
months 	 830.6299512347862 1.4957244681284965 
progress 	 720.5200831230505 1.5963494650725263 
arresting 	 10524.00235388955 0.6616233284706579 
pavel 	 8937.388457587835 0.6616233284706579 
gusev 	 4565.743382164326 1.194536662673621 
cpj 	 1304.343511210587 1.4957244681284965 
thread 	 13697.230146492979 0.6616233284706579 
capable 	 3606.00240097415 0.994315493696578 
leading 	 3528.001420386645 0.6616233284706579 
journalist's 	 12110.616250191264 0.6616233284706579 
blocked 	 11182.506617731677 0.6616233284706579 
ranking 	 3198.63090714332 1.194536662673621 
virtually 	 4004.639412564123 0.994315493696578 
staff 	 1550.9444248866973 1.194536662673621 
prosecutor 	 1601.8557650256494 1.423919682599957 
discussing 	 7212.0048019483 0.6616233284706579 
proceeding 	 9595.89272142996 0.6616233284706579 
obligation 	 8208.44786705751 0.6616233284706579 
ignore 	 11182.506617731677 0.6616233284706579 
completely 	 7826.061067263521 0.6616233284706579 
inquiry 	 7350.77456128612 0.6616233284706579 
soon 	 5989.489991653941 0.6616233284706579 
paper 	 1313.4904307405227 0.994315493696578 
prepared 	 3310.916985377897 0.994315493696578 
knows 	 8426.612868629609 0.6616233284706579 
familiar 	 9243.041815305367 0.6616233284706579 
results 	 1986.212268720998 0.994315493696578 
event 	 6621.833970755794 0.6616233284706579 
untimely 	 13697.230146492979 0.6616233284706579 
plan 	 4142.057685701865 0.6616233284706579 
findings 	 6520.083886231155 0.6616233284706579 
immediately 	 3119.7235854809037 0.994315493696578 
underestimates 	 13697.230146492979 0.6616233284706579 
difficulty 	 8009.278825128246 0.6616233284706579 
bringing 	 3675.38728064306 0.994315493696578 
perpetrator 	 5262.001176944775 0.994315493696578 
yefimova 	 5591.253308865838 0.994315493696578 
killer 	 6055.308125095632 0.994315493696578 
dima 	 6848.615073246489 0.994315493696578 
trusted 	 10013.226764931323 0.6616233284706579 
explosion 	 11182.506617731677 0.6616233284706579 
tip 	 10013.226764931323 0.6616233284706579 
avoided 	 8937.388457587835 0.6616233284706579 
hiding 	 10524.00235388955 0.6616233284706579 
happened 	 8667.783088970373 0.6616233284706579 
stationed 	 13697.230146492979 0.6616233284706579 
germany 	 5196.8636858068185 0.6616233284706579 
fewer 	 4468.694228793917 0.994315493696578 
contacts 	 8426.612868629609 0.6616233284706579 
ground 	 3419.9994861639466 0.994315493696578 
colleagues 	 2608.687022421174 1.194536662673621 
sentiment 	 12110.616250191264 0.6616233284706579 
favor 	 6728.318286544063 0.6616233284706579 
public 	 1234.5280893237068 0.994315493696578 
dangers 	 7826.061067263521 0.6616233284706579 
reveal 	 8667.783088970373 0.6616233284706579 
guilty 	 7498.50323617002 0.6616233284706579 
alibis 	 13697.230146492979 0.6616233284706579 
services 	 3225.716716698735 0.6616233284706579 
helped 	 3913.0305336317606 0.994315493696578 
carry 	 6621.833970755794 0.6616233284706579 
disappear 	 12110.616250191264 0.6616233284706579 
rufa 	 5262.001176944775 0.994315493696578 
radio 	 4983.779707408717 0.6616233284706579 
focus 	 2747.2776481834717 0.994315493696578 
weekly 	 3749.25161808501 0.994315493696578 
outside 	 1810.613014816783 1.194536662673621 
height 	 8937.388457587835 0.6616233284706579 
hostage 	 4333.891544485186 0.994315493696578 
crisis 	 2304.615978186086 0.994315493696578 
slow 	 7350.77456128612 0.6616233284706579 
inconclusive 	 13697.230146492979 0.6616233284706579 
seemingly 	 10013.226764931323 0.6616233284706579 
shield 	 10524.00235388955 0.6616233284706579 
solve 	 8667.783088970373 0.6616233284706579 
alyakina's 	 6848.615073246489 0.994315493696578 
husband 	 4213.306434314804 0.994315493696578 
gisbert 	 13697.230146492979 0.6616233284706579 
mrozek 	 1369.723014649298 1.6634965940774662 
riding 	 12110.616250191264 0.6616233284706579 
wife 	 2450.258187095373 1.194536662673621 
mineralnaya 	 13697.230146492979 0.6616233284706579 
voda 	 13697.230146492979 0.6616233284706579 
cover 	 5431.839044450349 0.6616233284706579 
driven 	 4468.694228793917 0.994315493696578 
vladimir 	 6728.318286544063 0.6616233284706579 
martirosian 	 4565.743382164326 1.194536662673621 
stopped 	 8937.388457587835 0.6616233284706579 
meters 	 8208.44786705751 0.6616233284706579 
soldiers' 	 13697.230146492979 0.6616233284706579 
hostility 	 10013.226764931323 0.6616233284706579 
passed 	 6153.059560209069 0.6616233284706579 
incident 	 7498.50323617002 0.6616233284706579 
duty 	 6153.059560209069 0.6616233284706579 
looked 	 8937.388457587835 0.6616233284706579 
words 	 6153.059560209069 0.6616233284706579 
happy 	 9243.041815305367 0.6616233284706579 
journey 	 8208.44786705751 0.6616233284706579 
driving 	 8009.278825128246 0.6616233284706579 
direction 	 3211.332464413266 0.994315493696578 
shots 	 5006.613382465662 0.994315493696578 
rang 	 13697.230146492979 0.6616233284706579 
bleeding 	 13697.230146492979 0.6616233284706579 
neck 	 12110.616250191264 0.6616233284706579 
wound 	 11182.506617731677 0.6616233284706579 
slumped 	 13697.230146492979 0.6616233284706579 
dying 	 8667.783088970373 0.6616233284706579 
leave 	 7081.169192668658 0.6616233284706579 
son 	 7212.0048019483 0.6616233284706579 
artyem 	 13697.230146492979 0.6616233284706579 
love 	 5911.889339868305 0.6616233284706579 
lost 	 5989.489991653941 0.6616233284706579 
consciousness 	 7212.0048019483 0.6616233284706579 
minute 	 8009.278825128246 0.6616233284706579 
shouting 	 13697.230146492979 0.6616233284706579 
kill 	 2889.261029656791 1.194536662673621 
armored 	 3727.5022059105586 1.194536662673621 
arrived 	 8426.612868629609 0.6616233284706579 
vehicle 	 3076.5297801045344 0.994315493696578 
hit 	 2808.8709562098693 1.194536662673621 
hospital 	 5764.160664984404 0.6616233284706579 
seriously 	 4004.639412564123 0.994315493696578 
watched 	 11182.506617731677 0.6616233284706579 
dismay 	 12110.616250191264 0.6616233284706579 
investigated 	 3198.63090714332 1.194536662673621 
manner 	 5625.390905646585 0.6616233284706579 
demonstrates 	 4004.639412564123 0.994315493696578 
indifference 	 12110.616250191264 0.6616233284706579 
incompetence 	 12110.616250191264 0.6616233284706579 
struck 	 4621.5209076526835 0.994315493696578 
rear 	 12110.616250191264 0.6616233284706579 
window 	 5262.001176944775 0.994315493696578 
glass 	 8667.783088970373 0.6616233284706579 
thrown 	 12110.616250191264 0.6616233284706579 
machine 	 1367.9997944655788 1.423919682599957 
gun 	 1685.3225737259218 1.423919682599957 
fired 	 1914.106979750913 1.3282708462615125 
fatal 	 4797.94636071498 0.994315493696578 
fixed 	 7081.169192668658 0.6616233284706579 
photographs 	 11182.506617731677 0.6616233284706579 
scene 	 3310.916985377897 0.994315493696578 
sept 	 12110.616250191264 0.6616233284706579 
dual 	 8667.783088970373 0.6616233284706579 
citizenship 	 8009.278825128246 0.6616233284706579 
assigned 	 8208.44786705751 0.6616233284706579 
col 	 8426.612868629609 0.6616233284706579 
andrei 	 8937.388457587835 0.6616233284706579 
kondratkov 	 13697.230146492979 0.6616233284706579 
relatives 	 4213.306434314804 0.994315493696578 
enactment 	 2398.97318035749 1.3282708462615125 
shooting 	 2795.626654432919 1.3282708462615125 
sergei 	 3606.00240097415 0.994315493696578 
fedotov 	 2422.123250038253 1.423919682599957 
claimed 	 6957.409323180997 0.6616233284706579 
inadvertent 	 13697.230146492979 0.6616233284706579 
accidentally 	 11182.506617731677 0.6616233284706579 
activated 	 10524.00235388955 0.6616233284706579 
foot 	 2808.8709562098693 1.194536662673621 
climbing 	 12110.616250191264 0.6616233284706579 
personnel 	 5370.795426879282 0.6616233284706579 
carrier 	 8937.388457587835 0.6616233284706579 
climbed 	 13697.230146492979 0.6616233284706579 
touched 	 12110.616250191264 0.6616233284706579 
trigger 	 12110.616250191264 0.6616233284706579 
requested 	 8208.44786705751 0.6616233284706579 
weapon 	 8426.612868629609 0.6616233284706579 
double 	 7498.50323617002 0.6616233284706579 
lever 	 13697.230146492979 0.6616233284706579 
specifically 	 5196.8636858068185 0.6616233284706579 
prevent 	 5764.160664984404 0.6616233284706579 
accidental 	 9595.89272142996 0.6616233284706579 
firing 	 4797.94636071498 0.994315493696578 
safety 	 5196.8636858068185 0.6616233284706579 
demonstration 	 4333.891544485186 0.994315493696578 
transferred 	 8208.44786705751 0.6616233284706579 
training 	 4933.46998992944 0.6616233284706579 
field 	 2394.426742058877 0.994315493696578 
officer 	 3478.7046615904983 0.994315493696578 
succeeded 	 10013.226764931323 0.6616233284706579 
question 	 4483.200126400222 0.6616233284706579 
perform 	 6839.998972327893 0.6616233284706579 
complicated 	 8426.612868629609 0.6616233284706579 
maneuver 	 10524.00235388955 0.6616233284706579 
performance 	 5141.704390242349 0.6616233284706579 
convince 	 10013.226764931323 0.6616233284706579 
recruit 	 12110.616250191264 0.6616233284706579 
accident 	 3828.213959501826 0.994315493696578 
widower 	 11182.506617731677 0.6616233284706579 
psychologist's 	 13697.230146492979 0.6616233284706579 
testimony 	 7826.061067263521 0.6616233284706579 
plausibility 	 12110.616250191264 0.6616233284706579 
soldier's 	 13697.230146492979 0.6616233284706579 
story 	 5253.3850760261785 0.6616233284706579 
joke 	 12110.616250191264 0.6616233284706579 
cars 	 8009.278825128246 0.6616233284706579 
internal 	 2543.921540835207 0.994315493696578 
troops 	 6621.833970755794 0.6616233284706579 
passengers 	 9595.89272142996 0.6616233284706579 
hatred 	 8667.783088970373 0.6616233284706579 
caring 	 9595.89272142996 0.6616233284706579 
executive 	 2747.2776481834717 0.994315493696578 
director 	 1810.613014816783 1.194536662673621 
formed 	 6520.083886231155 0.6616233284706579 
ort 	 2608.687022421174 1.194536662673621 
opinion 	 6153.059560209069 0.6616233284706579 
center 	 3555.0904939406337 0.6616233284706579 
apparently 	 8426.612868629609 0.6616233284706579 
connected 	 3749.25161808501 0.994315493696578 
role 	 3001.1249444096757 0.6616233284706579 
reorganization 	 10013.226764931323 0.6616233284706579 
owned 	 7081.169192668658 0.6616233284706579 
ostankino 	 3424.3075366232447 1.3282708462615125 
company 	 1416.7398463749214 1.194536662673621 
joint 	 5764.160664984404 0.6616233284706579 
stock 	 6153.059560209069 0.6616233284706579 
venture 	 8426.612868629609 0.6616233284706579 
widespread 	 8667.783088970373 0.6616233284706579 
fears 	 11182.506617731677 0.6616233284706579 
finding 	 2242.7727621813547 1.194536662673621 
killers 	 2631.0005884723873 1.3282708462615125 
reconstituted 	 13697.230146492979 0.6616233284706579 
decree 	 8426.612868629609 0.6616233284706579 
granted 	 8426.612868629609 0.6616233284706579 
percent 	 3164.6116916848337 0.994315493696578 
shares 	 3913.0305336317606 0.994315493696578 
banks 	 7350.77456128612 0.6616233284706579 
named 	 6957.409323180997 0.6616233284706579 
transition 	 6839.998972327893 0.6616233284706579 
set 	 3397.1658111070024 0.6616233284706579 
april 	 2394.426742058877 0.994315493696578 
provided 	 2626.6925380130892 0.994315493696578 
examination 	 3501.2291853686997 0.6616233284706579 
aspects 	 4325.27544356659 0.6616233284706579 
station's 	 6055.308125095632 0.994315493696578 
operation 	 5431.839044450349 0.6616233284706579 
listyev's 	 4565.743382164326 1.194536662673621 
acts 	 6520.083886231155 0.6616233284706579 
suspension 	 4797.94636071498 0.994315493696578 
advertising 	 977.1427103325562 1.5516130759227629 
evaluation 	 4836.051032524817 0.6616233284706579 
policies 	 4287.439871400269 0.6616233284706579 
overdue 	 10524.00235388955 0.6616233284706579 
brokered 	 12110.616250191264 0.6616233284706579 
mafia 	 10524.00235388955 0.6616233284706579 
intermediary 	 13697.230146492979 0.6616233284706579 
firms 	 6728.318286544063 0.6616233284706579 
sold 	 7212.0048019483 0.6616233284706579 
vastly 	 9243.041815305367 0.6616233284706579 
inflated 	 12110.616250191264 0.6616233284706579 
prices 	 6329.223383369667 0.6616233284706579 
channel 	 8009.278825128246 0.6616233284706579 
reaching 	 7212.0048019483 0.6616233284706579 
extremely 	 7350.77456128612 0.6616233284706579 
attractive 	 9595.89272142996 0.6616233284706579 
advertisers 	 11182.506617731677 0.6616233284706579 
value 	 4325.27544356659 0.6616233284706579 
month 	 2779.5192168718554 0.994315493696578 
slots 	 13697.230146492979 0.6616233284706579 
booked 	 12110.616250191264 0.6616233284706579 
raised 	 6957.409323180997 0.6616233284706579 
prospect 	 9595.89272142996 0.6616233284706579 
massive 	 7656.427919003652 0.6616233284706579 
losses 	 7498.50323617002 0.6616233284706579 
nation's 	 8667.783088970373 0.6616233284706579 
syndicates 	 13697.230146492979 0.6616233284706579 
bankruptcy 	 8667.783088970373 0.6616233284706579 
agencies 	 5087.843081670414 0.6616233284706579 
effect 	 3610.2497895051038 0.6616233284706579 
believed 	 6839.998972327893 0.6616233284706579 
obvious 	 2808.8709562098693 1.194536662673621 
follow 	 2994.7449958269704 0.994315493696578 
believe 	 1477.9723349670762 1.3282708462615125 
uvarov 	 4565.743382164326 1.194536662673621 
senior 	 6153.059560209069 0.6616233284706579 
investigator 	 10524.00235388955 0.6616233284706579 
affairs 	 2715.9195222251747 0.994315493696578 
ministry 	 6621.833970755794 0.6616233284706579 
failing 	 7212.0048019483 0.6616233284706579 
superiors 	 13697.230146492979 0.6616233284706579 
ups 	 7826.061067263521 0.6616233284706579 
prosecutor's 	 3727.5022059105586 1.194536662673621 
sanction 	 12110.616250191264 0.6616233284706579 
arrest 	 3419.9994861639466 0.994315493696578 
employee 	 3211.332464413266 0.994315493696578 
federal 	 4072.6887407070576 0.6616233284706579 
security 	 3972.424537441996 0.6616233284706579 
fsb 	 4797.94636071498 0.994315493696578 
refused 	 7350.77456128612 0.6616233284706579 
involving 	 6069.814022701937 0.6616233284706579 
alexei 	 13697.230146492979 0.6616233284706579 
ilyushenko 	 13697.230146492979 0.6616233284706579 
hampering 	 12110.616250191264 0.6616233284706579 
effectiveness 	 5494.555296366943 0.6616233284706579 
probe 	 5262.001176944775 0.994315493696578 
rumors 	 4621.5209076526835 0.994315493696578 
arrests 	 11182.506617731677 0.6616233284706579 
printed 	 9595.89272142996 0.6616233284706579 
quoting 	 11182.506617731677 0.6616233284706579 
competent 	 8208.44786705751 0.6616233284706579 
sources 	 2663.605642823049 0.6616233284706579 
originate 	 11182.506617731677 0.6616233284706579 
distract 	 13697.230146492979 0.6616233284706579 
attention 	 4884.2422861786545 0.6616233284706579 
lack 	 4983.779707408717 0.6616233284706579 
muddle 	 13697.230146492979 0.6616233284706579 
addition 	 5087.843081670414 0.6616233284706579 
known 	 2088.773384341345 0.994315493696578 
sign 	 6153.059560209069 0.6616233284706579 
feb 	 4468.694228793917 0.994315493696578 
viatcheslav 	 12110.616250191264 0.6616233284706579 
rudnev 	 2422.123250038253 1.423919682599957 
kaluga 	 6848.615073246489 0.994315493696578 
underworld 	 6055.308125095632 0.994315493696578 
fractured 	 13697.230146492979 0.6616233284706579 
skull 	 12110.616250191264 0.6616233284706579 
entryway 	 13697.230146492979 0.6616233284706579 
lived 	 7350.77456128612 0.6616233284706579 
died 	 4213.306434314804 0.994315493696578 
established 	 5494.555296366943 0.6616233284706579 
drinking 	 8426.612868629609 0.6616233284706579 
evening 	 8667.783088970373 0.6616233284706579 
brief 	 4442.685794419694 0.6616233284706579 
ruled 	 8208.44786705751 0.6616233284706579 
stairway 	 13697.230146492979 0.6616233284706579 
version 	 5196.8636858068185 0.6616233284706579 
events 	 4213.59475778276 0.6616233284706579 
leaves 	 7350.77456128612 0.6616233284706579 
unanswered 	 11182.506617731677 0.6616233284706579 
questions 	 3695.564012195967 0.6616233284706579 
learn 	 6239.447170961807 0.6616233284706579 
threats 	 2499.50107872334 1.194536662673621 
reported 	 2348.6406365934986 0.994315493696578 
bottom 	 7826.061067263521 0.6616233284706579 
stairwell 	 13697.230146492979 0.6616233284706579 
look 	 3666.771179724464 0.6616233284706579 
fallen 	 8208.44786705751 0.6616233284706579 
dubov 	 4565.743382164326 1.194536662673621 
publisher 	 5006.613382465662 0.994315493696578 
vsyo 	 13697.230146492979 0.6616233284706579 
dlya 	 13697.230146492979 0.6616233284706579 
vas 	 11182.506617731677 0.6616233284706579 
front 	 5559.038433743711 0.6616233284706579 
preceded 	 12110.616250191264 0.6616233284706579 
complete 	 5087.843081670414 0.6616233284706579 
aleksandr 	 7081.169192668658 0.6616233284706579 
solzhenitsyn 	 11182.506617731677 0.6616233284706579 
created 	 4250.219539124764 0.6616233284706579 
house 	 2053.555220997245 0.994315493696578 
association 	 4442.685794419694 0.6616233284706579 
affiliation 	 10524.00235388955 0.6616233284706579 
magazine's 	 11182.506617731677 0.6616233284706579 
correspondents 	 10013.226764931323 0.6616233284706579 
infrastructure 	 7656.427919003652 0.6616233284706579 
variety 	 4788.853484117754 0.6616233284706579 
ventures 	 8208.44786705751 0.6616233284706579 
difficulties 	 6422.664928826532 0.6616233284706579 
unable 	 6728.318286544063 0.6616233284706579 
rent 	 10524.00235388955 0.6616233284706579 
salaries 	 8937.388457587835 0.6616233284706579 
tell 	 6957.409323180997 0.6616233284706579 
vice 	 6621.833970755794 0.6616233284706579 
presidents 	 8667.783088970373 0.6616233284706579 
cashed 	 13697.230146492979 0.6616233284706579 
identity 	 6728.318286544063 0.6616233284706579 
dubov's 	 4565.743382164326 1.194536662673621 
tangled 	 13697.230146492979 0.6616233284706579 
solving 	 7826.061067263521 0.6616233284706579 
alexander 	 7656.427919003652 0.6616233284706579 
pumpiansky 	 13697.230146492979 0.6616233284706579 
friend 	 7081.169192668658 0.6616233284706579 
briefly 	 9595.89272142996 0.6616233284706579 
accused 	 5989.489991653941 0.6616233284706579 
manipulations 	 10013.226764931323 0.6616233284706579 
freed 	 10013.226764931323 0.6616233284706579 
yuri 	 12110.616250191264 0.6616233284706579 
soltis 	 12110.616250191264 0.6616233284706579 
interfax 	 10524.00235388955 0.6616233284706579 
agency 	 4836.051032524817 0.6616233284706579 
beaten 	 3081.0139384351223 1.194536662673621 
train 	 8667.783088970373 0.6616233284706579 
stroitel 	 13697.230146492979 0.6616233284706579 
district 	 5764.160664984404 0.6616233284706579 
outskirts 	 12110.616250191264 0.6616233284706579 
badly 	 10524.00235388955 0.6616233284706579 
identify 	 6957.409323180997 0.6616233284706579 
soltis' 	 13697.230146492979 0.6616233284706579 
linked 	 7498.50323617002 0.6616233284706579 
investigations 	 6957.409323180997 0.6616233284706579 
suspects 	 5262.001176944775 0.994315493696578 
alferyev 	 6055.308125095632 0.994315493696578 
segodnyashnyaya 	 13697.230146492979 0.6616233284706579 
gazeta 	 8667.783088970373 0.6616233284706579 
siberian 	 12110.616250191264 0.6616233284706579 
industrial 	 4524.444485495853 0.6616233284706579 
krasnoyarsk 	 13697.230146492979 0.6616233284706579 
entrance 	 8667.783088970373 0.6616233284706579 
failure 	 5035.220074454079 0.6616233284706579 
vigorously 	 13697.230146492979 0.6616233284706579 
reality 	 5911.889339868305 0.6616233284706579 
epoch 	 13697.230146492979 0.6616233284706579 
desist 	 13697.230146492979 0.6616233284706579 
party 	 4177.54676868269 0.6616233284706579 
restrained 	 13697.230146492979 0.6616233284706579 
uncover 	 10524.00235388955 0.6616233284706579 
trail 	 10013.226764931323 0.6616233284706579 
figures 	 5989.489991653941 0.6616233284706579 
murderers 	 6055.308125095632 0.994315493696578 
prosecuted 	 8937.388457587835 0.6616233284706579 
gangsters 	 13697.230146492979 0.6616233284706579 
rest 	 7081.169192668658 0.6616233284706579 
invulnerability 	 13697.230146492979 0.6616233284706579 
disguise 	 10013.226764931323 0.6616233284706579 
identities 	 11182.506617731677 0.6616233284706579 
lithuania 	 9243.041815305367 0.6616233284706579 
vitas 	 9595.89272142996 0.6616233284706579 
lingis 	 13697.230146492979 0.6616233284706579 
respublika 	 12110.616250191264 0.6616233284706579 
activities 	 4107.11044199449 0.6616233284706579 
lithuanian 	 10524.00235388955 0.6616233284706579 
requires 	 5836.833435426479 0.6616233284706579 
