term 	 tf-idf weight 	 BM25 ranking 
murders 	 2234.3471143969587 1.3282708462615125 
left 	 996.7559414817434 1.423919682599957 
appeared 	 2450.258187095373 1.194536662673621 
november 	 1373.6388240917358 1.3282708462615125 
dec 	 3828.213959501826 0.994315493696578 
mohyedin 	 13697.230146492979 0.6616233284706579 
alempour 	 13697.230146492979 0.6616233284706579 
head 	 1271.9607704176035 1.3282708462615125 
bbc's 	 13697.230146492979 0.6616233284706579 
persian 	 10524.00235388955 0.6616233284706579 
service 	 1158.2554876308789 1.194536662673621 
bureau 	 7212.0048019483 0.6616233284706579 
killed 	 601.9849064323449 1.6893360178850079 
dushanbe 	 13697.230146492979 0.6616233284706579 
single 	 4933.46998992944 0.6616233284706579 
uzbekistan 	 10524.00235388955 0.6616233284706579 
censors 	 13697.230146492979 0.6616233284706579 
operating 	 5989.489991653941 0.6616233284706579 
committee 	 1596.2844947059182 1.194536662673621 
eliminated 	 10524.00235388955 0.6616233284706579 
critical 	 2241.600063200111 0.994315493696578 
articles 	 1810.613014816783 1.194536662673621 
screened 	 12110.616250191264 0.6616233284706579 
newspapers 	 1739.3523307952491 1.3282708462615125 
interpreted 	 8426.612868629609 0.6616233284706579 
anti 	 4442.685794419694 0.6616233284706579 
regime 	 7656.427919003652 0.6616233284706579 
caucasus 	 10524.00235388955 0.6616233284706579 
region 	 1050.6770152052356 1.423919682599957 
frequently 	 5911.889339868305 0.6616233284706579 
subject 	 2023.6358932033886 0.6616233284706579 
prior 	 5370.795426879282 0.6616233284706579 
censorship 	 3913.0305336317606 0.994315493696578 
circulation 	 8937.388457587835 0.6616233284706579 
newspaper 	 724.453765136795 1.6329688398347026 
low 	 4524.444485495853 0.6616233284706579 
publication 	 1837.69364032153 1.3282708462615125 
censored 	 11182.506617731677 0.6616233284706579 
advance 	 3478.7046615904983 0.994315493696578 
contents 	 2812.6954528232927 0.994315493696578 
monitored 	 10013.226764931323 0.6616233284706579 
carefully 	 8208.44786705751 0.6616233284706579 
azerbaijan 	 12110.616250191264 0.6616233284706579 
chesme 	 13697.230146492979 0.6616233284706579 
satirical 	 9595.89272142996 0.6616233284706579 
limited 	 4836.051032524817 0.6616233284706579 
print 	 2242.7727621813547 1.194536662673621 
run 	 2626.6925380130892 0.994315493696578 
arrested 	 1180.1948654447763 1.4957244681284965 
sentenced 	 4213.306434314804 0.994315493696578 
jail 	 7212.0048019483 0.6616233284706579 
terms 	 4107.11044199449 0.6616233284706579 
insulting 	 12110.616250191264 0.6616233284706579 
dignity 	 10013.226764931323 0.6616233284706579 
president 	 775.2736971408624 1.423919682599957 
geidar 	 13697.230146492979 0.6616233284706579 
aliyev 	 13697.230146492979 0.6616233284706579 
publishing 	 1499.700647234004 1.423919682599957 
caricatures 	 13697.230146492979 0.6616233284706579 
european 	 4325.27544356659 0.6616233284706579 
physical 	 4325.27544356659 0.6616233284706579 
attacks 	 3828.213959501826 0.994315493696578 
exposed 	 10013.226764931323 0.6616233284706579 
belarus 	 8208.44786705751 0.6616233284706579 
instance 	 7498.50323617002 0.6616233284706579 
continued 	 2626.6925380130892 0.994315493696578 
appear 	 6520.083886231155 0.6616233284706579 
blank 	 10524.00235388955 0.6616233284706579 
spaces 	 11182.506617731677 0.6616233284706579 
deprived 	 13697.230146492979 0.6616233284706579 
printing 	 9595.89272142996 0.6616233284706579 
rights 	 702.9833719647506 1.194536662673621 
facilities 	 5911.889339868305 0.6616233284706579 
romania 	 6069.814022701937 0.6616233284706579 
proceedings 	 7656.427919003652 0.6616233284706579 
started 	 3478.7046615904983 0.994315493696578 
connection 	 3364.1591432720315 0.994315493696578 
alleged 	 7498.50323617002 0.6616233284706579 
ion 	 7498.50323617002 0.6616233284706579 
iliescu 	 7350.77456128612 0.6616233284706579 
recruited 	 12110.616250191264 0.6616233284706579 
kgb 	 3675.38728064306 0.994315493696578 
agent 	 6239.447170961807 0.6616233284706579 
student 	 5370.795426879282 0.6616233284706579 
moscow 	 665.4988879615489 1.6329688398347026 
albania 	 10013.226764931323 0.6616233284706579 
monthly 	 3606.00240097415 0.994315493696578 
humor 	 9595.89272142996 0.6616233284706579 
magazine 	 1770.2922981671645 1.3282708462615125 
hostini 	 13697.230146492979 0.6616233284706579 
halted 	 13697.230146492979 0.6616233284706579 
secret 	 6329.223383369667 0.6616233284706579 
police 	 937.5651509410976 1.4957244681284965 
learned 	 8009.278825128246 0.6616233284706579 
preparing 	 7826.061067263521 0.6616233284706579 
publish 	 8937.388457587835 0.6616233284706579 
caricature 	 13697.230146492979 0.6616233284706579 
sali 	 11182.506617731677 0.6616233284706579 
berisha 	 11182.506617731677 0.6616233284706579 
yugoslavia 	 3540.584596334329 0.994315493696578 
croatian 	 5591.253308865838 0.994315493696578 
serb 	 820.844786705751 1.6634965940774662 
bureaucratic 	 8937.388457587835 0.6616233284706579 
means 	 2053.555220997245 0.994315493696578 
bosnia 	 2002.3197062820616 1.3282708462615125 
land 	 5196.8636858068185 0.6616233284706579 
mines 	 10524.00235388955 0.6616233284706579 
cross 	 3119.7235854809037 0.994315493696578 
fire 	 2140.888309608844 1.194536662673621 
result 	 1369.0368139981636 1.194536662673621 
deliberate 	 10524.00235388955 0.6616233284706579 
targeting 	 10013.226764931323 0.6616233284706579 
captured 	 4468.694228793917 0.994315493696578 
hostages 	 10013.226764931323 0.6616233284706579 
bosnian 	 565.4441970220091 1.7306948292291742 
fighters 	 10524.00235388955 0.6616233284706579 
coordinator 	 3081.0139384351223 1.194536662673621 
financial 	 640.8708580247725 1.4957244681284965 
times 	 532.1033774572147 1.5516130759227629 
london 	 3675.38728064306 0.994315493696578 
written 	 630.124136423194 1.3282708462615125 
widely 	 2319.1364410603323 1.194536662673621 
fluent 	 4565.743382164326 1.194536662673621 
book 	 1231.854670731989 1.194536662673621 
age 	 4442.685794419694 0.6616233284706579 
delirium 	 13697.230146492979 0.6616233284706579 
decline 	 6839.998972327893 0.6616233284706579 
published 	 2715.9195222251747 0.994315493696578 
spring 	 7350.77456128612 0.6616233284706579 
alfred 	 7656.427919003652 0.6616233284706579 
knopf 	 13697.230146492979 0.6616233284706579 
amanda 	 13697.230146492979 0.6616233284706579 
onion 	 12110.616250191264 0.6616233284706579 
research 	 1313.4904307405227 0.994315493696578 
associate 	 4621.5209076526835 0.994315493696578 
researched 	 5262.001176944775 0.994315493696578 
wrote 	 2552.142639667884 1.194536662673621 
majority 	 5693.724338296205 0.6616233284706579 
summaries 	 9243.041815305367 0.6616233284706579 
previously 	 7081.169192668658 0.6616233284706579 
journalist 	 1874.625809042505 1.3282708462615125 
york 	 1892.0907652887836 0.994315493696578 
master's 	 10013.226764931323 0.6616233284706579 
degree 	 6069.814022701937 0.6616233284706579 
journalism 	 2669.7596083760823 1.194536662673621 
columbia 	 7826.061067263521 0.6616233284706579 
university 	 5494.555296366943 0.6616233284706579 
leonid 	 10013.226764931323 0.6616233284706579 
zagalsky 	 13697.230146492979 0.6616233284706579 
october 	 1233.36749748236 1.3282708462615125 
yalman 	 13697.230146492979 0.6616233284706579 
onaran 	 13697.230146492979 0.6616233284706579 
herzegovina 	 10524.00235388955 0.6616233284706579 
croatia 	 10524.00235388955 0.6616233284706579 
cpj's 	 3508.00078462985 1.194536662673621 
funded 	 7350.77456128612 0.6616233284706579 
grant 	 7826.061067263521 0.6616233284706579 
john 	 4884.2422861786545 0.6616233284706579 
catherine 	 10013.226764931323 0.6616233284706579 
macarthur 	 10524.00235388955 0.6616233284706579 
foundation 	 5836.833435426479 0.6616233284706579 
carried 	 1416.2338385337316 1.423919682599957 
cooperation 	 7350.77456128612 0.6616233284706579 
globe 	 9243.041815305367 0.6616233284706579 
syndicate 	 6848.615073246489 0.994315493696578 
reports 	 2918.4167177132394 0.994315493696578 
