term 	 tf-idf weight 	 BM25 ranking 
 http 	 5.089602500008484 1.9797054084830794 
www 	 5.04437827118686 1.9797054084830794 
planettexas 	 613.7315356147604 1.8140372555433064 
com 	 3.7327104091017165 1.9864243536224178 
lib 	 533.3264626698068 1.8140372555433064 
logos 	 566.6975830742134 1.8140372555433064 
cigaricon 	 613.7315356147604 1.8140372555433064 
gif 	 40.08746691699958 1.8140372555433064 
cigar 	 33.8294540478239 1.9864243536224178 
manufacturers 	 207.99037845755157 1.9024850928310069 
index 	 6.305472838983574 1.9746959525172727 
html 	 5.697764852556838 1.9746959525172727 
accessories 	 156.13701042309924 1.9339160332400114 
articles 	 275.270130692984 1.8140372555433064 
faq 	 405.88743718430607 1.8140372555433064 
airlift 	 306.8657678073802 1.9024850928310069 
search 	 70.36859606084849 1.9024850928310069 
stores 	 226.46069486242658 1.9024850928310069 
clubs 	 243.14625506462986 1.9024850928310069 
news 	 105.85308544499608 1.9024850928310069 
hot 	 415.98075691510314 1.8140372555433064 
press 	 188.75838466372144 1.8140372555433064 
shirts 	 188.8991943580711 1.9339160332400114 
jpeg 	 439.2585575887127 1.8140372555433064 
cotton 	 427.0367377724048 1.8140372555433064 
hanes 	 694.1366085597141 1.8140372555433064 
beefy 	 694.1366085597141 1.8140372555433064 
natural 	 260.5669328388434 1.8140372555433064 
pocket 	 306.8657678073802 1.9024850928310069 
color 	 117.52722899213566 1.9339160332400114 
print 	 113.65733526126566 1.9339160332400114 
sleeves 	 694.1366085597141 1.8140372555433064 
finest 	 566.6975830742134 1.8140372555433064 
available 	 181.55109805530873 1.8140372555433064 
price 	 133.12790735334264 1.8140372555433064 
includes 	 158.782628606128 1.8140372555433064 
shipping 	 388.0059583243441 1.8140372555433064 
usa 	 250.01420656697906 1.8140372555433064 
jdenton 	 347.06830427985705 1.9024850928310069 
mailto 	 84.26714540449143 1.8140372555433064 
