term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 2867.92096122408 0.9397136648137394 
eeeeeee 	 2962.5383146713443 0.9397136648137394 
zzzzzzz 	 5925.076629342689 0.614134471019389 
tttttttnn 	 11850.153258685377 0.36276365128079235 
eeee 	 5925.076629342689 0.614134471019389 
hazai 	 3029.7512013988567 0.9397136648137394 
sajto 	 3175.8246172650415 0.9397136648137394 
sajtokivonatok 	 17460.766216913413 0.36276365128079235 
napi 	 2170.4316553606395 1.1414187889157816 
hetilapokbol 	 13022.589932163839 0.36276365128079235 
szent 	 12550.839386254745 0.36276365128079235 
hirek 	 3175.8246172650415 0.9397136648137394 
sorok 	 13022.589932163839 0.36276365128079235 
kozt 	 4576.041236928457 0.7985911224000931 
olvaso 	 13022.589932163839 0.36276365128079235 
szabad 	 5860.427606654805 0.614134471019389 
velemenyeivel 	 16090.742037374384 0.36276365128079235 
tarkitva 	 16090.742037374384 0.36276365128079235 
magyarnemzet 	 17082.296803124354 0.36276365128079235 
nsz 	 1988.6947951133961 1.2159922228716482 
nepszabadsag 	 6201.400017721523 0.614134471019389 
magyar 	 310.0455093215222 1.782564191549472 
hirlap 	 2510.167877250949 1.051167520624743 
nszv 	 13920.863565793774 0.36276365128079235 
nepszava 	 13190.047557320853 0.36276365128079235 
esti 	 13920.863565793774 0.36276365128079235 
hvg 	 15011.58649601596 0.36276365128079235 
heti 	 7273.496812359656 0.614134471019389 
vilaggazdasag 	 7060.58187393379 0.614134471019389 
gazdasag 	 6430.224664935638 0.614134471019389 
copyright 	 3983.100434568287 0.36276365128079235 
egyszer 	 13022.589932163839 0.36276365128079235 
mar 	 449.3642450019569 1.6941553807827576 
megjelent 	 2572.0898659742556 1.051167520624743 
hetilap 	 14546.993624719313 0.36276365128079235 
anyagot 	 14774.008776168563 0.36276365128079235 
szabadon 	 14121.16374786758 0.36276365128079235 
utankozolhetonek 	 15260.75786442925 0.36276365128079235 
tart 	 13022.589932163839 0.36276365128079235 
kulfold 	 13542.394152004716 0.36276365128079235 
ujabb 	 3297.5118893302133 0.9397136648137394 
olimpiai 	 6646.751544036853 0.7985911224000931 
aranyerem 	 30559.962585469482 0.36276365128079235 
hazudozasban 	 30559.962585469482 0.36276365128079235 
horn 	 1656.3928629729403 1.2159922228716482 
megdontott 	 30559.962585469482 0.36276365128079235 
minden 	 2294.336768979264 1.051167520624743 
eddigi 	 18313.911427288203 0.36276365128079235 
vilagrekordot 	 30559.962585469482 0.36276365128079235 
kedden 	 18800.66051554889 0.36276365128079235 
hazaerkezett 	 30559.962585469482 0.36276365128079235 
