term 	 tf-idf weight 	 BM25 ranking 
 acu 	 762.1105427549766 1.7576815177967062 
ratings 	 653.9795825876251 1.7576815177967062 
senate 	 521.8011163672214 1.7576815177967062 
alabama_ 	 762.1105427549766 1.7576815177967062 
allen 	 574.2907852801306 1.7576815177967062 
sparkman 	 825.3630996198502 1.7576815177967062 
alaska_ 	 762.1105427549766 1.7576815177967062 
gravel 	 762.1105427549766 1.7576815177967062 
stevens 	 629.9320765345728 1.7576815177967062 
arizona_ 	 762.1105427549766 1.7576815177967062 
fannin 	 762.1105427549766 1.7576815177967062 
goldwater 	 762.1105427549766 1.7576815177967062 
arkansas_ 	 762.1105427549766 1.7576815177967062 
fulbright 	 762.1105427549766 1.7576815177967062 
mcclellan 	 762.1105427549766 1.7576815177967062 
california_ 	 762.1105427549766 1.7576815177967062 
cranston 	 825.3630996198502 1.7576815177967062 
tunney 	 825.3630996198502 1.7576815177967062 
colorado_ 	 762.1105427549766 1.7576815177967062 
dominick 	 825.3630996198502 1.7576815177967062 
haskell 	 762.1105427549766 1.7576815177967062 
connecticut_ 	 762.1105427549766 1.7576815177967062 
ribicoff 	 825.3630996198502 1.7576815177967062 
weicker 	 825.3630996198502 1.7576815177967062 
delaware_ 	 762.1105427549766 1.7576815177967062 
biden 	 825.3630996198502 1.7576815177967062 
roth 	 682.4217454474821 1.7576815177967062 
florida_ 	 762.1105427549766 1.7576815177967062 
chiles 	 825.3630996198502 1.7576815177967062 
gurney 	 825.3630996198502 1.7576815177967062 
georgia_ 	 762.1105427549766 1.7576815177967062 
nunn 	 762.1105427549766 1.7576815177967062 
talmadge 	 825.3630996198502 1.7576815177967062 
hawaii_ 	 762.1105427549766 1.7576815177967062 
fong 	 825.3630996198502 1.7576815177967062 
inouye 	 825.3630996198502 1.7576815177967062 
idaho_ 	 762.1105427549766 1.7576815177967062 
church 	 413.6701561998699 1.7576815177967062 
mcclure 	 825.3630996198502 1.7576815177967062 
illinois_ 	 762.1105427549766 1.7576815177967062 
percy 	 682.4217454474821 1.7576815177967062 
stevenson 	 762.1105427549766 1.7576815177967062 
indiana_ 	 762.1105427549766 1.7576815177967062 
bayh 	 825.3630996198502 1.7576815177967062 
hartke 	 825.3630996198502 1.7576815177967062 
iowa_ 	 762.1105427549766 1.7576815177967062 
clark 	 574.2907852801306 1.7576815177967062 
hughes 	 653.9795825876251 1.7576815177967062 
kansas_ 	 762.1105427549766 1.7576815177967062 
dole 	 609.1011792851473 1.7576815177967062 
pearson 	 825.3630996198502 1.7576815177967062 
kentucky_ 	 762.1105427549766 1.7576815177967062 
cook 	 545.8486224202737 1.7576815177967062 
huddleston 	 825.3630996198502 1.7576815177967062 
louisiana_ 	 762.1105427549766 1.7576815177967062 
johnston 	 682.4217454474821 1.7576815177967062 
maine_ 	 762.1105427549766 1.7576815177967062 
hathaway 	 825.3630996198502 1.7576815177967062 
muskie 	 825.3630996198502 1.7576815177967062 
maryland_ 	 762.1105427549766 1.7576815177967062 
beall 	 762.1105427549766 1.7576815177967062 
mathias 	 717.2321394524988 1.7576815177967062 
massachusetts_ 	 762.1105427549766 1.7576815177967062 
brooke 	 825.3630996198502 1.7576815177967062 
kennedy 	 466.1598251127791 1.7576815177967062 
michigan_ 	 762.1105427549766 1.7576815177967062 
griffin 	 825.3630996198502 1.7576815177967062 
hart 	 717.2321394524988 1.7576815177967062 
minnesota_ 	 762.1105427549766 1.7576815177967062 
humphrey 	 762.1105427549766 1.7576815177967062 
mondale 	 825.3630996198502 1.7576815177967062 
mississippi_ 	 762.1105427549766 1.7576815177967062 
eastland 	 762.1105427549766 1.7576815177967062 
stennis 	 825.3630996198502 1.7576815177967062 
missouri_ 	 762.1105427549766 1.7576815177967062 
eagleton 	 825.3630996198502 1.7576815177967062 
symington 	 762.1105427549766 1.7576815177967062 
montana_ 	 762.1105427549766 1.7576815177967062 
mansfield 	 825.3630996198502 1.7576815177967062 
metcalf 	 825.3630996198502 1.7576815177967062 
nebraska_ 	 762.1105427549766 1.7576815177967062 
curtis 	 762.1105427549766 1.7576815177967062 
hruska 	 825.3630996198502 1.7576815177967062 
nevada_ 	 762.1105427549766 1.7576815177967062 
bible 	 590.7270257227515 1.7576815177967062 
cannon 	 825.3630996198502 1.7576815177967062 
hampshire_ 	 762.1105427549766 1.7576815177967062 
cotton 	 574.2907852801306 1.7576815177967062 
mcintyre 	 762.1105427549766 1.7576815177967062 
jersey_ 	 762.1105427549766 1.7576815177967062 
williams 	 533.361960023202 1.7576815177967062 
mexico_ 	 762.1105427549766 1.7576815177967062 
domenici 	 825.3630996198502 1.7576815177967062 
montoya 	 825.3630996198502 1.7576815177967062 
york_ 	 762.1105427549766 1.7576815177967062 
buckley 	 825.3630996198502 1.7576815177967062 
javits 	 682.4217454474821 1.7576815177967062 
north 	 137.6254288898645 1.8710276637039875 
carolina_ 	 381.0552713774883 1.8710276637039875 
ervin 	 590.7270257227515 1.7576815177967062 
helms 	 762.1105427549766 1.7576815177967062 
dakota_ 	 381.0552713774883 1.8710276637039875 
burdick 	 762.1105427549766 1.7576815177967062 
ohio_ 	 762.1105427549766 1.7576815177967062 
metzenbaum 	 933.4940597872018 1.7576815177967062 
taft 	 762.1105427549766 1.7576815177967062 
oklahoma_ 	 762.1105427549766 1.7576815177967062 
bartlett 	 825.3630996198502 1.7576815177967062 
bellmon 	 825.3630996198502 1.7576815177967062 
oregon_ 	 762.1105427549766 1.7576815177967062 
hatfield 	 825.3630996198502 1.7576815177967062 
packwood 	 825.3630996198502 1.7576815177967062 
pennsylvania_ 	 762.1105427549766 1.7576815177967062 
schweiker 	 825.3630996198502 1.7576815177967062 
scott 	 209.67175434526317 1.8710276637039875 
rhode 	 653.9795825876251 1.7576815177967062 
island_ 	 762.1105427549766 1.7576815177967062 
pastore 	 825.3630996198502 1.7576815177967062 
pell 	 825.3630996198502 1.7576815177967062 
south 	 138.7810055811055 1.8710276637039875 
hollings 	 825.3630996198502 1.7576815177967062 
thurmond 	 825.3630996198502 1.7576815177967062 
abourezk 	 825.3630996198502 1.7576815177967062 
mcgovern 	 825.3630996198502 1.7576815177967062 
tennessee_ 	 762.1105427549766 1.7576815177967062 
baker 	 682.4217454474821 1.7576815177967062 
brock 	 825.3630996198502 1.7576815177967062 
texas_ 	 762.1105427549766 1.7576815177967062 
bentsen 	 825.3630996198502 1.7576815177967062 
tower 	 682.4217454474821 1.7576815177967062 
utah_ 	 762.1105427549766 1.7576815177967062 
bennett 	 653.9795825876251 1.7576815177967062 
moss 	 762.1105427549766 1.7576815177967062 
vermont_ 	 762.1105427549766 1.7576815177967062 
aiken 	 825.3630996198502 1.7576815177967062 
stafford 	 825.3630996198502 1.7576815177967062 
virginia_ 	 381.0552713774883 1.8710276637039875 
byrd 	 358.6160697262494 1.8710276637039875 
washington_ 	 762.1105427549766 1.7576815177967062 
jackson 	 521.8011163672214 1.7576815177967062 
magnuson 	 825.3630996198502 1.7576815177967062 
west 	 277.562011162211 1.7576815177967062 
randolph 	 491.51277811443197 1.7576815177967062 
wisconsin_ 	 762.1105427549766 1.7576815177967062 
nelson 	 590.7270257227515 1.7576815177967062 
proxmire 	 825.3630996198502 1.7576815177967062 
wyoming_ 	 762.1105427549766 1.7576815177967062 
hansen 	 682.4217454474821 1.7576815177967062 
mcgee 	 825.3630996198502 1.7576815177967062 
