term 	 tf-idf weight 	 BM25 ranking 
 shared 	 369.31762453659604 1.7730587661448118 
vision 	 527.610790620717 1.6778646004763031 
line 	 707.0303287619566 1.4451048813264353 
september 	 515.5382404573344 1.6778646004763031 
tide 	 2298.847864005288 1.4451048813264353 
world 	 41.891050176320334 1.9353781294361123 
events 	 533.2188502276422 1.5923714009061354 
interview 	 2402.837536106702 1.1312439957039775 
david 	 547.0790320960515 1.6778646004763031 
icke 	 433.3367189930974 1.8797043736018617 
joseph 	 2737.9782319323167 1.1312439957039775 
duggan 	 4597.695728010576 1.1312439957039775 
professional 	 1749.8569550403747 1.1312439957039775 
footballer 	 5200.040627917168 1.1312439957039775 
coventry 	 4597.695728010576 1.1312439957039775 
city 	 1448.1434572541148 1.1312439957039775 
hereford 	 5200.040627917168 1.1312439957039775 
rheumatoid 	 4597.695728010576 1.1312439957039775 
arthritis 	 4245.346549064581 1.1312439957039775 
forced 	 837.9749119829307 1.5923714009061354 
quit 	 3995.3508281039835 1.1312439957039775 
amidst 	 4245.346549064581 1.1312439957039775 
publicity 	 3801.4390820119356 1.1312439957039775 
age 	 1686.6290761689445 1.1312439957039775 
journalism 	 3040.6567492513964 1.1312439957039775 
television 	 2188.316128384206 1.1312439957039775 
sports 	 1099.6651087617313 1.1312439957039775 
correspondent 	 3199.094182105343 1.1312439957039775 
bbc 	 1997.6754140519918 1.4451048813264353 
newsnight 	 5200.040627917168 1.1312439957039775 
contributing 	 2688.3075703054014 1.1312439957039775 
regularly 	 3509.0447083881013 1.1312439957039775 
grandstand 	 5200.040627917168 1.1312439957039775 
went 	 2737.9782319323167 1.1312439957039775 
national 	 495.2210248923263 1.4451048813264353 
spokesman 	 2688.3075703054014 1.1312439957039775 
britain 	 1320.661577510766 1.4451048813264353 
green 	 2335.9583913594065 1.1312439957039775 
party 	 528.6570761592046 1.5923714009061354 
deeply 	 3801.4390820119356 1.1312439957039775 
involved 	 542.563746650187 1.5923714009061354 
environmental 	 650.6685765429739 1.5923714009061354 
issues 	 1206.88147815021 1.1312439957039775 
visit 	 2215.9057472195764 1.1312439957039775 
british 	 2135.6333320257245 1.1312439957039775 
medium 	 2688.3075703054014 1.1312439957039775 
healer 	 4245.346549064581 1.1312439957039775 
set 	 429.9020081333895 1.5923714009061354 
journey 	 3116.2696358553844 1.1312439957039775 
discovery 	 2846.745003159348 1.1312439957039775 
dramatically 	 3643.0016491579886 1.1312439957039775 
changed 	 2438.3118493448037 1.1312439957039775 
life 	 1076.694608369504 1.1312439957039775 
led 	 1994.4043822921578 1.1312439957039775 
write 	 1766.4098364699082 1.1312439957039775 
series 	 1972.9465019511251 1.1312439957039775 
controversial 	 2513.924735948792 1.1312439957039775 
books 	 2038.9782551149392 1.1312439957039775 
including 	 381.487005548782 1.4451048813264353 
truth 	 465.1101713817998 1.7730587661448118 
vibrations 	 5200.040627917168 1.1312439957039775 
doesn 	 4597.695728010576 1.1312439957039775 
heal 	 1532.5652426701922 1.5923714009061354 
robots 	 1520.3283746256982 1.4451048813264353 
rebellion 	 3116.2696358553844 1.1312439957039775 
free 	 157.0950155373902 1.8022737830062616 
described 	 2135.6333320257245 1.1312439957039775 
explosive 	 4245.346549064581 1.1312439957039775 
book 	 1402.9904441233268 1.1312439957039775 
century 	 1733.613491452814 1.1312439957039775 
reveals 	 2846.745003159348 1.1312439957039775 
esoteric 	 4597.695728010576 1.1312439957039775 
background 	 1835.9669494382113 1.1312439957039775 
worldwide 	 851.4502098451713 1.5923714009061354 
conspiracy 	 1038.7565452851284 1.5923714009061354 
centralize 	 5200.040627917168 1.1312439957039775 
power 	 139.10194023605948 1.8427584107156163 
hands 	 2554.3506295355137 1.1312439957039775 
global 	 347.6604450664682 1.7730587661448118 
elite 	 377.000658688599 1.8427584107156163 
offers 	 1800.4926362001095 1.1312439957039775 
inspiring 	 4245.346549064581 1.1312439957039775 
spiritual 	 377.3318792887902 1.8022737830062616 
solution 	 480.56750722134046 1.7337136545532221 
woman 	 2402.837536106702 1.1312439957039775 
child 	 1892.0509243067606 1.1312439957039775 
break 	 2513.924735948792 1.1312439957039775 
robotic 	 760.1641873128491 1.6778646004763031 
programming 	 948.915001053116 1.5923714009061354 
decide 	 1298.3746410993751 1.4451048813264353 
destiny 	 1485.5498181415464 1.4451048813264353 
travelling 	 4245.346549064581 1.1312439957039775 
explaining 	 3509.0447083881013 1.1312439957039775 
danger 	 3199.094182105343 1.1312439957039775 
future 	 1319.1664728063352 1.1312439957039775 
planet 	 760.1641873128491 1.6778646004763031 
posed 	 3393.0059281973913 1.1312439957039775 
economic 	 216.5692704366565 1.7730587661448118 
system 	 62.49045636361154 1.902591719874078 
dominated 	 2971.099636283093 1.1312439957039775 
controlled 	 1368.9891159661584 1.4451048813264353 
secret 	 2402.837536106702 1.1312439957039775 
bottom 	 2971.099636283093 1.1312439957039775 
growth 	 1599.6565506829265 1.1312439957039775 
economists 	 3393.0059281973913 1.1312439957039775 
claim 	 2110.443162482868 1.1312439957039775 
leads 	 1599.5470910526715 1.4451048813264353 
jobs 	 1395.3305141453993 1.4451048813264353 
wealth 	 2846.745003159348 1.1312439957039775 
success 	 2135.6333320257245 1.1312439957039775 
couldn 	 4245.346549064581 1.1312439957039775 
simple 	 2273.8605516589228 1.1312439957039775 
throw 	 1997.6754140519918 1.4451048813264353 
increases 	 880.441051673844 1.5923714009061354 
rate 	 1872.9512543681446 1.1312439957039775 
amount 	 1031.0764809146688 1.4451048813264353 
irreplaceable 	 4597.695728010576 1.1312439957039775 
resources 	 406.9228099876402 1.6778646004763031 
speed 	 2737.9782319323167 1.1312439957039775 
products 	 650.6685765429739 1.5923714009061354 
don 	 528.2646310043064 1.7337136545532221 
obsolete 	 3801.4390820119356 1.1312439957039775 
wear 	 3393.0059281973913 1.1312439957039775 
people 	 84.8543685915448 1.8797043736018617 
buy 	 1368.9891159661584 1.4451048813264353 
generate 	 3290.652470211994 1.1312439957039775 
production 	 955.7899180210998 1.4451048813264353 
increase 	 909.024394429517 1.4451048813264353 
natural 	 1952.0057296289217 1.1312439957039775 
