term 	 tf-idf weight 	 BM25 ranking 
 law 	 74.02509964282577 1.8549253712854679 
leading 	 818.4223478485401 1.361226719108171 
attorneys 	 1512.5227363865197 1.361226719108171 
web 	 2179.341508136562 1.0317117646788632 
header 	 2936.4942040797673 1.0317117646788632 
gif 	 91.75191781433956 1.6199165755404243 
webhead 	 3173.472655575458 1.0317117646788632 
illinois 	 217.49545441228608 1.8549253712854679 
civil 	 259.0172730992494 1.7635515884588293 
appellate 	 165.25935365691572 1.9462755856257303 
appeal 	 112.64556561134918 1.9276345984385657 
requirements 	 1168.0654694343013 1.361226719108171 
appealing 	 1429.4612505976845 1.5234125961394989 
decision 	 51.06910184585379 1.9505238593581786 
finality 	 3177.4701650448983 1.361226719108171 
timeliness 	 3177.4701650448983 1.361226719108171 
scope 	 1184.0871486794638 1.5234125961394989 
review 	 286.57162891798464 1.683919567098139 
appeals 	 128.85151913034255 1.9328149291233785 
courts 	 256.0211037186054 1.8549253712854679 
procedure 	 1447.4209033554912 1.361226719108171 
federal 	 134.9683405926136 1.8743482553733262 
structure 	 464.5798055518767 1.6199165755404243 
illinois' 	 1429.4612505976845 1.5234125961394989 
rendered 	 1548.572422361594 1.5234125961394989 
trial 	 95.51174290416024 1.9351365771249873 
judge 	 180.9276129194364 1.88918446310525 
jury 	 869.7477541298123 1.6199165755404243 
party 	 129.2137663707883 1.8822317789338197 
loses 	 1429.4612505976845 1.5234125961394989 
reviewed 	 3346.0677587020946 1.0317117646788632 
court 	 26.417989873810654 1.9749521114651063 
process 	 332.42632092196186 1.683919567098139 
known 	 646.0688318539416 1.5234125961394989 
subject 	 469.4410918702487 1.361226719108171 
chapter 	 914.2895702548624 1.5234125961394989 
proceedings 	 1184.0871486794638 1.5234125961394989 
prior 	 2491.8238284603744 1.0317117646788632 
outlined 	 4021.4878289587314 1.0317117646788632 
criminal 	 2609.945452947433 1.0317117646788632 
c03 	 4882.695718580472 1.0317117646788632 
html 	 104.32803919681659 1.6199165755404243 
system 	 163.64835934116917 1.7635515884588293 
covered 	 2894.8418067109824 1.0317117646788632 
judicial 	 520.2762502045869 1.7294739739633762 
systems 	 1675.0044894951595 1.0317117646788632 
c02 	 5618.818024335134 1.0317117646788632 
set 	 1576.142460199055 1.0317117646788632 
decisions 	 434.99090882457216 1.7294739739633762 
lawyers 	 1705.2255535355744 1.361226719108171 
practice 	 2609.945452947433 1.0317117646788632 
reason 	 2491.8238284603744 1.0317117646788632 
