term 	 tf-idf weight 	 BM25 ranking 
 ccnlearn 	 234.4797378979323 1.9137465733145607 
gif 	 4.406165544756419 1.9777158621084356 
bbar 	 117.23986894896615 1.9559228350279252 
cgi 	 157.7717906623423 1.9137465733145607 
bin 	 182.88809140232982 1.9137465733145607 
imagemap 	 170.58882650466853 1.9137465733145607 
nherism 	 305.18075031504674 1.9137465733145607 
nfax 	 305.18075031504674 1.9137465733145607 
title 	 58.93674971262935 1.9137465733145607 
sheet 	 68.64644423774192 1.970397759545944 
e_272 	 305.18075031504674 1.9137465733145607 
htm 	 5.57651095112968 1.9850885265170806 
iib 	 305.18075031504674 1.9137465733145607 
iiib 	 305.18075031504674 1.9137465733145607 
nheri 	 305.18075031504674 1.9137465733145607 
frequently 	 131.71968385027677 1.9137465733145607 
questions 	 82.33890983922862 1.9137465733145607 
a_272 	 305.18075031504674 1.9137465733145607 
purpose 	 96.36917764171957 1.9137465733145607 
history 	 56.157852263141805 1.9137465733145607 
national 	 58.127208905658556 1.9137465733145607 
home 	 11.388351348550675 1.9559228350279252 
education 	 55.39092051755023 1.9137465733145607 
research 	 58.53037306052133 1.9137465733145607 
institute 	 104.65764304610609 1.9137465733145607 
learn 	 139.01782687595113 1.9137465733145607 
http 	 11.188350323294513 1.9559228350279252 
www 	 11.088934992695252 1.9559228350279252 
learnathome 	 234.4797378979323 1.9137465733145607 
com 	 24.61658157726563 1.9137465733145607 
feedback 	 81.88936274040893 1.9559228350279252 
christian 	 125.33636355962248 1.9137465733145607 
community 	 78.60553623404058 1.9137465733145607 
network 	 126.85886468025622 1.9137465733145607 
christcom 	 234.4797378979323 1.9137465733145607 
net 	 118.33910636243475 1.9137465733145607 
