term 	 tf-idf weight 	 BM25 ranking 
 srl 	 975.4031541457591 1.612414619876744 
weddell 	 325.52613366938317 1.9082601075384833 
sea 	 50.22411669898876 1.9636904936033681 
antarctica 	 287.8189270469221 1.9082601075384833 
spaceborne 	 951.7360596045797 1.612414619876744 
imaging 	 275.5810886712147 1.851637111056459 
radar 	 157.37342420669077 1.9082601075384833 
band 	 210.36238754978976 1.8866252577557714 
synthetic 	 929.9644431173778 1.612414619876744 
aperture 	 951.7360596045797 1.612414619876744 
color 	 826.743266013644 1.612414619876744 
composite 	 1098.3431078038707 1.612414619876744 
portion 	 951.7360596045797 1.612414619876744 
adjacent 	 1250.5586021223055 1.612414619876744 
continent 	 1062.0225690100006 1.612414619876744 
image 	 98.43946618706049 1.9082601075384833 
extensive 	 376.0482219913826 1.785414787111851 
coverage 	 652.9135170868539 1.612414619876744 
ice 	 53.51806321715091 1.9721147894341744 
mixtures 	 1439.0946352346107 1.612414619876744 
patches 	 664.404062914595 1.785414787111851 
water 	 126.22838011993039 1.9082601075384833 
inside 	 951.7360596045797 1.612414619876744 
margin 	 1250.5586021223055 1.612414619876744 
covers 	 826.743266013644 1.612414619876744 
kilometer 	 813.8153341734579 1.785414787111851 
mile 	 570.1360463584424 1.785414787111851 
region 	 312.12772841396253 1.785414787111851 
southern 	 222.82020188377334 1.851637111056459 
ocean 	 218.37163397442382 1.8866252577557714 
centered 	 929.9644431173778 1.612414619876744 
approximately 	 376.0482219913826 1.785414787111851 
degrees 	 381.60001324613734 1.785414787111851 
south 	 483.954275872573 1.612414619876744 
latitude 	 951.7360596045797 1.612414619876744 
east 	 537.6360419636836 1.612414619876744 
longitude 	 1029.985583311464 1.612414619876744 
acquired 	 799.5205652861447 1.612414619876744 
october 	 293.1201042509409 1.785414787111851 
data 	 456.92496299538163 1.612414619876744 
create 	 580.3905206817799 1.612414619876744 
obtained 	 841.449550199159 1.612414619876744 
horizontally 	 343.32852777048805 1.851637111056459 
transmitted 	 317.2453532015266 1.851637111056459 
vertically 	 1029.985583311464 1.612414619876744 
received 	 182.57042262024623 1.851637111056459 
red 	 693.586148726956 1.612414619876744 
green 	 731.1630407937382 1.612414619876744 
blue 	 406.3957449701151 1.785414787111851 
appears 	 909.8070746915655 1.612414619876744 
rust 	 1439.0946352346107 1.612414619876744 
brown 	 812.7914899402302 1.612414619876744 
composed 	 975.4031541457591 1.612414619876744 
loosely 	 1439.0946352346107 1.612414619876744 
packed 	 1328.80812582919 1.612414619876744 
floes 	 813.8153341734579 1.785414787111851 
meter 	 570.1360463584424 1.785414787111851 
meters 	 487.70157707287956 1.785414787111851 
feet 	 222.76025341177865 1.8866252577557714 
thick 	 1627.6306683469159 1.612414619876744 
ranging 	 873.4865358976953 1.612414619876744 
diameter 	 1439.0946352346107 1.612414619876744 
shown 	 731.1630407937382 1.612414619876744 
turquoise 	 1627.6306683469159 1.612414619876744 
scattered 	 1439.0946352346107 1.612414619876744 
typical 	 909.8070746915655 1.612414619876744 
margins 	 1189.8635561648405 1.612414619876744 
experiencing 	 1250.5586021223055 1.612414619876744 
winds 	 625.2793010611528 1.785414787111851 
thin 	 1098.3431078038707 1.612414619876744 
organized 	 752.0964439827652 1.612414619876744 
lines 	 660.5759956217953 1.612414619876744 
visible 	 951.7360596045797 1.612414619876744 
pack 	 1250.5586021223055 1.612414619876744 
caused 	 752.0964439827652 1.612414619876744 
energy 	 580.3905206817799 1.612414619876744 
reflected 	 951.7360596045797 1.612414619876744 
riding 	 1439.0946352346107 1.612414619876744 
crest 	 1627.6306683469159 1.612414619876744 
swells 	 1627.6306683469159 1.612414619876744 
wispy 	 1627.6306683469159 1.612414619876744 
black 	 314.3293318006899 1.612414619876744 
features 	 741.4284100050727 1.612414619876744 
seen 	 513.9689474225044 1.612414619876744 
represent 	 774.776241614187 1.612414619876744 
forming 	 951.7360596045797 1.612414619876744 
acts 	 774.776241614187 1.612414619876744 
insulator 	 1627.6306683469159 1.612414619876744 
reduces 	 1098.3431078038707 1.612414619876744 
loss 	 645.4609961076867 1.612414619876744 
heat 	 464.9822215586889 1.785414787111851 
relatively 	 841.449550199159 1.612414619876744 
warm 	 1140.2720927168848 1.612414619876744 
cold 	 812.7914899402302 1.612414619876744 
atmosphere 	 841.449550199159 1.612414619876744 
interaction 	 841.449550199159 1.612414619876744 
component 	 841.449550199159 1.612414619876744 
global 	 652.9135170868539 1.612414619876744 
climate 	 645.4609961076867 1.612414619876744 
system 	 146.69796430583148 1.785414787111851 
unique 	 676.5806116280331 1.612414619876744 
combination 	 873.4865358976953 1.612414619876744 
currents 	 1250.5586021223055 1.612414619876744 
temperatures 	 1439.0946352346107 1.612414619876744 
found 	 509.4729772917751 1.612414619876744 
extend 	 951.7360596045797 1.612414619876744 
hundreds 	 799.5205652861447 1.612414619876744 
kilometers 	 951.7360596045797 1.612414619876744 
north 	 479.9245725390147 1.612414619876744 
winter 	 1062.0225690100006 1.612414619876744 
classifies 	 1328.80812582919 1.612414619876744 
nature's 	 1328.80812582919 1.612414619876744 
engines 	 1029.985583311464 1.612414619876744 
formation 	 365.5815203968691 1.785414787111851 
quantities 	 1140.2720927168848 1.612414619876744 
salt 	 549.1715539019353 1.785414787111851 
expelled 	 1627.6306683469159 1.612414619876744 
frozen 	 1189.8635561648405 1.612414619876744 
increases 	 826.743266013644 1.612414619876744 
density 	 1439.0946352346107 1.612414619876744 
upper 	 774.776241614187 1.612414619876744 
layer 	 1098.3431078038707 1.612414619876744 
sinks 	 1627.6306683469159 1.612414619876744 
depths 	 1439.0946352346107 1.612414619876744 
oceanographers 	 1627.6306683469159 1.612414619876744 
believe 	 702.5049805348094 1.612414619876744 
process 	 425.70602302624116 1.612414619876744 
forms 	 492.1973309353025 1.612414619876744 
oceans' 	 1627.6306683469159 1.612414619876744 
deep 	 1001.3275230525354 1.612414619876744 
covering 	 975.4031541457591 1.612414619876744 
oceans 	 1189.8635561648405 1.612414619876744 
including 	 238.8134994459579 1.612414619876744 
typically 	 856.996638763625 1.612414619876744 
reaches 	 1189.8635561648405 1.612414619876744 
northerly 	 1439.0946352346107 1.612414619876744 
extent 	 638.2072329013389 1.612414619876744 
september 	 645.4609961076867 1.612414619876744 
periods 	 406.3957449701151 1.785414787111851 
daylight 	 1439.0946352346107 1.612414619876744 
gradually 	 1250.5586021223055 1.612414619876744 
hemisphere 	 1439.0946352346107 1.612414619876744 
stops 	 1328.80812582919 1.612414619876744 
edge 	 891.0410136471146 1.612414619876744 
retreats 	 1439.0946352346107 1.612414619876744 
southward 	 1439.0946352346107 1.612414619876744 
february 	 812.7914899402302 1.612414619876744 
surrounding 	 676.5806116280331 1.612414619876744 
disappears 	 1439.0946352346107 1.612414619876744 
extremely 	 873.4865358976953 1.612414619876744 
useful 	 826.743266013644 1.612414619876744 
studying 	 1001.3275230525354 1.612414619876744 
polar 	 1250.5586021223055 1.612414619876744 
regions 	 711.7262025905949 1.612414619876744 
darkness 	 1098.3431078038707 1.612414619876744 
cloud 	 1189.8635561648405 1.612414619876744 
cover 	 645.4609961076867 1.612414619876744 
multiple 	 812.7914899402302 1.612414619876744 
frequencies 	 1189.8635561648405 1.612414619876744 
sir 	 763.2000264922747 1.612414619876744 
sar 	 891.0410136471146 1.612414619876744 
instruments 	 909.8070746915655 1.612414619876744 
allow 	 660.5759956217953 1.612414619876744 
study 	 330.004450492255 1.612414619876744 
improving 	 841.449550199159 1.612414619876744 
separation 	 975.4031541457591 1.612414619876744 
various 	 332.3193580819261 1.612414619876744 
thickness 	 1439.0946352346107 1.612414619876744 
ranges 	 1328.80812582919 1.612414619876744 
vital 	 909.8070746915655 1.612414619876744 
understanding 	 668.46060565132 1.612414619876744 
balance 	 684.9505027853902 1.612414619876744 
atmospheric 	 1001.3275230525354 1.612414619876744 
gif 	 46.999099144068474 1.785414787111851 
icons 	 826.743266013644 1.612414619876744 
yellow 	 786.8671210334539 1.612414619876744 
index 	 118.28197325541602 1.612414619876744 
html 	 106.88220964796275 1.612414619876744 
home 	 121.47574771787386 1.612414619876744 
page 	 133.5179557582866 1.612414619876744 
updated 	 291.38853942670966 1.612414619876744 
bruce 	 763.2000264922747 1.612414619876744 
chapman 	 873.4865358976953 1.612414619876744 
jpl 	 763.2000264922747 1.612414619876744 
nasa 	 702.5049805348094 1.612414619876744 
gov 	 631.141900599652 1.612414619876744 
