term 	 tf-idf weight 	 BM25 ranking 
wildlife 	 1494.9091415578387 1.5742791460491457 
home 	 136.66021618260808 1.5742791460491457 
species 	 703.4392136937969 1.7617864545238846 
hardly 	 1406.8784273875938 1.5742791460491457 
survive 	 1070.7030670551524 1.5742791460491457 
howler 	 1831.0845018902803 1.5742791460491457 
monkey 	 1618.981464638937 1.5742791460491457 
toucan 	 1831.0845018902803 1.5742791460491457 
gorilla 	 1831.0845018902803 1.5742791460491457 
red 	 780.2844173178255 1.5742791460491457 
eyed 	 1618.981464638937 1.5742791460491457 
frog 	 1831.0845018902803 1.5742791460491457 
skyrocketing 	 1618.981464638937 1.5742791460491457 
squeezed 	 1406.8784273875938 1.5742791460491457 
decreasing 	 1406.8784273875938 1.5742791460491457 
space 	 640.1874906684285 1.5742791460491457 
program 	 361.0540622019037 1.5742791460491457 
donation 	 1338.5965006854456 1.5742791460491457 
preserve 	 1126.4934634341023 1.5742791460491457 
square 	 964.1212186090781 1.5742791460491457 
foot 	 1126.4934634341023 1.5742791460491457 
tract 	 1282.8061043064954 1.5742791460491457 
threatened 	 946.6307439740539 1.5742791460491457 
name 	 599.3268845253245 1.5742791460491457 
local 	 478.9192759045213 1.5742791460491457 
governmants 	 1831.0845018902803 1.5742791460491457 
environmental 	 687.3575986955697 1.5742791460491457 
latin 	 930.0861742653495 1.5742791460491457 
america 	 599.3268845253245 1.5742791460491457 
develop 	 687.3575986955697 1.5742791460491457 
conservation 	 1070.7030670551524 1.5742791460491457 
plans 	 531.0449578231764 1.5742791460491457 
protecting 	 1002.4211403530039 1.5742791460491457 
acre 	 1831.0845018902803 1.5742791460491457 
time 	 291.77049794419503 1.5742791460491457 
tropical 	 1338.5965006854456 1.5742791460491457 
contribute 	 1046.20999850705 1.5742791460491457 
receive 	 694.7314494787621 1.5742791460491457 
year's 	 1126.4934634341023 1.5742791460491457 
membership 	 743.1479950745197 1.5742791460491457 
browser 	 703.4392136937969 1.7617864545238846 
supports 	 1023.5329590280112 1.5742791460491457 
secure 	 236.65768599351347 1.873350840960341 
transactions 	 535.3515335275762 1.7617864545238846 
credit 	 734.5277067227106 1.5742791460491457 
card 	 982.6723528849072 1.5742791460491457 
click 	 188.24295170586635 1.7617864545238846 
electronic 	 858.600029803809 1.5742791460491457 
transaction 	 1282.8061043064954 1.5742791460491457 
https 	 1494.9091415578387 1.5742791460491457 
www 	 133.06721991234303 1.5742791460491457 
inacomlnk 	 1494.9091415578387 1.5742791460491457 
com 	 147.69948946359378 1.5742791460491457 
clients 	 822.5584208929555 1.5742791460491457 
arborday 	 1494.9091415578387 1.5742791460491457 
rainforest_electronic 	 1831.0845018902803 1.5742791460491457 
html 	 30.060621463489525 1.873350840960341 
send 	 323.34487423217564 1.5742791460491457 
check 	 811.4299217766679 1.5742791460491457 
money 	 578.2150658503174 1.5742791460491457 
purchase 	 930.0861742653495 1.5742791460491457 
print 	 899.4606359469128 1.5742791460491457 
form 	 471.63321740424345 1.5742791460491457 
rainforest_print 	 1831.0845018902803 1.5742791460491457 
free 	 387.22384727398133 1.5742791460491457 
free_trees_button 	 1338.5965006854456 1.5742791460491457 
free_trees 	 1338.5965006854456 1.5742791460491457 
return 	 464.51661758197764 1.5742791460491457 
homepage 	 914.390426182759 1.5742791460491457 
homepage_button 	 1338.5965006854456 1.5742791460491457 
index 	 133.06721991234303 1.5742791460491457 
